regions,periods,tech,mincap,mincap_units,mincap_notes
TO,2023,PASTRABELCSTACOM240V,0.00,MW,
TO,2024,PASTRABELCSTACOM240V,0.00,MW,
TO,2025,PASTRABELCSTACOM240V,0.00,MW,
TO,2026,PASTRABELCSTACOM240V,0.00,MW,
TO,2027,PASTRABELCSTACOM240V,0.00,MW,
TO,2028,PASTRABELCSTACOM240V,0.00,MW,
TO,2029,PASTRABELCSTACOM240V,0.00,MW,
TO,2030,PASTRABELCSTACOM240V,0.00,MW,
TO,2031,PASTRABELCSTACOM240V,117.49,MW,
TO,2032,PASTRABELCSTACOM240V,231.68,MW,
TO,2033,PASTRABELCSTACOM240V,345.87,MW,
TO,2034,PASTRABELCSTACOM240V,460.06,MW,
TO,2035,PASTRABELCSTACOM240V,574.26,MW,
TO,2036,PASTRABELCSTACOM240V,688.45,MW,
TO,2037,PASTRABELCSTACOM240V,802.64,MW,
TO,2038,PASTRABELCSTACOM240V,916.83,MW,
TO,2039,PASTRABELCSTACOM240V,1031.02,MW,
TO,2040,PASTRABELCSTACOM240V,1145.22,MW,
TO,2041,PASTRABELCSTACOM240V,1259.41,MW,
TO,2042,PASTRABELCSTACOM240V,1373.60,MW,
TO,2043,PASTRABELCSTACOM240V,1487.79,MW,
TO,2044,PASTRABELCSTACOM240V,1601.98,MW,
TO,2045,PASTRABELCSTACOM240V,1716.18,MW,
TO,2046,PASTRABELCSTACOM240V,1830.37,MW,
TO,2047,PASTRABELCSTACOM240V,1944.56,MW,
TO,2048,PASTRABELCSTACOM240V,2058.75,MW,
TO,2049,PASTRABELCSTACOM240V,2172.94,MW,
TO,2050,PASTRABELCSTACOM240V,2287.14,MW,
