regions,tech,group_name,act_fraction,tech_desc
TO,COMBDGAEROldAE______STDBMA_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldAE______STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldAE______STDNGA_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldAE______STDNGA_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldAE______STDPRO_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldAE______STDPRO_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldAM______STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldLIFLC___STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldLIFLC___STDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldLIFLU___STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldLIFLUT5STDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldLIFLUT8STDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldLIHAL___STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldLIHAL100WSTDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldLIINC___STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldLIINC100WSTDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldLILED___STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldLILED___STDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSC______STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSC______STDNGA_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSCCE___STDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSCCE___STDNGA_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSCWA___STDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSCWD___STDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSHFUR___STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSHFUR___STDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSHFUR___STDHFO_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSHFUR___STDHFO_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSHFUR___STDKER_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSHFUR___STDKER_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSHFUR___STDLFO_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSHFUR___STDLFO_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSHFUR___STDNGA_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSHFUR___STDNGA_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSHFUR___STDPRO_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSHFUR___STDPRO_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSHFURLARSTDHH2_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSHFURMEDSTDHH2_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSHFURSMASTDHH2_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSHHEP___STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSHHEP___STDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSHHEP___STDNGA_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSHPLT___STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSHPLT1000WSTDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSHPLT1500WSTDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldSLLED___STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldWH______STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldWH______STDHFO_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldWH______STDKER_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldWH______STDLFO_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldWH______STDNGA_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldWH______STDPRO_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldWHHEP___STDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldWHSYS___STDBMA_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldWHSYS___STDBWP_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldWHSYS___STDHFO_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldWHSYS___STDKER_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAEROldWHSYS___STDLFO_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldAE______STDBMA_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldAE______STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldAE______STDNGA_16,BAP-BDG-4-COMBDG-ESR,1,
