regions,tech,group_name,act_fraction,tech_desc
TO,FRETRAROATRUHETCONVDSL_EX,BAP-TRA-5-FRETRA-ROATRUHET,1,
TO,FRETRAROATRUHETBEVBELCF____25,BAP-TRA-5-FRETRA-ROATRUHET,1,
TO,FRETRAROATRUHETCATEDSLELC_25,BAP-TRA-5-FRETRA-ROATRUHET,1,
TO,FRETRAROATRUHETCATEELC____25,BAP-TRA-5-FRETRA-ROATRUHET,1,
TO,FRETRAROATRUHETCATENGAELC_25,BAP-TRA-5-FRETRA-ROATRUHET,1,
TO,FRETRAROATRUHETCATERDSLELC_25,BAP-TRA-5-FRETRA-ROATRUHET,1,
TO,FRETRAROATRUHETCELLHH2____25,BAP-TRA-5-FRETRA-ROATRUHET,1,
TO,FRETRAROATRUHETCONVDSL____16,BAP-TRA-5-FRETRA-ROATRUHET,1,
TO,FRETRAROATRUHETCONVDSL____23,BAP-TRA-5-FRETRA-ROATRUHET,1,
TO,FRETRAROATRUHETCONVNGA____23,BAP-TRA-5-FRETRA-ROATRUHET,1,
TO,FRETRAROATRUHETCONVRDSL____23,BAP-TRA-5-FRETRA-ROATRUHET,1,
TO,FRETRAROATRUHETHYBDSL____23,BAP-TRA-5-FRETRA-ROATRUHET,1,
TO,FRETRAROATRUHETHYBRDSL____23,BAP-TRA-5-FRETRA-ROATRUHET,1,
TO,FRETRAROATRUHETPHEVDSLBELCF_23,BAP-TRA-5-FRETRA-ROATRUHET,1,
TO,FRETRAROATRUHETPHEVNGABELCF_23,BAP-TRA-5-FRETRA-ROATRUHET,1,
TO,FRETRAROATRUHETPHEVRDSLBELCF_23,BAP-TRA-5-FRETRA-ROATRUHET,1,
TO,FRETRAROATRUMETCONVGAS_EX,BAP-TRA-5-FRETRA-ROATRUMET,1,
TO,FRETRAROATRUMETCONVDSL_EX,BAP-TRA-5-FRETRA-ROATRUMET,1,
TO,FRETRAROATRUMETBEVBELCF____23,BAP-TRA-5-FRETRA-ROATRUMET,1,
TO,FRETRAROATRUMETCELLHH2____23,BAP-TRA-5-FRETRA-ROATRUMET,1,
TO,FRETRAROATRUMETCONVDSL____16,BAP-TRA-5-FRETRA-ROATRUMET,1,
TO,FRETRAROATRUMETCONVDSL____23,BAP-TRA-5-FRETRA-ROATRUMET,1,
TO,FRETRAROATRUMETCONVGAS____16,BAP-TRA-5-FRETRA-ROATRUMET,1,
TO,FRETRAROATRUMETCONVGAS____23,BAP-TRA-5-FRETRA-ROATRUMET,1,
TO,FRETRAROATRUMETCONVNGA____23,BAP-TRA-5-FRETRA-ROATRUMET,1,
TO,FRETRAROATRUMETCONVPRO____23,BAP-TRA-5-FRETRA-ROATRUMET,1,
TO,FRETRAROATRUMETCONVRDSL____23,BAP-TRA-5-FRETRA-ROATRUMET,1,
TO,FRETRAROATRUMETHYBDSL____23,BAP-TRA-5-FRETRA-ROATRUMET,1,
TO,FRETRAROATRUMETHYBRDSL____23,BAP-TRA-5-FRETRA-ROATRUMET,1,
TO,FRETRAROATRUMETPHEVDSLBELCF_23,BAP-TRA-5-FRETRA-ROATRUMET,1,
TO,FRETRAROATRUMETPHEVRDSLBELCF_23,BAP-TRA-5-FRETRA-ROATRUMET,1,
