regions,input_comm,tech,vintage,output_comm,efficiency,eff_notes
TO,ADEMWATWASFWWW,WATWASFWSPL,2015,ADEMWATWASFW,0.50,WaterWasteSplitFresh water
TO,ADEMWATWASFWFW,WATWASFWSPL,2015,ADEMWATWASFW,0.50,WaterWasteSplitFresh water
TO,ADEMWATWASCOLRWWW,WATWASCOLRW,2015,ADEMWATWASRW,5.56,WaterWasteRain collectionRain water
TO,ADEMWATWASSEWWW,WATWASSEWWW,2015,ADEMWATWASFWWW,1.00,WaterWasteSewer CollectionFresh water
TO,ADEMWATWASSEWWW,WATWASSEWWW,2015,ADEMWATWASCOLRWWW,1.00,WaterWasteSewer CollectionFresh water
TO,ADEMWATWASPUMWW,WATWASPUMWW,2015,ADEMWATWASSEWWW,0.97,WaterWastePumpWaste water
TO,WATWASELC,WATWASPUMWW,2015,ADEMWATWASSEWWW,0.97,WaterWastePumpWaste water
TO,ADEMWATWASGRIWW,WATWASGRIWW,2015,ADEMWATWASPUMWW,1.00,WaterWasteGridWaste water
TO,ADEMWATWASWWAB,WATWASSTPWW,2015,ADEMWATWASGRIWW,1.00,WaterWasteSplit Treatment PlantWaste water
TO,ADEMWATWASWWHC,WATWASSTPWW,2015,ADEMWATWASGRIWW,1.00,WaterWasteSplit Treatment PlantWaste water
TO,ADEMWATWASWWHB,WATWASSTPWW,2015,ADEMWATWASGRIWW,1.00,WaterWasteSplit Treatment PlantWaste water
TO,ADEMWATWASWWNT,WATWASSTPWW,2015,ADEMWATWASGRIWW,1.00,WaterWasteSplit Treatment PlantWaste water
TO,ADEMWATWASPUMFW,WATWASPUMFW,2015,ADEMWATWASFWFW,0.50,WaterWastePumpFresh water
TO,WATWASELC,WATWASPUMFW,2015,ADEMWATWASFWFW,0.50,WaterWastePumpFresh water
TO,ADEMWATWASGRIFW,WATWASGRIFW,2015,ADEMWATWASPUMFW,0.75,WaterWasteGridFresh water
TO,ADEMWATWASFWRCH,WATWASSTPFW,2015,ADEMWATWASGRIFW,1.00,WaterWasteSplit Treatment PlantFresh water
TO,ADEMWATWASFWFJH,WATWASSTPFW,2015,ADEMWATWASGRIFW,1.00,WaterWasteSplit Treatment PlantFresh water
TO,ADEMWATWASFWRLC,WATWASSTPFW,2015,ADEMWATWASGRIFW,1.00,WaterWasteSplit Treatment PlantFresh water
TO,ADEMWATWASFWISD,WATWASSTPFW,2015,ADEMWATWASGRIFW,1.00,WaterWasteSplit Treatment PlantFresh water
TO,WATWASHH2,TOWATWASETHOS,2015,WATWASETHOS,1.00,0
TO,WATWASCETH,TOWATWASETHOS,2015,WATWASETHOS,1.00,0
TO,WATWASBMTN,TOWATWASETHOS,2015,WATWASETHOS,1.00,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
