regions,tech,group_name,act_fraction,tech_desc
TO,RESBDGAPAOldCDY______STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldCDY______STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldCWA______STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldCWA___CBSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldCWA___FRSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldCWA___TPSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldDWA______STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldDWA______STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldFRZ______STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldFRZ___CHSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldFRZ___STGSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldLIFLC___STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldLIFLC___STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldLIFLU___STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldLIFLUT12STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldLIFLUT5STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldLIFLUT8STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldLIHAL___STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldLIHAL60WSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldLIINC___STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldLIINC60WSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldLILED___STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldLILED___STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldRAG______STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldRAG______STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldRAG______STDNGA_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldREF______STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldREF___FRDSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldREF___FRTSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGAPAOldSCCE___STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
