periods,group_name,max_act_g,notes
2031,BAP-BDG-5-PUBBDGHSP-TEDI,0,
2031,BAP-BDG-5-PUBBDGMUN-TEDI,0,
2031,BAP-BDG-5-PUBBDGPSI-TEDI,0,
2031,BAP-BDG-5-PUBBDGSBD-TEDI,0,
2031,BAP-BDG-5-PUBBDG-TEUI,0,
2032,BAP-BDG-5-PUBBDGHSP-TEDI,0,
2032,BAP-BDG-5-PUBBDGMUN-TEDI,0,
2032,BAP-BDG-5-PUBBDGPSI-TEDI,0,
2032,BAP-BDG-5-PUBBDGSBD-TEDI,0,
2032,BAP-BDG-5-PUBBDG-TEUI,0,
2033,BAP-BDG-5-PUBBDGHSP-TEDI,0,
2033,BAP-BDG-5-PUBBDGMUN-TEDI,0,
2033,BAP-BDG-5-PUBBDGPSI-TEDI,0,
2033,BAP-BDG-5-PUBBDGSBD-TEDI,0,
2033,BAP-BDG-5-PUBBDG-TEUI,0,
2034,BAP-BDG-5-PUBBDGHSP-TEDI,0,
2034,BAP-BDG-5-PUBBDGMUN-TEDI,0,
2034,BAP-BDG-5-PUBBDGPSI-TEDI,0,
2034,BAP-BDG-5-PUBBDGSBD-TEDI,0,
2034,BAP-BDG-5-PUBBDG-TEUI,0,
2035,BAP-BDG-5-PUBBDGHSP-TEDI,0,
2035,BAP-BDG-5-PUBBDGMUN-TEDI,0,
2035,BAP-BDG-5-PUBBDGPSI-TEDI,0,
2035,BAP-BDG-5-PUBBDGSBD-TEDI,0,
2035,BAP-BDG-5-PUBBDG-TEUI,0,
2036,BAP-BDG-5-PUBBDGHSP-TEDI,0,
2036,BAP-BDG-5-PUBBDGMUN-TEDI,0,
2036,BAP-BDG-5-PUBBDGPSI-TEDI,0,
2036,BAP-BDG-5-PUBBDGSBD-TEDI,0,
2036,BAP-BDG-5-PUBBDG-TEUI,0,
2037,BAP-BDG-5-PUBBDGHSP-TEDI,0,
2037,BAP-BDG-5-PUBBDGMUN-TEDI,0,
2037,BAP-BDG-5-PUBBDGPSI-TEDI,0,
2037,BAP-BDG-5-PUBBDGSBD-TEDI,0,
2037,BAP-BDG-5-PUBBDG-TEUI,0,
2038,BAP-BDG-5-PUBBDGHSP-TEDI,0,
2038,BAP-BDG-5-PUBBDGMUN-TEDI,0,
2038,BAP-BDG-5-PUBBDGPSI-TEDI,0,
2038,BAP-BDG-5-PUBBDGSBD-TEDI,0,
2038,BAP-BDG-5-PUBBDG-TEUI,0,
2039,BAP-BDG-5-PUBBDGHSP-TEDI,0,
2039,BAP-BDG-5-PUBBDGMUN-TEDI,0,
2039,BAP-BDG-5-PUBBDGPSI-TEDI,0,
2039,BAP-BDG-5-PUBBDGSBD-TEDI,0,
2039,BAP-BDG-5-PUBBDG-TEUI,0,
2040,BAP-BDG-5-PUBBDGHSP-TEDI,0,
2040,BAP-BDG-5-PUBBDGMUN-TEDI,0,
2040,BAP-BDG-5-PUBBDGPSI-TEDI,0,
2040,BAP-BDG-5-PUBBDGSBD-TEDI,0,
2040,BAP-BDG-5-PUBBDG-TEUI,0,
2041,BAP-BDG-5-PUBBDGHSP-TEDI,0,
2041,BAP-BDG-5-PUBBDGMUN-TEDI,0,
2041,BAP-BDG-5-PUBBDGPSI-TEDI,0,
2041,BAP-BDG-5-PUBBDGSBD-TEDI,0,
2041,BAP-BDG-5-PUBBDG-TEUI,0,
2042,BAP-BDG-5-PUBBDGHSP-TEDI,0,
2042,BAP-BDG-5-PUBBDGMUN-TEDI,0,
2042,BAP-BDG-5-PUBBDGPSI-TEDI,0,
2042,BAP-BDG-5-PUBBDGSBD-TEDI,0,
2042,BAP-BDG-5-PUBBDG-TEUI,0,
2043,BAP-BDG-5-PUBBDGHSP-TEDI,0,
2043,BAP-BDG-5-PUBBDGMUN-TEDI,0,
2043,BAP-BDG-5-PUBBDGPSI-TEDI,0,
2043,BAP-BDG-5-PUBBDGSBD-TEDI,0,
2043,BAP-BDG-5-PUBBDG-TEUI,0,
2044,BAP-BDG-5-PUBBDGHSP-TEDI,0,
2044,BAP-BDG-5-PUBBDGMUN-TEDI,0,
2044,BAP-BDG-5-PUBBDGPSI-TEDI,0,
2044,BAP-BDG-5-PUBBDGSBD-TEDI,0,
2044,BAP-BDG-5-PUBBDG-TEUI,0,
2045,BAP-BDG-5-PUBBDGHSP-TEDI,0,
2045,BAP-BDG-5-PUBBDGMUN-TEDI,0,
2045,BAP-BDG-5-PUBBDGPSI-TEDI,0,
