regions,periods,tech,mincap,mincap_units,mincap_notes
TO,2023,PASTRABELCSTARES240V,52.14,MW,
TO,2024,PASTRABELCSTARES240V,104.24,MW,
TO,2025,PASTRABELCSTARES240V,156.32,MW,
TO,2026,PASTRABELCSTARES240V,208.33,MW,
TO,2027,PASTRABELCSTARES240V,260.25,MW,
TO,2028,PASTRABELCSTARES240V,312.07,MW,
TO,2029,PASTRABELCSTARES240V,363.66,MW,
TO,2030,PASTRABELCSTARES240V,415.20,MW,
TO,2031,PASTRABELCSTARES240V,464.69,MW,
TO,2032,PASTRABELCSTARES240V,514.06,MW,
TO,2033,PASTRABELCSTARES240V,563.38,MW,
TO,2034,PASTRABELCSTARES240V,612.46,MW,
TO,2035,PASTRABELCSTARES240V,661.50,MW,
TO,2036,PASTRABELCSTARES240V,710.46,MW,
TO,2037,PASTRABELCSTARES240V,759.38,MW,
TO,2038,PASTRABELCSTARES240V,808.25,MW,
TO,2039,PASTRABELCSTARES240V,856.86,MW,
TO,2040,PASTRABELCSTARES240V,905.39,MW,
TO,2041,PASTRABELCSTARES240V,953.73,MW,
TO,2042,PASTRABELCSTARES240V,1001.93,MW,
TO,2043,PASTRABELCSTARES240V,1050.08,MW,
TO,2044,PASTRABELCSTARES240V,1098.17,MW,
TO,2045,PASTRABELCSTARES240V,1146.22,MW,
TO,2046,PASTRABELCSTARES240V,1194.01,MW,
TO,2047,PASTRABELCSTARES240V,1241.78,MW,
TO,2048,PASTRABELCSTARES240V,1289.48,MW,
TO,2049,PASTRABELCSTARES240V,1337.16,MW,
TO,2050,PASTRABELCSTARES240V,1384.78,MW,
