regions,tech,group_name,act_fraction,tech_desc
TO,PUBTRABDSLIMP,BAP-3-PUBTRA,1,
TO,PUBTRABMTNIMP,BAP-3-PUBTRA,1,
TO,PUBTRACETHIMP,BAP-3-PUBTRA,1,
TO,PUBTRADSLIMP,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP16,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP17,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP18,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP19,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP20,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP21,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP22,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP23,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP24,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP25,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP26,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP27,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP28,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP29,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP30,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP31,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP32,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP33,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP34,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP35,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP36,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP37,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP38,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP39,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP40,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP41,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP42,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP43,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP44,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP45,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP46,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP47,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP48,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP49,BAP-3-PUBTRA,1,
TO,PUBTRAELCIMP50,BAP-3-PUBTRA,1,
TO,PUBTRAETHIMP,BAP-3-PUBTRA,1,
TO,PUBTRAFTDSLIMP,BAP-3-PUBTRA,1,
TO,PUBTRAGASIMP,BAP-3-PUBTRA,1,
TO,PUBTRAHFOIMP,BAP-3-PUBTRA,1,
TO,PUBTRAHH2IMP,BAP-3-PUBTRA,1,
TO,PUBTRAKERIMP,BAP-3-PUBTRA,1,
TO,PUBTRALFOIMP,BAP-3-PUBTRA,1,
TO,PUBTRANGAIMP,BAP-3-PUBTRA,1,
TO,PUBTRAPROIMP,BAP-3-PUBTRA,1,
TO,PUBTRARDSLIMP,BAP-3-PUBTRA,1,
TO,PUBTRASGAIMP,BAP-3-PUBTRA,1,
TO,PUBTRASMTNIMP,BAP-3-PUBTRA,1,
