tech,group_name,notes
PUBTRABDSLIMP,BAP-3-PUBTRA,
PUBTRABMTNIMP,BAP-3-PUBTRA,
PUBTRACETHIMP,BAP-3-PUBTRA,
PUBTRADSLIMP,BAP-3-PUBTRA,
PUBTRAELCIMP16,BAP-3-PUBTRA,
PUBTRAELCIMP17,BAP-3-PUBTRA,
PUBTRAELCIMP18,BAP-3-PUBTRA,
PUBTRAELCIMP19,BAP-3-PUBTRA,
PUBTRAELCIMP20,BAP-3-PUBTRA,
PUBTRAELCIMP21,BAP-3-PUBTRA,
PUBTRAELCIMP22,BAP-3-PUBTRA,
PUBTRAELCIMP23,BAP-3-PUBTRA,
PUBTRAELCIMP24,BAP-3-PUBTRA,
PUBTRAELCIMP25,BAP-3-PUBTRA,
PUBTRAELCIMP26,BAP-3-PUBTRA,
PUBTRAELCIMP27,BAP-3-PUBTRA,
PUBTRAELCIMP28,BAP-3-PUBTRA,
PUBTRAELCIMP29,BAP-3-PUBTRA,
PUBTRAELCIMP30,BAP-3-PUBTRA,
PUBTRAELCIMP31,BAP-3-PUBTRA,
PUBTRAELCIMP32,BAP-3-PUBTRA,
PUBTRAELCIMP33,BAP-3-PUBTRA,
PUBTRAELCIMP34,BAP-3-PUBTRA,
PUBTRAELCIMP35,BAP-3-PUBTRA,
PUBTRAELCIMP36,BAP-3-PUBTRA,
PUBTRAELCIMP37,BAP-3-PUBTRA,
PUBTRAELCIMP38,BAP-3-PUBTRA,
PUBTRAELCIMP39,BAP-3-PUBTRA,
PUBTRAELCIMP40,BAP-3-PUBTRA,
PUBTRAELCIMP41,BAP-3-PUBTRA,
PUBTRAELCIMP42,BAP-3-PUBTRA,
PUBTRAELCIMP43,BAP-3-PUBTRA,
PUBTRAELCIMP44,BAP-3-PUBTRA,
PUBTRAELCIMP45,BAP-3-PUBTRA,
PUBTRAELCIMP46,BAP-3-PUBTRA,
PUBTRAELCIMP47,BAP-3-PUBTRA,
PUBTRAELCIMP48,BAP-3-PUBTRA,
PUBTRAELCIMP49,BAP-3-PUBTRA,
PUBTRAELCIMP50,BAP-3-PUBTRA,
PUBTRAETHIMP,BAP-3-PUBTRA,
PUBTRAFTDSLIMP,BAP-3-PUBTRA,
PUBTRAGASIMP,BAP-3-PUBTRA,
PUBTRAHFOIMP,BAP-3-PUBTRA,
PUBTRAHH2IMP,BAP-3-PUBTRA,
PUBTRAKERIMP,BAP-3-PUBTRA,
PUBTRALFOIMP,BAP-3-PUBTRA,
PUBTRANGAIMP,BAP-3-PUBTRA,
PUBTRAPROIMP,BAP-3-PUBTRA,
PUBTRARDSLIMP,BAP-3-PUBTRA,
PUBTRASGAIMP,BAP-3-PUBTRA,
PUBTRASMTNIMP,BAP-3-PUBTRA,
