regions,periods,demand_comm,demand,demand_units,demand_notes
TO,2016,ADEMPUBBDGHSPOldLI,1.768813292,Mm2,Aggregated DemandPublicBuildingHospitalOldLighting
TO,2016,ADEMPUBBDGMUNOldLI,2.019056068,Mm2,Aggregated DemandPublicBuildingMunicipalityOldLighting
TO,2016,ADEMPUBBDGPSIOldLI,3.903325339,Mm2,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldLighting
TO,2016,ADEMPUBBDGSBDOldLI,5.122490562,Mm2,Aggregated DemandPublicBuildingSchool boardOldLighting
TO,2016,ADEMPUBBDGHSPOldSC,1.768813292,Mm2,Aggregated DemandPublicBuildingHospitalOldSpace Cooling
TO,2016,ADEMPUBBDGMUNOldSC,2.019056068,Mm2,Aggregated DemandPublicBuildingMunicipalityOldSpace Cooling
TO,2016,ADEMPUBBDGPSIOldSC,3.903325339,Mm2,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldSpace Cooling
TO,2016,ADEMPUBBDGSBDOldSC,5.122490562,Mm2,Aggregated DemandPublicBuildingSchool boardOldSpace Cooling
TO,2016,ADEMPUBBDGHSPOldAM,1.768813292,Mm2,Aggregated DemandPublicBuildingHospitalOldAuxiliary Motors
TO,2016,ADEMPUBBDGMUNOldAM,2.019056068,Mm2,Aggregated DemandPublicBuildingMunicipalityOldAuxiliary Motors
TO,2016,ADEMPUBBDGPSIOldAM,3.903325339,Mm2,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldAuxiliary Motors
TO,2016,ADEMPUBBDGSBDOldAM,5.122490562,Mm2,Aggregated DemandPublicBuildingSchool boardOldAuxiliary Motors
TO,2016,ADEMPUBBDGHSPOldAE,1.768813292,Mm2,Aggregated DemandPublicBuildingHospitalOldAuxiliary Equipment
TO,2016,ADEMPUBBDGMUNOldAE,2.019056068,Mm2,Aggregated DemandPublicBuildingMunicipalityOldAuxiliary Equipment
TO,2016,ADEMPUBBDGPSIOldAE,3.903325339,Mm2,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldAuxiliary Equipment
TO,2016,ADEMPUBBDGSBDOldAE,5.122490562,Mm2,Aggregated DemandPublicBuildingSchool boardOldAuxiliary Equipment
TO,2016,ADEMPUBBDGHSPOldSH,1.768813292,Mm2,Aggregated DemandPublicBuildingHospitalOldSpace Heating
TO,2016,ADEMPUBBDGMUNOldSH,2.019056068,Mm2,Aggregated DemandPublicBuildingMunicipalityOldSpace Heating
TO,2016,ADEMPUBBDGPSIOldSH,3.903325339,Mm2,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldSpace Heating
TO,2016,ADEMPUBBDGSBDOldSH,5.122490562,Mm2,Aggregated DemandPublicBuildingSchool boardOldSpace Heating
TO,2016,ADEMPUBBDGHSPOldWH,1.768813292,Mm2,Aggregated DemandPublicBuildingHospitalOldWater Heating
TO,2016,ADEMPUBBDGMUNOldWH,2.019056068,Mm2,Aggregated DemandPublicBuildingMunicipalityOldWater Heating
TO,2016,ADEMPUBBDGPSIOldWH,3.903325339,Mm2,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldWater Heating
TO,2016,ADEMPUBBDGSBDOldWH,5.122490562,Mm2,Aggregated DemandPublicBuildingSchool boardOldWater Heating
TO,2016,ADEMPUBBDGHSPNewLI,0,Mm2,Aggregated DemandPublicBuildingHospitalNewLighting
TO,2016,ADEMPUBBDGMUNNewLI,0,Mm2,Aggregated DemandPublicBuildingMunicipalityNewLighting
TO,2016,ADEMPUBBDGPSINewLI,0,Mm2,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewLighting
TO,2016,ADEMPUBBDGSBDNewLI,0,Mm2,Aggregated DemandPublicBuildingSchool boardNewLighting
TO,2016,ADEMPUBBDGHSPNewSC,0,Mm2,Aggregated DemandPublicBuildingHospitalNewSpace Cooling
TO,2016,ADEMPUBBDGMUNNewSC,0,Mm2,Aggregated DemandPublicBuildingMunicipalityNewSpace Cooling
TO,2016,ADEMPUBBDGPSINewSC,0,Mm2,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewSpace Cooling
TO,2016,ADEMPUBBDGSBDNewSC,0,Mm2,Aggregated DemandPublicBuildingSchool boardNewSpace Cooling
