regions,vintage,tech,group_name,max_share_g,tech_desc
TO,2023,COMBDGAEROldAE______STDBMA_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldAE______STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldAE______STDNGA_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldAE______STDNGA_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldAE______STDPRO_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldAE______STDPRO_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldAM______STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldLIFLC___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldLIFLC___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldLIFLU___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldLIFLUT5STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldLIFLUT8STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldLIHAL___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldLIHAL100WSTDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldLIINC___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldLIINC100WSTDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldLILED___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldLILED___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSC______STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSC______STDNGA_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSCCE___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSCCE___STDNGA_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSCWA___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSCWD___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSHFUR___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSHFUR___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSHFUR___STDHFO_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSHFUR___STDHFO_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSHFUR___STDKER_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSHFUR___STDKER_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSHFUR___STDLFO_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSHFUR___STDLFO_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSHFUR___STDNGA_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSHFUR___STDNGA_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSHFUR___STDPRO_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSHFUR___STDPRO_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSHFURLARSTDHH2_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSHFURMEDSTDHH2_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSHFURSMASTDHH2_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSHHEP___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSHHEP___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSHHEP___STDNGA_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSHPLT___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAEROldSHPLT1000WSTDELC_23,BAP-BDG-4-COMBDG-ESR,0,
