regions,tech,group_name,act_fraction,tech_desc
TO,PUBBDGHSPNewSH,BAP-BDG-5-PUBBDG-TEUI,-360,
TO,PUBBDGMUNNewSH,BAP-BDG-5-PUBBDG-TEUI,-360,
TO,PUBBDGPSINewSH,BAP-BDG-5-PUBBDG-TEUI,-360,
TO,PUBBDGSBDNewSH,BAP-BDG-5-PUBBDG-TEUI,-360,
TO,PUBBDGHSPOldSH,BAP-BDG-5-PUBBDG-TEUI,-720,
TO,PUBBDGMUNOldSH,BAP-BDG-5-PUBBDG-TEUI,-720,
TO,PUBBDGPSIOldSH,BAP-BDG-5-PUBBDG-TEUI,-720,
TO,PUBBDGSBDOldSH,BAP-BDG-5-PUBBDG-TEUI,-720,
TO,PUBBDGNGAIMP,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGLFOIMP,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGHFOIMP,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGPROIMP,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGBMAIMP,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGHH2IMP,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGKERIMP,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGBWPIMP,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGBMTNIMP,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGSGAIMP,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP16,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP17,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP18,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP19,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP20,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP21,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP22,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP23,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP24,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP25,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP26,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP27,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP28,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP29,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP30,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP31,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP32,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP33,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP34,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP35,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP36,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP37,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP38,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP39,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP40,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP41,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP42,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP43,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP44,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP45,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP46,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP47,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP48,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP49,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGELCIMP50,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGHH2EXP,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGBMTNEXP,BAP-BDG-5-PUBBDG-TEUI,1,
TO,PUBBDGHSPNewSH,BAP-BDG-5-PUBBDGHSP-TEDI,-108,
TO,PUBBDGMUNNewSH,BAP-BDG-5-PUBBDGMUN-TEDI,-108,
TO,PUBBDGPSINewSH,BAP-BDG-5-PUBBDGPSI-TEDI,-108,
TO,PUBBDGSBDNewSH,BAP-BDG-5-PUBBDGSBD-TEDI,-108,
TO,PUBBDGHSPNewSH_________DHE_16,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFUR___ESRNGA_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFUR___ESRPRO_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFUR___HIGHFO_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFUR___HIGLFO_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFUR___HIGNGA_16,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFUR___HIGNGA_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFUR___HIGPRO_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFUR___STDELC_16,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFUR___STDELC_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFUR___STDHFO_16,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFUR___STDHFO_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFUR___STDKER_16,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFUR___STDKER_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFUR___STDLFO_16,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFUR___STDLFO_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFUR___STDNGA_16,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFUR___STDNGA_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFUR___STDPRO_16,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFUR___STDPRO_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFURLARSTDHH2_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFURMEDSTDHH2_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHFURSMASTDHH2_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHHEP___ESRELC_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHHEP___ESRGEO_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHHEP___HIGELC_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHHEP___HIGGEO_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHHEP___STDELC_16,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHHEP___STDELC_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHHEP___STDGEO_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHHEP___STDNGA_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHPLT___STDELC_16,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHPLT1000WSTDELC_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHPLT1500WSTDELC_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGHSPNewSHPLT500WSTDELC_23,BAP-BDG-5-PUBBDGHSP-TEDI,1,
TO,PUBBDGMUNNewSH_________DHE_16,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFUR___ESRNGA_23,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFUR___ESRPRO_23,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFUR___HIGHFO_23,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFUR___HIGLFO_23,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFUR___HIGNGA_16,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFUR___HIGNGA_23,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFUR___HIGPRO_23,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFUR___STDELC_16,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFUR___STDELC_23,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFUR___STDHFO_16,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFUR___STDHFO_23,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFUR___STDKER_16,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFUR___STDKER_23,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFUR___STDLFO_16,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFUR___STDLFO_23,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFUR___STDNGA_16,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFUR___STDNGA_23,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFUR___STDPRO_16,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFUR___STDPRO_23,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFURLARSTDHH2_23,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFURMEDSTDHH2_23,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHFURSMASTDHH2_23,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHHEP___ESRELC_23,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHHEP___ESRGEO_23,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHHEP___HIGELC_23,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHHEP___HIGGEO_23,BAP-BDG-5-PUBBDGMUN-TEDI,1,
TO,PUBBDGMUNNewSHHEP___STDELC_16,BAP-BDG-5-PUBBDGMUN-TEDI,1,
