regions,tech,group_name,act_fraction,tech_desc
TO,PUBBDGHSPOldSHZTM___HIGETHOS_23,BAP-BDG-6-PUBBDGHSP-TH,1,
TO,PUBBDGHSPOldSHZTM___STDETHOS_23,BAP-BDG-6-PUBBDGHSP-TH,1,
TO,PUBBDGHSPOldSHZTM___MEDETHOS_23,BAP-BDG-6-PUBBDGHSP-TH,1,
TO,PUBBDGMUNOldSHZTM___HIGETHOS_23,BAP-BDG-6-PUBBDGMUN-TH,1,
TO,PUBBDGMUNOldSHZTM___STDETHOS_23,BAP-BDG-6-PUBBDGMUN-TH,1,
TO,PUBBDGMUNOldSHZTM___MEDETHOS_23,BAP-BDG-6-PUBBDGMUN-TH,1,
TO,PUBBDGPSIOldSHZTM___HIGETHOS_23,BAP-BDG-6-PUBBDGPSI-TH,1,
TO,PUBBDGPSIOldSHZTM___STDETHOS_23,BAP-BDG-6-PUBBDGPSI-TH,1,
TO,PUBBDGPSIOldSHZTM___MEDETHOS_23,BAP-BDG-6-PUBBDGPSI-TH,1,
TO,PUBBDGSBDOldSHZTM___HIGETHOS_23,BAP-BDG-6-PUBBDGSBD-TH,1,
TO,PUBBDGSBDOldSHZTM___STDETHOS_23,BAP-BDG-6-PUBBDGSBD-TH,1,
TO,PUBBDGSBDOldSHZTM___MEDETHOS_23,BAP-BDG-6-PUBBDGSBD-TH,1,
TO,PUBBDGHSPOldSH,BAP-BDG-6-PUBBDGHSP-TH,-336,
TO,PUBBDGMUNOldSH,BAP-BDG-6-PUBBDGMUN-TH,-222,
TO,PUBBDGPSIOldSH,BAP-BDG-6-PUBBDGPSI-TH,-283,
TO,PUBBDGSBDOldSH,BAP-BDG-6-PUBBDGSBD-TH,-150,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
