regions,periods,tech,maxact,maxact_units,maxact_notes
TO,2040,RESBDGAPANewSHBOI___STDHH2_23,0,,
TO,2040,RESBDGAPANewSHFIR___HIGPRO_23,0,,
TO,2040,RESBDGAPANewSHFIR___STDPRO_23,0,,
TO,2040,RESBDGAPANewSHFUR___ESRNGA_23,0,,
TO,2040,RESBDGAPANewSHFUR___ESRPRO_23,0,,
TO,2040,RESBDGAPANewSHFUR___HIGLFO_23,0,,
TO,2040,RESBDGAPANewSHFUR___HIGNGA_16,0,,
TO,2040,RESBDGAPANewSHFUR___HIGNGA_23,0,,
TO,2040,RESBDGAPANewSHFUR___HIGPRO_23,0,,
TO,2040,RESBDGAPANewSHFUR___MEDNGA_16,0,,
TO,2040,RESBDGAPANewSHFUR___STDBMA_16,0,,
TO,2040,RESBDGAPANewSHFUR___STDBWP_16,0,,
TO,2040,RESBDGAPANewSHFUR___STDELC_23,0,,
TO,2040,RESBDGAPANewSHFUR___STDKER_16,0,,
TO,2040,RESBDGAPANewSHFUR___STDKER_23,0,,
TO,2040,RESBDGAPANewSHFUR___STDLFO_16,0,,
TO,2040,RESBDGAPANewSHFUR___STDLFO_23,0,,
TO,2040,RESBDGAPANewSHFUR___STDNGA_23,0,,
TO,2040,RESBDGAPANewSHFUR___STDPRO_16,0,,
TO,2040,RESBDGAPANewSHFUR___STDPRO_23,0,,
TO,2040,RESBDGAPANewSHHEP___STDNGA_23,0,,
TO,2040,RESBDGAPANewSHPLT___STDELC_16,0,,
TO,2040,RESBDGAPANewSHPLT1000WSTDELC_23,0,,
TO,2040,RESBDGAPANewSHPLT1500WSTDELC_23,0,,
TO,2040,RESBDGAPANewSHPLT500WSTDELC_23,0,,
TO,2040,RESBDGAPANewSHPST___HIGBWP_23,0,,
TO,2040,RESBDGAPANewSHPST___STDBWP_23,0,,
TO,2040,RESBDGAPANewSHSTV___HIGBMA_23,0,,
TO,2040,RESBDGAPANewSHSTV___STDBMA_23,0,,
TO,2040,RESBDGAPANewWH______STDBMA_16,0,,
TO,2040,RESBDGAPANewWH______STDBWP_16,0,,
TO,2040,RESBDGAPANewWH______STDELC_16,0,,
TO,2040,RESBDGAPANewWH______STDKER_16,0,,
TO,2040,RESBDGAPANewWH______STDLFO_16,0,,
TO,2040,RESBDGAPANewWH______STDNGA_16,0,,
TO,2040,RESBDGAPANewWH______STDPRO_16,0,,
TO,2040,RESBDGAPANewWHSTHBCKSTDELC_23,0,,
TO,2040,RESBDGAPANewWHSTHBCKSTDNGA_23,0,,
TO,2040,RESBDGAPANewWHSYS___STDBMA_23,0,,
TO,2040,RESBDGAPANewWHSYS___STDBWP_23,0,,
TO,2040,RESBDGAPANewWHSYS___STDKER_23,0,,
TO,2040,RESBDGAPANewWHSYS___STDLFO_23,0,,
TO,2040,RESBDGAPANewWHSYS___STDPRO_23,0,,
TO,2040,RESBDGAPANewWHWTK___ESRNGA_23,0,,
TO,2040,RESBDGAPANewWHWTK___HIGELC_23,0,,
TO,2040,RESBDGAPANewWHWTK___HIGNGA_23,0,,
TO,2040,RESBDGAPANewWHWTK___STDELC_23,0,,
TO,2040,RESBDGAPANewWHWTK___STDNGA_23,0,,
TO,2040,RESBDGAPAOldSHBOI___STDHH2_23,0,,
TO,2040,RESBDGAPAOldSHFIR___HIGPRO_23,0,,
TO,2040,RESBDGAPAOldSHFIR___STDPRO_23,0,,
TO,2040,RESBDGAPAOldSHFUR___ESRNGA_23,0,,
TO,2040,RESBDGAPAOldSHFUR___ESRPRO_23,0,,
TO,2040,RESBDGAPAOldSHFUR___HIGLFO_23,0,,
TO,2040,RESBDGAPAOldSHFUR___HIGNGA_16,0,,
TO,2040,RESBDGAPAOldSHFUR___HIGNGA_23,0,,
TO,2040,RESBDGAPAOldSHFUR___HIGPRO_23,0,,
TO,2040,RESBDGAPAOldSHFUR___MEDNGA_16,0,,
TO,2040,RESBDGAPAOldSHFUR___STDBMA_16,0,,
TO,2040,RESBDGAPAOldSHFUR___STDBWP_16,0,,
TO,2040,RESBDGAPAOldSHFUR___STDELC_23,0,,
TO,2040,RESBDGAPAOldSHFUR___STDKER_16,0,,
TO,2040,RESBDGAPAOldSHFUR___STDKER_23,0,,
TO,2040,RESBDGAPAOldSHFUR___STDLFO_16,0,,
TO,2040,RESBDGAPAOldSHFUR___STDLFO_23,0,,
TO,2040,RESBDGAPAOldSHFUR___STDNGA_23,0,,
TO,2040,RESBDGAPAOldSHFUR___STDPRO_16,0,,
TO,2040,RESBDGAPAOldSHFUR___STDPRO_23,0,,
TO,2040,RESBDGAPAOldSHHEP___STDNGA_23,0,,
TO,2040,RESBDGAPAOldSHPLT___STDELC_16,0,,
TO,2040,RESBDGAPAOldSHPLT1000WSTDELC_23,0,,
TO,2040,RESBDGAPAOldSHPLT1500WSTDELC_23,0,,
TO,2040,RESBDGAPAOldSHPLT500WSTDELC_23,0,,
TO,2040,RESBDGAPAOldSHPST___HIGBWP_23,0,,
TO,2040,RESBDGAPAOldSHPST___STDBWP_23,0,,
TO,2040,RESBDGAPAOldSHSTV___HIGBMA_23,0,,
TO,2040,RESBDGAPAOldSHSTV___STDBMA_23,0,,
TO,2040,RESBDGAPAOldWH______STDBMA_16,0,,
TO,2040,RESBDGAPAOldWH______STDBWP_16,0,,
TO,2040,RESBDGAPAOldWH______STDELC_16,0,,
TO,2040,RESBDGAPAOldWH______STDKER_16,0,,
TO,2040,RESBDGAPAOldWH______STDLFO_16,0,,
TO,2040,RESBDGAPAOldWH______STDNGA_16,0,,
TO,2040,RESBDGAPAOldWH______STDPRO_16,0,,
TO,2040,RESBDGAPAOldWHSTHBCKSTDELC_23,0,,
TO,2040,RESBDGAPAOldWHSTHBCKSTDNGA_23,0,,
TO,2040,RESBDGAPAOldWHSYS___STDBMA_23,0,,
TO,2040,RESBDGAPAOldWHSYS___STDBWP_23,0,,
TO,2040,RESBDGAPAOldWHSYS___STDKER_23,0,,
TO,2040,RESBDGAPAOldWHSYS___STDLFO_23,0,,
TO,2040,RESBDGAPAOldWHSYS___STDPRO_23,0,,
TO,2040,RESBDGAPAOldWHWTK___ESRNGA_23,0,,
TO,2040,RESBDGAPAOldWHWTK___HIGELC_23,0,,
TO,2040,RESBDGAPAOldWHWTK___HIGNGA_23,0,,
TO,2040,RESBDGAPAOldWHWTK___STDELC_23,0,,
TO,2040,RESBDGAPAOldWHWTK___STDNGA_23,0,,
TO,2040,RESBDGSATNewSHBOI___STDHH2_23,0,,
TO,2040,RESBDGSATNewSHFIR___HIGPRO_23,0,,
TO,2040,RESBDGSATNewSHFIR___STDPRO_23,0,,
TO,2040,RESBDGSATNewSHFUR___ESRNGA_23,0,,
TO,2040,RESBDGSATNewSHFUR___ESRPRO_23,0,,
TO,2040,RESBDGSATNewSHFUR___HIGLFO_23,0,,
TO,2040,RESBDGSATNewSHFUR___HIGNGA_16,0,,
TO,2040,RESBDGSATNewSHFUR___HIGNGA_23,0,,
TO,2040,RESBDGSATNewSHFUR___HIGPRO_23,0,,
TO,2040,RESBDGSATNewSHFUR___MEDNGA_16,0,,
TO,2040,RESBDGSATNewSHFUR___STDBMA_16,0,,
TO,2040,RESBDGSATNewSHFUR___STDBWP_16,0,,
TO,2040,RESBDGSATNewSHFUR___STDELC_23,0,,
TO,2040,RESBDGSATNewSHFUR___STDKER_16,0,,
TO,2040,RESBDGSATNewSHFUR___STDKER_23,0,,
TO,2040,RESBDGSATNewSHFUR___STDLFO_16,0,,
TO,2040,RESBDGSATNewSHFUR___STDLFO_23,0,,
TO,2040,RESBDGSATNewSHFUR___STDNGA_23,0,,
TO,2040,RESBDGSATNewSHFUR___STDPRO_16,0,,
TO,2040,RESBDGSATNewSHFUR___STDPRO_23,0,,
TO,2040,RESBDGSATNewSHHEP___STDNGA_23,0,,
TO,2040,RESBDGSATNewSHPLT___STDELC_16,0,,
TO,2040,RESBDGSATNewSHPLT1000WSTDELC_23,0,,
TO,2040,RESBDGSATNewSHPLT1500WSTDELC_23,0,,
TO,2040,RESBDGSATNewSHPLT500WSTDELC_23,0,,
TO,2040,RESBDGSATNewSHPST___HIGBWP_23,0,,
TO,2040,RESBDGSATNewSHPST___STDBWP_23,0,,
TO,2040,RESBDGSATNewSHSTV___HIGBMA_23,0,,
TO,2040,RESBDGSATNewSHSTV___STDBMA_23,0,,
TO,2040,RESBDGSATNewWH______STDBMA_16,0,,
TO,2040,RESBDGSATNewWH______STDBWP_16,0,,
TO,2040,RESBDGSATNewWH______STDELC_16,0,,
TO,2040,RESBDGSATNewWH______STDKER_16,0,,
TO,2040,RESBDGSATNewWH______STDLFO_16,0,,
TO,2040,RESBDGSATNewWH______STDNGA_16,0,,
TO,2040,RESBDGSATNewWH______STDPRO_16,0,,
TO,2040,RESBDGSATNewWHSTHBCKSTDELC_23,0,,
TO,2040,RESBDGSATNewWHSTHBCKSTDNGA_23,0,,
TO,2040,RESBDGSATNewWHSYS___STDBMA_23,0,,
TO,2040,RESBDGSATNewWHSYS___STDBWP_23,0,,
TO,2040,RESBDGSATNewWHSYS___STDKER_23,0,,
TO,2040,RESBDGSATNewWHSYS___STDLFO_23,0,,
TO,2040,RESBDGSATNewWHSYS___STDPRO_23,0,,
TO,2040,RESBDGSATNewWHWTK___ESRNGA_23,0,,
