regions,vintage,tech,group_name,max_share_g,tech_desc
TO,2040,RESBDGSDEOldRAG______STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldRAG______STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldRAG______STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewRAG______STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewRAG______STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewRAG______STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldSHFUR___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldSHFUR___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldSHFUR___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldWHWTK___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldWHWTK___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldWHWTK___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewWHWTK___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewSHFUR___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewWHWTK___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewSHFUR___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewWHWTK___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewSHFUR___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewSHFUR___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewSHFUR___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewSHFUR___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldWHWTK___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldWHWTK___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewWHWTK___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewWHWTK___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewWHWTK___HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldWHWTK___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewWHSYS___STDPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewWHWTK___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewWHWTK___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewWHSYS___STDPRO_23,NZ40-BDG-2-RESBDG,0,
