regions,tech,group_name,act_fraction,tech_desc
TO,RESBDGSATNewCDY______STDELC_16,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewCDY______STDELC_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewCWA______STDELC_16,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewCWA___CBSTDELC_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewCWA___FRSTDELC_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewCWA___TPSTDELC_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewDWA______STDELC_16,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewDWA______STDELC_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewFRZ______STDELC_16,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewFRZ___CHSTDELC_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewFRZ___STGSTDELC_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewLIFLC___STDELC_16,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewLIFLC___STDELC_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewLIFLU___STDELC_16,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewLIFLUT12STDELC_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewLIFLUT5STDELC_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewLIFLUT8STDELC_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewLIHAL___STDELC_16,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewLIHAL60WSTDELC_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewLIINC___STDELC_16,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewLIINC60WSTDELC_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewLILED___STDELC_16,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewLILED___STDELC_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewRAG______STDELC_16,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewREF______STDELC_16,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewREF___FRDSTDELC_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewREF___FRTSTDELC_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewSCCE___STDELC_16,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewSCCE___STDELC_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewSCRO___STDELC_16,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewSCWA___STDELC_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewSCWD___STDELC_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewSHBOI___STDHH2_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewSHFIR___STDPRO_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewSHFUR___MEDNGA_16,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewSHFUR___STDBMA_16,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewSHFUR___STDBWP_16,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewSHFUR___STDELC_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewSHFUR___STDKER_16,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewSHFUR___STDKER_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewSHFUR___STDLFO_16,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewSHFUR___STDLFO_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewSHFUR___STDNGA_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewSHFUR___STDPRO_16,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewSHFUR___STDPRO_23,NZ50-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATNewSHHEP___STDELC_16,NZ50-BDG-2-RESBDG-ESR,1,
