regions,periods,tech,group_name,min_share_g,tech_desc
TO,2023,INDBDGNGAIMP,NZ50-BDG-7-INDBDG,0.696584463,
TO,2024,INDBDGNGAIMP,NZ50-BDG-7-INDBDG,0.696584463,
TO,2025,INDBDGNGAIMP,NZ50-BDG-7-INDBDG,0.696584463,
TO,2026,INDBDGNGAIMP,NZ50-BDG-7-INDBDG,0.696584463,
TO,2027,INDBDGNGAIMP,NZ50-BDG-7-INDBDG,0.696584463,
TO,2028,INDBDGNGAIMP,NZ50-BDG-7-INDBDG,0.696584463,
TO,2029,INDBDGNGAIMP,NZ50-BDG-7-INDBDG,0.696584463,
TO,2030,INDBDGNGAIMP,NZ50-BDG-7-INDBDG,0.487609124,
TO,2035,INDBDGNGAIMP,NZ50-BDG-7-INDBDG,0.487609124,
TO,2040,INDBDGNGAIMP,NZ50-BDG-7-INDBDG,0.487609124,
TO,2045,INDBDGNGAIMP,NZ50-BDG-7-INDBDG,0.487609124,
TO,2050,INDBDGNGAIMP,NZ50-BDG-7-INDBDG,0.278633785,
