regions,tech,group_name,act_fraction,tech_desc
TO,PUBBDGHSPNewSH,NZ50-BDG-9-PUBBDG-TEUI-T2,-360,
TO,PUBBDGMUNNewSH,NZ50-BDG-9-PUBBDG-TEUI-T2,-360,
TO,PUBBDGPSINewSH,NZ50-BDG-9-PUBBDG-TEUI-T2,-360,
TO,PUBBDGSBDNewSH,NZ50-BDG-9-PUBBDG-TEUI-T2,-360,
TO,PUBBDGHSPOldSH,NZ50-BDG-9-PUBBDG-TEUI-T2,-1080,
TO,PUBBDGMUNOldSH,NZ50-BDG-9-PUBBDG-TEUI-T2,-1080,
TO,PUBBDGPSIOldSH,NZ50-BDG-9-PUBBDG-TEUI-T2,-1080,
TO,PUBBDGSBDOldSH,NZ50-BDG-9-PUBBDG-TEUI-T2,-1080,
TO,PUBBDGNGAIMP,NZ50-BDG-9-PUBBDG-TEUI-T2,1,
TO,PUBBDGLFOIMP,NZ50-BDG-9-PUBBDG-TEUI-T2,1,
TO,PUBBDGHFOIMP,NZ50-BDG-9-PUBBDG-TEUI-T2,1,
TO,PUBBDGPROIMP,NZ50-BDG-9-PUBBDG-TEUI-T2,1,
TO,PUBBDGBMAIMP,NZ50-BDG-9-PUBBDG-TEUI-T2,1,
TO,PUBBDGHH2IMP,NZ50-BDG-9-PUBBDG-TEUI-T2,1,
TO,PUBBDGKERIMP,NZ50-BDG-9-PUBBDG-TEUI-T2,1,
TO,PUBBDGBWPIMP,NZ50-BDG-9-PUBBDG-TEUI-T2,1,
TO,PUBBDGBMTNIMP,NZ50-BDG-9-PUBBDG-TEUI-T2,1,
TO,PUBBDGSGAIMP,NZ50-BDG-9-PUBBDG-TEUI-T2,1,
TO,PUBBDGELCIMP16,NZ50-BDG-9-PUBBDG-TEUI-T2,1,
TO,PUBBDGELCIMP17,NZ50-BDG-9-PUBBDG-TEUI-T2,1,
TO,PUBBDGELCIMP18,NZ50-BDG-9-PUBBDG-TEUI-T2,1,
TO,PUBBDGELCIMP19,NZ50-BDG-9-PUBBDG-TEUI-T2,1,
TO,PUBBDGELCIMP20,NZ50-BDG-9-PUBBDG-TEUI-T2,1,
