regions,periods,tech,group_name,min_share_g,tech_desc
TO,2030,PUBTRADSLIMP,BAP-3-PUBTRA,0.241986729,
TO,2030,PUBTRAGASIMP,BAP-3-PUBTRA,0.29168637,
TO,2035,PUBTRADSLIMP,BAP-3-PUBTRA,0.241986729,
TO,2035,PUBTRAGASIMP,BAP-3-PUBTRA,0.29168637,
TO,2040,PUBTRADSLIMP,BAP-3-PUBTRA,0.241986729,
TO,2040,PUBTRAGASIMP,BAP-3-PUBTRA,0.29168637,
TO,2045,PUBTRADSLIMP,BAP-3-PUBTRA,0.241986729,
TO,2045,PUBTRAGASIMP,BAP-3-PUBTRA,0.29168637,
TO,2050,PUBTRADSLIMP,BAP-3-PUBTRA,0.241986729,
TO,2050,PUBTRAGASIMP,BAP-3-PUBTRA,0.29168637,
