periods,group_name,min_act_g,tech_desc
2023,NZ40-ENE-1-FRETRA,23245.1,
2023,NZ40-ENE-1-PASTRA,67015.2,
2023,NZ40-ENE-1-PUBTRA,1403.8,
2023,NZ40-ENE-1-COMBDG,105549.6,
2023,NZ40-ENE-1-INDBDG,20996.1,
2023,NZ40-ENE-1-PUBBDG,17366.1,
2023,NZ40-ENE-1-RESBDG,97857.6,
2024,NZ40-ENE-1-FRETRA,22021.7,
2024,NZ40-ENE-1-PASTRA,63488.1,
2024,NZ40-ENE-1-PUBTRA,1329.9,
2024,NZ40-ENE-1-COMBDG,99994.4,
2024,NZ40-ENE-1-INDBDG,19891.0,
2024,NZ40-ENE-1-PUBBDG,16452.1,
2024,NZ40-ENE-1-RESBDG,92707.2,
2025,NZ40-ENE-1-FRETRA,20798.3,
2025,NZ40-ENE-1-PASTRA,59961.0,
2025,NZ40-ENE-1-PUBTRA,1256.0,
2025,NZ40-ENE-1-COMBDG,94439.1,
2025,NZ40-ENE-1-INDBDG,18785.9,
2025,NZ40-ENE-1-PUBBDG,15538.1,
2025,NZ40-ENE-1-RESBDG,87556.8,
2026,NZ40-ENE-1-FRETRA,19574.8,
2026,NZ40-ENE-1-PASTRA,56433.9,
2026,NZ40-ENE-1-PUBTRA,1182.2,
2026,NZ40-ENE-1-COMBDG,88883.9,
2026,NZ40-ENE-1-INDBDG,17680.9,
2026,NZ40-ENE-1-PUBBDG,14624.1,
2026,NZ40-ENE-1-RESBDG,82406.4,
2027,NZ40-ENE-1-FRETRA,18351.4,
2027,NZ40-ENE-1-PASTRA,52906.8,
2027,NZ40-ENE-1-PUBTRA,1108.3,
2027,NZ40-ENE-1-COMBDG,83328.6,
2027,NZ40-ENE-1-INDBDG,16575.8,
2027,NZ40-ENE-1-PUBBDG,13710.0,
2027,NZ40-ENE-1-RESBDG,77256.0,
2028,NZ40-ENE-1-FRETRA,17128.0,
2028,NZ40-ENE-1-PASTRA,49379.6,
2028,NZ40-ENE-1-PUBTRA,1034.4,
2028,NZ40-ENE-1-COMBDG,77773.4,
2028,NZ40-ENE-1-INDBDG,15470.8,
2028,NZ40-ENE-1-PUBBDG,12796.0,
2028,NZ40-ENE-1-RESBDG,72105.6,
2029,NZ40-ENE-1-FRETRA,15904.6,
2029,NZ40-ENE-1-PASTRA,45852.5,
2029,NZ40-ENE-1-PUBTRA,960.5,
2029,NZ40-ENE-1-COMBDG,72218.2,
2029,NZ40-ENE-1-INDBDG,14365.7,
2029,NZ40-ENE-1-PUBBDG,11882.0,
2029,NZ40-ENE-1-RESBDG,66955.2,
2030,NZ40-ENE-1-FRETRA,14681.1,
2030,NZ40-ENE-1-PASTRA,42325.4,
2030,NZ40-ENE-1-PUBTRA,886.6,
2030,NZ40-ENE-1-COMBDG,66662.9,
2030,NZ40-ENE-1-INDBDG,13260.7,
2030,NZ40-ENE-1-PUBBDG,10968.0,
2030,NZ40-ENE-1-RESBDG,61804.8,
2031,NZ40-ENE-1-FRETRA,13457.7,
2031,NZ40-ENE-1-PASTRA,38798.3,
2031,NZ40-ENE-1-PUBTRA,812.7,
2031,NZ40-ENE-1-COMBDG,61107.7,
2031,NZ40-ENE-1-INDBDG,12155.6,
2031,NZ40-ENE-1-PUBBDG,10054.0,
2031,NZ40-ENE-1-RESBDG,56654.4,
2032,NZ40-ENE-1-FRETRA,12234.3,
2032,NZ40-ENE-1-PASTRA,35271.2,
2032,NZ40-ENE-1-PUBTRA,738.8,
2032,NZ40-ENE-1-COMBDG,55552.4,
2032,NZ40-ENE-1-INDBDG,11050.6,
2032,NZ40-ENE-1-PUBBDG,9140.0,
2032,NZ40-ENE-1-RESBDG,51504.0,
2033,NZ40-ENE-1-FRETRA,11010.8,
2033,NZ40-ENE-1-PASTRA,31744.1,
2033,NZ40-ENE-1-PUBTRA,665.0,
2033,NZ40-ENE-1-COMBDG,49997.2,
2033,NZ40-ENE-1-INDBDG,9945.5,
2033,NZ40-ENE-1-PUBBDG,8226.0,
2033,NZ40-ENE-1-RESBDG,46353.6,
2034,NZ40-ENE-1-FRETRA,9787.4,
2034,NZ40-ENE-1-PASTRA,28216.9,
2034,NZ40-ENE-1-PUBTRA,591.1,
2034,NZ40-ENE-1-COMBDG,44441.9,
2034,NZ40-ENE-1-INDBDG,8840.4,
2034,NZ40-ENE-1-PUBBDG,7312.0,
2034,NZ40-ENE-1-RESBDG,41203.2,
2035,NZ40-ENE-1-FRETRA,8564.0,
2035,NZ40-ENE-1-PASTRA,24689.8,
2035,NZ40-ENE-1-PUBTRA,517.2,
2035,NZ40-ENE-1-COMBDG,38886.7,
2035,NZ40-ENE-1-INDBDG,7735.4,
2035,NZ40-ENE-1-PUBBDG,6398.0,
2035,NZ40-ENE-1-RESBDG,36052.8,
2036,NZ40-ENE-1-FRETRA,7340.6,
2036,NZ40-ENE-1-PASTRA,21162.7,
2036,NZ40-ENE-1-PUBTRA,443.3,
2036,NZ40-ENE-1-COMBDG,33331.5,
2036,NZ40-ENE-1-INDBDG,6630.3,
2036,NZ40-ENE-1-PUBBDG,5484.0,
2036,NZ40-ENE-1-RESBDG,30902.4,
2037,NZ40-ENE-1-FRETRA,6117.1,
2037,NZ40-ENE-1-PASTRA,17635.6,
2037,NZ40-ENE-1-PUBTRA,369.4,
2037,NZ40-ENE-1-COMBDG,27776.2,
2037,NZ40-ENE-1-INDBDG,5525.3,
2037,NZ40-ENE-1-PUBBDG,4570.0,
2037,NZ40-ENE-1-RESBDG,25752.0,
2038,NZ40-ENE-1-FRETRA,4893.7,
2038,NZ40-ENE-1-PASTRA,14108.5,
2038,NZ40-ENE-1-PUBTRA,295.5,
2038,NZ40-ENE-1-COMBDG,22221.0,
2038,NZ40-ENE-1-INDBDG,4420.2,
2038,NZ40-ENE-1-PUBBDG,3656.0,
2038,NZ40-ENE-1-RESBDG,20601.6,
2039,NZ40-ENE-1-FRETRA,3670.3,
2039,NZ40-ENE-1-PASTRA,10581.4,
2039,NZ40-ENE-1-PUBTRA,221.7,
2039,NZ40-ENE-1-COMBDG,16665.7,
2039,NZ40-ENE-1-INDBDG,3315.2,
2039,NZ40-ENE-1-PUBBDG,2742.0,
2039,NZ40-ENE-1-RESBDG,15451.2,
2040,NZ40-ENE-1-FRETRA,2446.9,
2040,NZ40-ENE-1-PASTRA,7054.2,
2040,NZ40-ENE-1-PUBTRA,147.8,
2040,NZ40-ENE-1-COMBDG,11110.5,
2040,NZ40-ENE-1-INDBDG,2210.1,
2040,NZ40-ENE-1-PUBBDG,1828.0,
2040,NZ40-ENE-1-RESBDG,10300.8,
2041,NZ40-ENE-1-FRETRA,1223.4,
2041,NZ40-ENE-1-PASTRA,3527.1,
2041,NZ40-ENE-1-PUBTRA,73.9,
2041,NZ40-ENE-1-COMBDG,5555.2,
2041,NZ40-ENE-1-INDBDG,1105.1,
2041,NZ40-ENE-1-PUBBDG,914.0,
2041,NZ40-ENE-1-RESBDG,5150.4,
2042,NZ40-ENE-1-FRETRA,0.0,
2042,NZ40-ENE-1-PASTRA,0.0,
2042,NZ40-ENE-1-PUBTRA,0.0,
2042,NZ40-ENE-1-COMBDG,0.0,
2042,NZ40-ENE-1-INDBDG,0.0,
2042,NZ40-ENE-1-PUBBDG,0.0,
2042,NZ40-ENE-1-RESBDG,0.0,
2043,NZ40-ENE-1-FRETRA,0.0,
2043,NZ40-ENE-1-PASTRA,0.0,
2043,NZ40-ENE-1-PUBTRA,0.0,
2043,NZ40-ENE-1-COMBDG,0.0,
2043,NZ40-ENE-1-INDBDG,0.0,
2043,NZ40-ENE-1-PUBBDG,0.0,
2043,NZ40-ENE-1-RESBDG,0.0,
2044,NZ40-ENE-1-FRETRA,0.0,
2044,NZ40-ENE-1-PASTRA,0.0,
2044,NZ40-ENE-1-PUBTRA,0.0,
2044,NZ40-ENE-1-COMBDG,0.0,
2044,NZ40-ENE-1-INDBDG,0.0,
2044,NZ40-ENE-1-PUBBDG,0.0,
2044,NZ40-ENE-1-RESBDG,0.0,
2045,NZ40-ENE-1-FRETRA,0.0,
2045,NZ40-ENE-1-PASTRA,0.0,
2045,NZ40-ENE-1-PUBTRA,0.0,
2045,NZ40-ENE-1-COMBDG,0.0,
2045,NZ40-ENE-1-INDBDG,0.0,
2045,NZ40-ENE-1-PUBBDG,0.0,
2045,NZ40-ENE-1-RESBDG,0.0,
2046,NZ40-ENE-1-FRETRA,0.0,
2046,NZ40-ENE-1-PASTRA,0.0,
2046,NZ40-ENE-1-PUBTRA,0.0,
2046,NZ40-ENE-1-COMBDG,0.0,
2046,NZ40-ENE-1-INDBDG,0.0,
2046,NZ40-ENE-1-PUBBDG,0.0,
2046,NZ40-ENE-1-RESBDG,0.0,
2047,NZ40-ENE-1-FRETRA,0.0,
2047,NZ40-ENE-1-PASTRA,0.0,
2047,NZ40-ENE-1-PUBTRA,0.0,
2047,NZ40-ENE-1-COMBDG,0.0,
2047,NZ40-ENE-1-INDBDG,0.0,
2047,NZ40-ENE-1-PUBBDG,0.0,
2047,NZ40-ENE-1-RESBDG,0.0,
2048,NZ40-ENE-1-FRETRA,0.0,
2048,NZ40-ENE-1-PASTRA,0.0,
2048,NZ40-ENE-1-PUBTRA,0.0,
2048,NZ40-ENE-1-COMBDG,0.0,
2048,NZ40-ENE-1-INDBDG,0.0,
2048,NZ40-ENE-1-PUBBDG,0.0,
2048,NZ40-ENE-1-RESBDG,0.0,
2049,NZ40-ENE-1-FRETRA,0.0,
2049,NZ40-ENE-1-PASTRA,0.0,
2049,NZ40-ENE-1-PUBTRA,0.0,
2049,NZ40-ENE-1-COMBDG,0.0,
2049,NZ40-ENE-1-INDBDG,0.0,
2049,NZ40-ENE-1-PUBBDG,0.0,
2049,NZ40-ENE-1-RESBDG,0.0,
2050,NZ40-ENE-1-FRETRA,0.0,
2050,NZ40-ENE-1-PASTRA,0.0,
2050,NZ40-ENE-1-PUBTRA,0.0,
2050,NZ40-ENE-1-COMBDG,0.0,
2050,NZ40-ENE-1-INDBDG,0.0,
2050,NZ40-ENE-1-PUBBDG,0.0,
2050,NZ40-ENE-1-RESBDG,0.0,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
