regions,periods,tech,group_name,min_share_g,tech_desc
TO,2023,FRETRAAGAIMP,NZ40-ENE-1-FRETRA,0.0000122,
TO,2023,FRETRAATFIMP,NZ40-ENE-1-FRETRA,0.0055404,
TO,2023,FRETRABDSLIMP,NZ40-ENE-1-FRETRA,0.0011684,
TO,2023,PASTRABDSLIMP,NZ40-ENE-1-PASTRA,0.0000029,
TO,2023,PUBTRABDSLIMP,NZ40-ENE-1-PUBTRA,0.0038365,
TO,2023,RESBDGBMAIMP,NZ40-ENE-1-RESBDG,0.0079025,
TO,2023,COMBDGBMTNIMP,NZ40-ENE-1-COMBDG,0.0000069,
TO,2023,PASTRABMTNIMP,NZ40-ENE-1-PASTRA,0.0000015,
TO,2023,PUBBDGBMTNIMP,NZ40-ENE-1-PUBBDG,0.0000205,
TO,2023,RESBDGBMTNIMP,NZ40-ENE-1-RESBDG,0.0000047,
TO,2023,RESBDGBWPIMP,NZ40-ENE-1-RESBDG,0.0060814,
TO,2023,FRETRACETHIMP,NZ40-ENE-1-FRETRA,0.0000201,
TO,2023,PASTRACETHIMP,NZ40-ENE-1-PASTRA,0.0000586,
TO,2023,PUBTRACETHIMP,NZ40-ENE-1-PUBTRA,0.0008176,
TO,2023,INDBDGCOAIMP,NZ40-ENE-1-INDBDG,0.0042454,
TO,2023,FRETRADSLIMP,NZ40-ENE-1-FRETRA,0.4688619,
TO,2023,PASTRADSLIMP,NZ40-ENE-1-PASTRA,0.0662947,
TO,2023,PUBTRADSLIMP,NZ40-ENE-1-PUBTRA,0.3761794,
TO,2023,COMBDGELCIMP23,NZ40-ENE-1-COMBDG,0.4940349,
TO,2023,INDBDGELCIMP23,NZ40-ENE-1-INDBDG,0.2356704,
TO,2023,PASTRAELCIMP23,NZ40-ENE-1-PASTRA,0.0273827,
TO,2023,PUBBDGELCIMP23,NZ40-ENE-1-PUBBDG,0.3674907,
TO,2023,RESBDGELCIMP23,NZ40-ENE-1-RESBDG,0.2079676,
TO,2023,FRETRAETHIMP,NZ40-ENE-1-FRETRA,0.0176960,
