regions,periods,demand_comm,demand,demand_units,demand_notes
TO,2016,ADEMPASTRAINHW,6710.109525,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2016,ADEMPASTRAEXIHW,2764.593123,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2016,ADEMPASTRAEXOHW,2736.05264,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2016,ADEMPASTRAINHS,2654.06837,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2016,ADEMPASTRAEXIHS,649.6021984,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
TO,2016,ADEMPASTRAEXOHS,642.8959817,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome School
TO,2016,ADEMPASTRAINHO,3146.937235,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Other
TO,2016,ADEMPASTRAEXIHO,2020.065508,M pkm,Aggregated DemandPassengerTransportationExternal INHome Other
TO,2016,ADEMPASTRAEXOHO,1999.211211,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Other
TO,2016,ADEMPASTRAINNH,1518.454373,M pkm,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
TO,2016,ADEMPASTRAEXINH,974.7182974,M pkm,Aggregated DemandPassengerTransportationExternal INNon Home based
TO,2016,ADEMPASTRAEXONH,964.6557204,M pkm,Aggregated DemandPassengerTransportationExternal OUTNon Home based
TO,2017,ADEMPASTRAINHW,6714.968854,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2017,ADEMPASTRAEXIHW,2795.531523,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2017,ADEMPASTRAEXOHW,2766.671645,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2017,ADEMPASTRAINHS,2655.990394,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2017,ADEMPASTRAEXIHS,656.8718585,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
TO,2017,ADEMPASTRAEXOHS,650.0905929,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome School
TO,2017,ADEMPASTRAINHO,3149.216185,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Other
TO,2017,ADEMPASTRAEXIHO,2042.671942,M pkm,Aggregated DemandPassengerTransportationExternal INHome Other
TO,2017,ADEMPASTRAEXOHO,2021.584266,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Other
TO,2017,ADEMPASTRAINNH,1519.554008,M pkm,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
TO,2017,ADEMPASTRAEXINH,985.6263127,M pkm,Aggregated DemandPassengerTransportationExternal INNon Home based
TO,2017,ADEMPASTRAEXONH,975.451126,M pkm,Aggregated DemandPassengerTransportationExternal OUTNon Home based
TO,2018,ADEMPASTRAINHW,6721.367576,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2018,ADEMPASTRAEXIHW,2825.698524,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2018,ADEMPASTRAEXOHW,2796.527214,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2018,ADEMPASTRAINHS,2658.521299,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2018,ADEMPASTRAEXIHS,663.9602615,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
TO,2018,ADEMPASTRAEXOHS,657.1058182,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome School
TO,2018,ADEMPASTRAINHO,3152.217086,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Other
TO,2018,ADEMPASTRAEXIHO,2064.714722,M pkm,Aggregated DemandPassengerTransportationExternal INHome Other
TO,2018,ADEMPASTRAEXOHO,2043.399486,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Other
TO,2018,ADEMPASTRAINNH,1521.001997,M pkm,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
TO,2018,ADEMPASTRAEXINH,996.2623544,M pkm,Aggregated DemandPassengerTransportationExternal INNon Home based
TO,2018,ADEMPASTRAEXONH,985.9773657,M pkm,Aggregated DemandPassengerTransportationExternal OUTNon Home based
TO,2019,ADEMPASTRAINHW,6729.700669,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2019,ADEMPASTRAEXIHW,2856.238615,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2019,ADEMPASTRAEXOHW,2826.752022,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2019,ADEMPASTRAINHS,2661.81731,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2019,ADEMPASTRAEXIHS,671.1363302,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
TO,2019,ADEMPASTRAEXOHS,664.2078042,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome School
TO,2019,ADEMPASTRAINHO,3156.125178,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Other
TO,2019,ADEMPASTRAEXIHO,2087.030116,M pkm,Aggregated DemandPassengerTransportationExternal INHome Other
TO,2019,ADEMPASTRAEXOHO,2065.484505,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Other
TO,2019,ADEMPASTRAINNH,1522.887722,M pkm,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
