regions,periods,demand_comm,demand,demand_units,demand_notes
TO,2016,ADEMSLDWASGRB,231.82288,kt,Aggregated DemandSolidWasteGreen Bin
TO,2016,ADEMSLDWASREC,258.45775,kt,Aggregated DemandSolidWasteRecycled
TO,2016,ADEMSLDWASLDF,552.56267,kt,Aggregated DemandSolidWasteLandfill
TO,2016,ADEMSLDWASHISGL,3739.19886,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2016,ADEMSLDWASHISBW,4974.651094,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2016,ADEMSLDWASHISKV,10478.39738,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2016,ADEMSLDWASHISBR,1769.224267,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2016,ADEMSLDWASHISTK,336.9710775,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2016,ADEMSLDWASHISAH,1067.618577,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2016,ADEMSLDWASHISCF,2864.59096,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2017,ADEMSLDWASGRB,249.633495,kt,Aggregated DemandSolidWasteGreen Bin
TO,2017,ADEMSLDWASREC,260.55841,kt,Aggregated DemandSolidWasteRecycled
TO,2017,ADEMSLDWASLDF,495.12217,kt,Aggregated DemandSolidWasteLandfill
TO,2017,ADEMSLDWASHISGL,4125.702629,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2017,ADEMSLDWASHISBW,4755.753919,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2017,ADEMSLDWASHISKV,10017.32151,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2017,ADEMSLDWASHISBR,1691.373944,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2017,ADEMSLDWASHISTK,322.1435016,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2017,ADEMSLDWASHISAH,1020.640671,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2017,ADEMSLDWASHISCF,2738.541744,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2018,ADEMSLDWASGRB,257.27146,kt,Aggregated DemandSolidWasteGreen Bin
TO,2018,ADEMSLDWASREC,262.61781,kt,Aggregated DemandSolidWasteRecycled
TO,2018,ADEMSLDWASLDF,524.50078,kt,Aggregated DemandSolidWasteLandfill
TO,2018,ADEMSLDWASHISGL,4441.638521,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2018,ADEMSLDWASHISBW,4546.488771,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2018,ADEMSLDWASHISKV,9576.534137,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2018,ADEMSLDWASHISBR,1616.949231,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2018,ADEMSLDWASHISTK,307.9683763,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2018,ADEMSLDWASHISAH,975.7299117,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2018,ADEMSLDWASHISCF,2618.039011,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2019,ADEMSLDWASGRB,278.17091,kt,Aggregated DemandSolidWasteGreen Bin
TO,2019,ADEMSLDWASREC,264.80199,kt,Aggregated DemandSolidWasteRecycled
TO,2019,ADEMSLDWASLDF,535.89045,kt,Aggregated DemandSolidWasteLandfill
TO,2019,ADEMSLDWASHISGL,4772.282556,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2019,ADEMSLDWASHISBW,4346.431816,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2019,ADEMSLDWASHISKV,9155.14252,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2019,ADEMSLDWASHISBR,1545.799393,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2019,ADEMSLDWASHISTK,294.4169922,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2019,ADEMSLDWASHISAH,932.7953385,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2019,ADEMSLDWASHISCF,2502.838702,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2020,ADEMSLDWASGRB,280.3881409,kt,Aggregated DemandSolidWasteGreen Bin
TO,2020,ADEMSLDWASREC,266.90085,kt,Aggregated DemandSolidWasteRecycled
TO,2020,ADEMSLDWASLDF,497.512725,kt,Aggregated DemandSolidWasteLandfill
TO,2020,ADEMSLDWASHISGL,5097.499473,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2020,ADEMSLDWASHISBW,4155.177871,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2020,ADEMSLDWASHISKV,8752.293195,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2020,ADEMSLDWASHISBR,1477.780327,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2020,ADEMSLDWASHISTK,281.4619032,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2020,ADEMSLDWASHISAH,891.7499947,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2020,ADEMSLDWASHISCF,2392.707497,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2021,ADEMSLDWASGRB,282.5387149,kt,Aggregated DemandSolidWasteGreen Bin
TO,2021,ADEMSLDWASREC,268.93722,kt,Aggregated DemandSolidWasteRecycled
TO,2021,ADEMSLDWASLDF,501.3286421,kt,Aggregated DemandSolidWasteLandfill
TO,2021,ADEMSLDWASHISGL,5348.817572,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2021,ADEMSLDWASHISBW,3972.339581,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2021,ADEMSLDWASHISKV,8367.170255,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2021,ADEMSLDWASHISBR,1412.754272,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2021,ADEMSLDWASHISTK,269.0768706,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2021,ADEMSLDWASHISAH,852.5107493,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2021,ADEMSLDWASHISCF,2287.422342,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2022,ADEMSLDWASGRB,284.187245,kt,Aggregated DemandSolidWasteGreen Bin
TO,2022,ADEMSLDWASREC,270.4973,kt,Aggregated DemandSolidWasteRecycled
TO,2022,ADEMSLDWASLDF,504.2537471,kt,Aggregated DemandSolidWasteLandfill
TO,2022,ADEMSLDWASHISGL,5592.725049,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2022,ADEMSLDWASHISBW,3797.546637,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2022,ADEMSLDWASHISKV,7998.993694,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2022,ADEMSLDWASHISBR,1350.589526,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2022,ADEMSLDWASHISTK,257.2368108,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2022,ADEMSLDWASHISAH,814.9981296,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2022,ADEMSLDWASHISCF,2186.769999,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2023,ADEMSLDWASGRB,285.8902001,kt,Aggregated DemandSolidWasteGreen Bin
TO,2023,ADEMSLDWASREC,272.1182199,kt,Aggregated DemandSolidWasteRecycled
TO,2023,ADEMSLDWASLDF,507.2843646,kt,Aggregated DemandSolidWasteLandfill
TO,2023,ADEMSLDWASHISGL,5828.696376,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2023,ADEMSLDWASHISBW,3630.445022,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2023,ADEMSLDWASHISKV,7647.017828,kt,Aggregated DemandSolidWasteHistorical LF waste
TO,2023,ADEMSLDWASHISBR,1291.160186,kt,Aggregated DemandSolidWasteHistorical LF waste
