"Building capacity per subsector, per end use, per input energy, and per period"
t_periods,Sub,EndUse,Tech_type_1,Tech_type_2,Energy_cat,Efficiency,Capacity_units,Capacities
2016,Commercial,Auxiliary Equipment,___,___,Electricity,Standard,kunits,682.5104174801071
2016,Commercial,Auxiliary Equipment,___,___,Natural Gas,Standard,kunits,68.19491432970922
2016,Commercial,Auxiliary Equipment,___,___,Propane,Standard,kunits,38.03092443871386
2016,Commercial,Auxiliary Motors,___,___,Electricity,Standard,kunits,70.81937675349637
2016,Commercial,Lighting,Fluocompact,___,Electricity,Standard,Mlm,1958.325976234684
2016,Commercial,Lighting,Fluorescent,___,Electricity,Standard,Mlm,14324.900371806145
2016,Commercial,Lighting,Halogen,___,Electricity,Standard,Mlm,4203.6202463539385
2016,Commercial,Lighting,Incandescent,___,Electricity,Standard,Mlm,13501.144902389426
2016,Commercial,Lighting,Light Emitting Diode,___,Electricity,High,Mlm,62.93441825496691
2016,Commercial,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm,63.20579662845073
2016,Commercial,Space Cooling,___,___,District Cooling,___,MW,107.52841060830488
2016,Commercial,Space Cooling,___,___,Electricity,Standard,MW,799.3933899674902
2016,Commercial,Space Cooling,___,___,Natural Gas,Standard,MW,37.076906426473535
2016,Commercial,Space Heating,Furnace,___,Electricity,Standard,MW,0.1673532895313094
2016,Commercial,Space Heating,Furnace,___,Heavy Fuel Oil,Standard,MW,0.1725316064272221
2016,Commercial,Space Heating,Furnace,___,Kerosene,Standard,MW,0.17258573599342686
2016,Commercial,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,16.20448644743596
2016,Commercial,Space Heating,Furnace,___,Natural Gas,High,MW,0.35152087352806044
2016,Commercial,Space Heating,Furnace,___,Natural Gas,Standard,MW,3125.3137703790126
2016,Commercial,Space Heating,Furnace,___,Propane,Standard,MW,81.92438723573737
2016,Commercial,Space Heating,Heat Pump,___,Electricity,Standard,MW,160.52646061461732
2016,Commercial,Space Heating,Plinthe,___,Electricity,Standard,MW,168.9002136083262
2016,Commercial,Space Heating,___,___,District Heating,___,MW,360.51242587649097
2016,Commercial,Street Lighting,Light Emitting Diode,___,Electricity,Standard,kunits,4248.422021088513
2016,Commercial,Water Heating,___,___,District Heating,___,MW,27.6166046980393
2016,Commercial,Water Heating,___,___,Electricity,Standard,MW,13.299899098126348
2016,Commercial,Water Heating,___,___,Heavy Fuel Oil,Standard,MW,0.14887271547966432
2016,Commercial,Water Heating,___,___,Kerosene,Standard,MW,0.14888960504154214
2016,Commercial,Water Heating,___,___,Light Fuel Oil,Standard,MW,9.251973144527524
2016,Commercial,Water Heating,___,___,Natural Gas,Standard,MW,242.2465325159106
2016,Commercial,Water Heating,___,___,Propane,Standard,MW,3.3768704637579288
2016,Public,Auxiliary Equipment,___,___,Electricity,Standard,kunits,79.90769793436294
2016,Public,Auxiliary Equipment,___,___,Natural Gas,Standard,kunits,9.869605163888062
2016,Public,Auxiliary Motors,___,___,Electricity,Standard,kunits,16.68250739723145
2016,Public,Lighting,Fluocompact,___,Electricity,Standard,Mlm,128.40795628869682
2016,Public,Lighting,Fluorescent,___,Electricity,Standard,Mlm,939.3022498466139
2016,Public,Lighting,Halogen,___,Electricity,Standard,Mlm,275.6391398417744
2016,Public,Lighting,Incandescent,___,Electricity,Standard,Mlm,885.295160659268
2016,Public,Lighting,Light Emitting Diode,___,Electricity,High,Mlm,4.1267329928981775
2016,Public,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm,4.131561274280757
2016,Public,Space Cooling,___,___,District Cooling,___,MW,25.351040030660577
2016,Public,Space Cooling,___,___,Electricity,Standard,MW,355.4383768320175
2016,Public,Space Cooling,___,___,Natural Gas,Standard,MW,46.30163124366753
2016,Public,Space Heating,Furnace,___,Electricity,Standard,MW,30.551992125350328
2016,Public,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,28.209553582102735
