"District thermal energy Capacity per technology type, and per period"
t_periods,Tech_cat,EndUse,Tech_type_1,Tech_type_2,Capacity_units,Capacities
2016,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900292
2016,Toronto Average,District Cooling,Substation,___,MW,376.2322873900292
2016,Toronto Average,District Heating,Pipe,___,MW,850.8756684981686
2016,Toronto Average,District Heating,Substation,___,MW,850.8756684981685
2016,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2016,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2016,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2016,Production,District Heating,Boiler,Large,MW,628.4800077410634
2016,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2017,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900292
2017,Toronto Average,District Cooling,Substation,___,MW,376.2322873900292
2017,Toronto Average,District Heating,Pipe,___,MW,850.8756684981685
2017,Toronto Average,District Heating,Substation,___,MW,850.8756684981686
2017,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2017,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2017,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2017,Production,District Heating,Boiler,Large,MW,628.4800077410634
2017,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2018,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900292
2018,Toronto Average,District Cooling,Substation,___,MW,376.2322873900293
2018,Toronto Average,District Heating,Pipe,___,MW,850.8756684981685
2018,Toronto Average,District Heating,Substation,___,MW,850.8756684981686
2018,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2018,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2018,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2018,Production,District Heating,Boiler,Large,MW,628.4800077410634
2018,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2019,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900293
2019,Toronto Average,District Cooling,Substation,___,MW,376.2322873900292
2019,Toronto Average,District Heating,Pipe,___,MW,850.8756684981686
2019,Toronto Average,District Heating,Substation,___,MW,850.8756684981685
2019,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2019,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2019,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2019,Production,District Heating,Boiler,Large,MW,628.4800077410634
2019,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2020,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900293
2020,Toronto Average,District Cooling,Substation,___,MW,376.2322873900292
2020,Toronto Average,District Heating,Pipe,___,MW,850.8756684981685
2020,Toronto Average,District Heating,Substation,___,MW,850.8756684981685
2020,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2020,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2020,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2020,Production,District Heating,Boiler,Large,MW,628.4800077410634
2020,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2021,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900292
2021,Toronto Average,District Cooling,Substation,___,MW,376.2322873900292
2021,Toronto Average,District Heating,Pipe,___,MW,850.8756684981685
2021,Toronto Average,District Heating,Substation,___,MW,850.8756684981685
2021,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2021,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2021,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2021,Production,District Heating,Boiler,Large,MW,628.4800077410634
2021,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2022,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900292
2022,Toronto Average,District Cooling,Substation,___,MW,376.2322873900292
2022,Toronto Average,District Heating,Pipe,___,MW,850.8756684981685
2022,Toronto Average,District Heating,Substation,___,MW,850.8756684981686
2022,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2022,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2022,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2022,Production,District Heating,Boiler,Large,MW,628.4800077410634
2022,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2023,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900293
2023,Toronto Average,District Cooling,Substation,___,MW,376.2322873900292
2023,Toronto Average,District Heating,Pipe,___,MW,850.8756684981686
2023,Toronto Average,District Heating,Substation,___,MW,850.8756684981686
2023,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2023,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2023,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2023,Production,District Heating,Boiler,Large,MW,628.4800077410634
2023,Production,District Heating,Gas Turbine,Large,MW,11.071605417599999
2023,Production,District Heating,Gas Turbine,Medium,MW,11.071605417599999
2023,Production,District Heating,Gas Turbine,Small,MW,11.071605417599999
2023,Production,District Heating,Internal Combustion Engine,Large,MW,11.071605417599999
2023,Production,District Heating,Internal Combustion Engine,Medium,MW,11.071605417599999
2023,Production,District Heating,Internal Combustion Engine,Small,MW,11.071605417599999
2023,Storage,District Cooling,Hot Tank Storage,Large,MW,0.46129108393320606
