"District thermal energy Capacity, per technology type, and per vintage"
vintage,Tech_cat,EndUse,Tech_type_1,Tech_type_2,Capacity_units,Capacities
2015,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900293
2015,Toronto Average,District Cooling,Substation,___,MW,376.2322873900292
2015,Toronto Average,District Heating,Pipe,___,MW,850.8756684981686
2015,Toronto Average,District Heating,Substation,___,MW,850.8756684981686
2015,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2015,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2015,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2015,Production,District Heating,Boiler,Large,MW,628.4800077410634
2015,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2023,Production,District Heating,Gas Turbine,Large,MW,11.071605417599999
2023,Production,District Heating,Gas Turbine,Medium,MW,11.071605417599999
2023,Production,District Heating,Gas Turbine,Small,MW,11.071605417599999
2023,Production,District Heating,Internal Combustion Engine,Large,MW,11.071605417599999
2023,Production,District Heating,Internal Combustion Engine,Medium,MW,11.071605417599999
2023,Production,District Heating,Internal Combustion Engine,Small,MW,11.071605417599999
2023,Storage,District Cooling,Hot Tank Storage,Large,MW,0.46129108393320606
2023,Storage,District Cooling,Hot Tank Storage,Medium,MW,0.44576465406050125
2023,Storage,District Cooling,Hot Tank Storage,Small,MW,0.43877567866056705
2023,Storage,District Heating,Hot Tank Storage,Large,MW,0.461290015295303
2023,Storage,District Heating,Hot Tank Storage,Medium,MW,0.4457646799872326
2023,Storage,District Heating,Hot Tank Storage,Small,MW,0.4387758568801552
2023,Storage,District Heating,Pit Storage,Large,MW,0.21087365522400447
2023,Storage,District Heating,Pit Storage,Medium,MW,0.17994251332624575
2023,Storage,District Heating,Pit Storage,Small,MW,0.13248726347959927
2024,Production,District Heating,Gas Turbine,Large,MW,2.2143210835199993
2024,Production,District Heating,Gas Turbine,Medium,MW,2.2143210835199993
2024,Production,District Heating,Gas Turbine,Small,MW,2.2143210835199993
2024,Production,District Heating,Internal Combustion Engine,Large,MW,2.2143210835199993
2024,Production,District Heating,Internal Combustion Engine,Medium,MW,2.2143210835199993
2024,Production,District Heating,Internal Combustion Engine,Small,MW,2.2143210835199993
2024,Storage,District Cooling,Hot Tank Storage,Large,MW,0.0911636010213737
2024,Storage,District Cooling,Hot Tank Storage,Medium,MW,0.08809697712157719
2024,Storage,District Cooling,Hot Tank Storage,Small,MW,0.08671655057976212
2024,Storage,District Heating,Hot Tank Storage,Large,MW,0.09116339087612321
2024,Storage,District Heating,Hot Tank Storage,Medium,MW,0.08809698087894033
2024,Storage,District Heating,Hot Tank Storage,Small,MW,0.08671658581937816
