"Waste Capacity per end use,  per plants, per technology type, and per period"
t_periods,Sub,EndUse,Treatment_Plant,Tech_type_1,Tech_type_2,Capacity_units,Capacities
2016,Solid,Green Bin,Dufferin,Anaerobic Digester,,Tj.y,427.0712898693506
2016,Solid,Green Bin,Disco Road,Anaerobic Digester,,Tj.y,403.0917097947471
2016,Solid,Landfill,MI - Arbor Hills,Biogas capture,,Tj.y,204.37241250980665
2016,Solid,Landfill,Beare Rd,Biogas capture,,Tj.y,288.3195424455218
2016,Solid,Landfill,MI - Carleton farms,Biogas capture,,Tj.y,506.18195661617216
2016,Solid,Landfill,Green Lane,Biogas capture,,Tj.y,2658.3673355205324
2016,Solid,Landfill,Keele Valley,Biogas capture,,Tj.y,1142.7782271417814
2016,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,2015.422313452776
2016,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,0.6190544559527282
2016,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Central,MW,0.011719517649223302
2016,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,0.3410570961748021
2016,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,1122.3797980715958
2016,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,0.6087611245814339
2016,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Central,MW,0.011243356131160624
2016,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,0.3408064608177532
2016,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,,TJ.y,418.14438827657136
2016,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,Public,TJ.y,0.5905025298561295
2016,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Central,MW,0.01063778072292747
2016,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Enerkem,TJ.y,0.3401389737734596
2016,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,,kt.y,3.71839517625232
2017,Solid,Green Bin,Dufferin,Anaerobic Digester,,Tj.y,427.0712898693506
2017,Solid,Green Bin,Disco Road,Anaerobic Digester,,Tj.y,403.0917097947471
2017,Solid,Landfill,MI - Arbor Hills,Biogas capture,,Tj.y,204.37241250980665
2017,Solid,Landfill,Beare Rd,Biogas capture,,Tj.y,288.3195424455218
2017,Solid,Landfill,MI - Carleton farms,Biogas capture,,Tj.y,506.18195661617216
2017,Solid,Landfill,Green Lane,Biogas capture,,Tj.y,2658.3673355205324
2017,Solid,Landfill,Keele Valley,Biogas capture,,Tj.y,1142.7782271417814
2017,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,2015.422313452776
2017,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,1.0696091456790633
2017,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Central,MW,0.021340949335117237
2017,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,0.6126049090188248
2017,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,1122.3797980715958
2017,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,1.0518471982068336
2017,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Central,MW,0.020566583734032355
2017,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,0.6122091471292253
2017,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,,TJ.y,418.14438827657136
2017,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,Public,TJ.y,1.0199975202951594
2017,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Central,MW,0.0195194288110316
2017,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Enerkem,TJ.y,0.6108593621832851
2017,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,,kt.y,3.71839517625232
2018,Solid,Green Bin,Dufferin,Anaerobic Digester,,Tj.y,427.0712898693506
2018,Solid,Green Bin,Disco Road,Anaerobic Digester,,Tj.y,403.0917097947471
2018,Solid,Landfill,MI - Arbor Hills,Biogas capture,,Tj.y,204.37241250980665
2018,Solid,Landfill,Beare Rd,Biogas capture,,Tj.y,288.3195424455218
2018,Solid,Landfill,MI - Carleton farms,Biogas capture,,Tj.y,506.18195661617216
2018,Solid,Landfill,Green Lane,Biogas capture,,Tj.y,2658.3673355205324
2018,Solid,Landfill,Keele Valley,Biogas capture,,Tj.y,1142.7782271417814
2018,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,2015.422313452776
2018,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,1.5108260625446124
2018,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Central,MW,0.029508171193201944
2018,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,0.8645807959307006
2018,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,1122.3797980715958
2018,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,1.4858589437055327
2018,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Central,MW,0.02852821937180266
2018,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,0.864096664957817
2018,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,,TJ.y,418.14438827657136
2018,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,Public,TJ.y,1.4398212525362728
2018,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Central,MW,0.02714050935155755
2018,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Enerkem,TJ.y,0.8620521990805774
2018,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,,kt.y,3.71839517625232
2019,Solid,Green Bin,Dufferin,Anaerobic Digester,,Tj.y,427.0712898693506
2019,Solid,Green Bin,Disco Road,Anaerobic Digester,,Tj.y,403.0917097947471
2019,Solid,Landfill,MI - Arbor Hills,Biogas capture,,Tj.y,204.37241250980665
2019,Solid,Landfill,Beare Rd,Biogas capture,,Tj.y,288.3195424455218
2019,Solid,Landfill,MI - Carleton farms,Biogas capture,,Tj.y,506.18195661617216
2019,Solid,Landfill,Green Lane,Biogas capture,,Tj.y,2658.3673355205324
2019,Solid,Landfill,Keele Valley,Biogas capture,,Tj.y,1142.7782271417814
2019,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,2015.422313452776
2019,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,1.9445395005156747
2019,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Central,MW,0.03654973040998215
2019,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,1.0999109429506364
2019,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,1122.3797980715958
2019,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,1.9123855329175128
2019,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Central,MW,0.035412816448204244
2019,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,1.099366709507834
2019,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,,TJ.y,418.14438827657136
2019,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,Public,TJ.y,1.8516573781522352
2019,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Central,MW,0.03375258939414786
2019,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Enerkem,TJ.y,1.0966409825513583
2019,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,,kt.y,3.71839517625232
2020,Solid,Green Bin,Dufferin,Anaerobic Digester,,Tj.y,427.0712898693506
2020,Solid,Green Bin,Disco Road,Anaerobic Digester,,Tj.y,403.0917097947471
2020,Solid,Landfill,MI - Arbor Hills,Biogas capture,,Tj.y,204.37241250980665
2020,Solid,Landfill,Beare Rd,Biogas capture,,Tj.y,288.3195424455218
2020,Solid,Landfill,MI - Carleton farms,Biogas capture,,Tj.y,506.18195661617216
2020,Solid,Landfill,Green Lane,Biogas capture,,Tj.y,2658.3673355205324
2020,Solid,Landfill,Keele Valley,Biogas capture,,Tj.y,1142.7782271417814
2020,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,2015.422313452776
2020,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,2.37083097418241
2020,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Central,MW,0.040489156775614425
2020,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,1.3193079237205294
2020,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,1122.3797980715958
2020,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,2.331516193630539
2020,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Central,MW,0.03927563261107819
2020,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,1.318729456610582
2020,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,,TJ.y,418.14438827657136
2020,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,Public,TJ.y,2.2555650076433404
2020,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Central,MW,0.03749614316039269
2020,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Enerkem,TJ.y,1.3153398861592325
2020,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,,kt.y,3.71839517625232
2021,Solid,Green Bin,Dufferin,Anaerobic Digester,,Tj.y,427.0712898693506
2021,Solid,Green Bin,Disco Road,Anaerobic Digester,,Tj.y,403.0917097947471
2021,Solid,Landfill,MI - Arbor Hills,Biogas capture,,Tj.y,204.37241250980665
2021,Solid,Landfill,Beare Rd,Biogas capture,,Tj.y,288.3195424455218
2021,Solid,Landfill,MI - Carleton farms,Biogas capture,,Tj.y,506.18195661617216
2021,Solid,Landfill,Green Lane,Biogas capture,,Tj.y,2658.3673355205324
2021,Solid,Landfill,Keele Valley,Biogas capture,,Tj.y,1142.7782271417814
2021,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,2015.422313452776
2021,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,2.832347084865602
2021,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Central,MW,0.04460267723882799
2021,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,1.544871616518921
2021,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,1122.3797980715958
2021,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,2.784735302372821
2021,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Central,MW,0.04331396314718872
2021,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,1.5442615212219968
2021,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,,TJ.y,418.14438827657136
2021,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,Public,TJ.y,2.691341093785445
2021,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Central,MW,0.04141043730196918
2021,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Enerkem,TJ.y,1.5402024543094488
2021,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,,kt.y,3.71839517625232
2022,Solid,Green Bin,Dufferin,Anaerobic Digester,,Tj.y,427.0712898693506
2022,Solid,Green Bin,Disco Road,Anaerobic Digester,,Tj.y,403.0917097947471
2022,Solid,Landfill,MI - Arbor Hills,Biogas capture,,Tj.y,204.37241250980665
2022,Solid,Landfill,Beare Rd,Biogas capture,,Tj.y,288.3195424455218
2022,Solid,Landfill,MI - Carleton farms,Biogas capture,,Tj.y,506.18195661617216
2022,Solid,Landfill,Green Lane,Biogas capture,,Tj.y,2658.3673355205324
2022,Solid,Landfill,Keele Valley,Biogas capture,,Tj.y,1142.7782271417814
2022,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,2015.422313452776
2022,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,3.2889559215695816
2022,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Central,MW,0.048507973284024376
2022,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,1.75916635800356
2022,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,1122.3797980715958
2022,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,3.2333265081329694
2022,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Central,MW,0.047155385436910446
2022,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,1.75855014594495
2022,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,,TJ.y,418.14438827657136
2022,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,Public,TJ.y,3.1218861444211834
2022,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Central,MW,0.04513666472362951
2022,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Enerkem,TJ.y,1.7538296008207634
2022,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,,kt.y,3.71839517625232
2023,Solid,Green Bin,Compost,Biogas upgrade,Public,TJ.y,3.6966067788887367
2023,Solid,Green Bin,Compost,Biogas capture,___,TJ.y,3.9438943387091583
2023,Solid,Green Bin,Compost,Cogeneration engine,Internal Combustion Engine,MW,0.010759310988554134
