"Discounted and Undiscounted Investment and fixed Costs for building sector by end use, per vintage. (k CAD 2016)"
vintage,sector,Cost_type,Cost,EndUse,Tech_type_1,Tech_type_2,Efficiency,Energy_cat,Costs
1950,Commercial Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1950,Commercial Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1950,Public Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1950,Public Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1950,Residential Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1950,Residential Building,FixedCosts,Discounted,Space Heating,___,___,___,District Heating,0.0
1950,Residential Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1950,Residential Building,FixedCosts,Undiscounted,Space Heating,___,___,___,District Heating,0.0
1955,Commercial Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1955,Commercial Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1955,Public Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1955,Public Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1955,Residential Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1955,Residential Building,FixedCosts,Discounted,Space Heating,___,___,___,District Heating,0.0
1955,Residential Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1955,Residential Building,FixedCosts,Undiscounted,Space Heating,___,___,___,District Heating,0.0
1960,Commercial Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1960,Commercial Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1960,Public Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1960,Public Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1960,Residential Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1960,Residential Building,FixedCosts,Discounted,Space Heating,___,___,___,District Heating,0.0
1960,Residential Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1960,Residential Building,FixedCosts,Undiscounted,Space Heating,___,___,___,District Heating,0.0
1965,Commercial Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1965,Commercial Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1965,Public Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1965,Public Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1965,Residential Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1965,Residential Building,FixedCosts,Discounted,Space Heating,___,___,___,District Heating,0.0
1965,Residential Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1965,Residential Building,FixedCosts,Undiscounted,Space Heating,___,___,___,District Heating,0.0
1970,Commercial Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1970,Commercial Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1970,Public Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1970,Public Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1970,Residential Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1970,Residential Building,FixedCosts,Discounted,Space Heating,___,___,___,District Heating,0.0
1970,Residential Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1970,Residential Building,FixedCosts,Undiscounted,Space Heating,___,___,___,District Heating,0.0
1975,Commercial Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1975,Commercial Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1975,Public Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1975,Public Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1975,Residential Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1975,Residential Building,FixedCosts,Discounted,Space Heating,___,___,___,District Heating,0.0
1975,Residential Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1975,Residential Building,FixedCosts,Undiscounted,Space Heating,___,___,___,District Heating,0.0
1980,Commercial Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1980,Commercial Building,FixedCosts,Discounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1980,Commercial Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1980,Commercial Building,FixedCosts,Undiscounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1980,Public Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1980,Public Building,FixedCosts,Discounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1980,Public Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1980,Public Building,FixedCosts,Undiscounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1980,Residential Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1980,Residential Building,FixedCosts,Discounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1980,Residential Building,FixedCosts,Discounted,Space Heating,___,___,___,District Heating,0.0
1980,Residential Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1980,Residential Building,FixedCosts,Undiscounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1980,Residential Building,FixedCosts,Undiscounted,Space Heating,___,___,___,District Heating,0.0
1985,Commercial Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1985,Commercial Building,FixedCosts,Discounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1985,Commercial Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1985,Commercial Building,FixedCosts,Undiscounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1985,Public Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1985,Public Building,FixedCosts,Discounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1985,Public Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1985,Public Building,FixedCosts,Undiscounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1985,Residential Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1985,Residential Building,FixedCosts,Discounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1985,Residential Building,FixedCosts,Discounted,Space Heating,___,___,___,District Heating,0.0
1985,Residential Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1985,Residential Building,FixedCosts,Undiscounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1985,Residential Building,FixedCosts,Undiscounted,Space Heating,___,___,___,District Heating,0.0
1990,Commercial Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1990,Commercial Building,FixedCosts,Discounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1990,Commercial Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1990,Commercial Building,FixedCosts,Undiscounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1990,Public Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1990,Public Building,FixedCosts,Discounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1990,Public Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1990,Public Building,FixedCosts,Undiscounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1990,Residential Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1990,Residential Building,FixedCosts,Discounted,Space Heating,Furnace,___,Standard,Light Fuel Oil,22.977919299259085
1990,Residential Building,FixedCosts,Discounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1990,Residential Building,FixedCosts,Discounted,Space Heating,___,___,___,District Heating,0.0
1990,Residential Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1990,Residential Building,FixedCosts,Undiscounted,Space Heating,Furnace,___,Standard,Light Fuel Oil,22.97791929925909
1990,Residential Building,FixedCosts,Undiscounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1990,Residential Building,FixedCosts,Undiscounted,Space Heating,___,___,___,District Heating,0.0
1995,Commercial Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1995,Commercial Building,FixedCosts,Discounted,Space Heating,Furnace,___,Standard,Light Fuel Oil,19.262775038379182
1995,Commercial Building,FixedCosts,Discounted,Space Heating,Furnace,___,Standard,Natural Gas,2170.1758430760756
1995,Commercial Building,FixedCosts,Discounted,Space Heating,Furnace,___,Standard,Propane,37.64713471185723
1995,Commercial Building,FixedCosts,Discounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1995,Commercial Building,FixedCosts,Discounted,Space Heating,___,___,___,District Heating,165.5566196289966
1995,Commercial Building,FixedCosts,Discounted,Water Heating,___,___,___,District Heating,0.0
1995,Commercial Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1995,Commercial Building,FixedCosts,Undiscounted,Space Heating,Furnace,___,Standard,Light Fuel Oil,19.54744659067051
1995,Commercial Building,FixedCosts,Undiscounted,Space Heating,Furnace,___,Standard,Natural Gas,2202.247407259467
1995,Commercial Building,FixedCosts,Undiscounted,Space Heating,Furnace,___,Standard,Propane,37.647134711857234
1995,Commercial Building,FixedCosts,Undiscounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1995,Commercial Building,FixedCosts,Undiscounted,Space Heating,___,___,___,District Heating,165.55661962899666
1995,Commercial Building,FixedCosts,Undiscounted,Water Heating,___,___,___,District Heating,0.0
1995,Public Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1995,Public Building,FixedCosts,Discounted,Space Heating,Furnace,___,Standard,Electricity,27.279485464740386
1995,Public Building,FixedCosts,Discounted,Space Heating,Furnace,___,Standard,Light Fuel Oil,36.31862247055374
1995,Public Building,FixedCosts,Discounted,Space Heating,Furnace,___,Standard,Natural Gas,445.4341841644456
1995,Public Building,FixedCosts,Discounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1995,Public Building,FixedCosts,Discounted,Space Heating,___,___,___,District Heating,75.51249425448974
1995,Public Building,FixedCosts,Discounted,Water Heating,___,___,___,District Heating,0.0
1995,Public Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1995,Public Building,FixedCosts,Undiscounted,Space Heating,Furnace,___,Standard,Electricity,27.68263057013065
1995,Public Building,FixedCosts,Undiscounted,Space Heating,Furnace,___,Standard,Light Fuel Oil,36.85535088144864
1995,Public Building,FixedCosts,Undiscounted,Space Heating,Furnace,___,Standard,Natural Gas,452.01695535899415
1995,Public Building,FixedCosts,Undiscounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1995,Public Building,FixedCosts,Undiscounted,Space Heating,___,___,___,District Heating,75.51249425448975
1995,Public Building,FixedCosts,Undiscounted,Water Heating,___,___,___,District Heating,0.0
1995,Residential Building,FixedCosts,Discounted,Freezer,___,___,Standard,Electricity,444.1461336527921
1995,Residential Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
1995,Residential Building,FixedCosts,Discounted,Space Heating,Furnace,___,High,Natural Gas,6435.392985688358
1995,Residential Building,FixedCosts,Discounted,Space Heating,Furnace,___,Medium,Natural Gas,2023.58260665449
1995,Residential Building,FixedCosts,Discounted,Space Heating,Furnace,___,Standard,Light Fuel Oil,128.21006146085188
1995,Residential Building,FixedCosts,Discounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1995,Residential Building,FixedCosts,Discounted,Space Heating,___,___,___,District Heating,0.0
1995,Residential Building,FixedCosts,Undiscounted,Freezer,___,___,Standard,Electricity,444.1461336527923
1995,Residential Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
1995,Residential Building,FixedCosts,Undiscounted,Space Heating,Furnace,___,High,Natural Gas,6723.474794547684
1995,Residential Building,FixedCosts,Undiscounted,Space Heating,Furnace,___,Medium,Natural Gas,2114.1687354266924
1995,Residential Building,FixedCosts,Undiscounted,Space Heating,Furnace,___,Standard,Light Fuel Oil,137.86751579555454
1995,Residential Building,FixedCosts,Undiscounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
1995,Residential Building,FixedCosts,Undiscounted,Space Heating,___,___,___,District Heating,0.0
2000,Commercial Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
2000,Commercial Building,FixedCosts,Discounted,Space Heating,Furnace,___,Standard,Light Fuel Oil,62.71985350565829
2000,Commercial Building,FixedCosts,Discounted,Space Heating,Furnace,___,Standard,Natural Gas,7066.121609584185
2000,Commercial Building,FixedCosts,Discounted,Space Heating,Furnace,___,Standard,Propane,210.05998812903053
2000,Commercial Building,FixedCosts,Discounted,Space Heating,Heat Pump,___,Standard,Electricity,358.4445243388663
2000,Commercial Building,FixedCosts,Discounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
2000,Commercial Building,FixedCosts,Discounted,Space Heating,___,___,___,District Heating,923.7574604315437
