"Discounted and Undiscounted Investment and fixed Costs for transportation sector by end use, per vintage. (k CAD 2016)"
vintage,sector,Cost_type,Cost,Mode,Tech_type_1,Tech_type_2,Efficiency,Energy_cat,Costs
1950,Freight Transportation,FixedCosts,Discounted,Marine,___,___,___,All,0.0
1950,Freight Transportation,FixedCosts,Undiscounted,Marine,___,___,___,All,0.0
1950,Freight Transportation,FixedSubsidies,Discounted,Marine,___,___,___,All,0.0
1950,Freight Transportation,FixedSubsidies,Undiscounted,Marine,___,___,___,All,0.0
1950,Passenger Transportation,FixedCosts,Discounted,Road,Bicycle,___,___,Battery Electric Vehicle,0.0
1950,Passenger Transportation,FixedCosts,Discounted,Road,Bicycle,___,___,DUMMY,0.0
1950,Passenger Transportation,FixedCosts,Discounted,Road,Walk,___,___,DUMMY,0.0
1950,Passenger Transportation,FixedCosts,Undiscounted,Road,Bicycle,___,___,Battery Electric Vehicle,0.0
1950,Passenger Transportation,FixedCosts,Undiscounted,Road,Bicycle,___,___,DUMMY,0.0
1950,Passenger Transportation,FixedCosts,Undiscounted,Road,Walk,___,___,DUMMY,0.0
1950,Passenger Transportation,FixedSubsidies,Discounted,Road,Bicycle,___,___,Battery Electric Vehicle,0.0
1950,Passenger Transportation,FixedSubsidies,Discounted,Road,Bicycle,___,___,DUMMY,0.0
1950,Passenger Transportation,FixedSubsidies,Discounted,Road,Walk,___,___,DUMMY,0.0
1950,Passenger Transportation,FixedSubsidies,Undiscounted,Road,Bicycle,___,___,Battery Electric Vehicle,0.0
1950,Passenger Transportation,FixedSubsidies,Undiscounted,Road,Bicycle,___,___,DUMMY,0.0
1950,Passenger Transportation,FixedSubsidies,Undiscounted,Road,Walk,___,___,DUMMY,0.0
1955,Freight Transportation,FixedCosts,Discounted,Marine,___,___,___,All,0.0
1955,Freight Transportation,FixedCosts,Undiscounted,Marine,___,___,___,All,0.0
1955,Freight Transportation,FixedSubsidies,Discounted,Marine,___,___,___,All,0.0
1955,Freight Transportation,FixedSubsidies,Undiscounted,Marine,___,___,___,All,0.0
1955,Passenger Transportation,FixedCosts,Discounted,Road,Bicycle,___,___,Battery Electric Vehicle,0.0
1955,Passenger Transportation,FixedCosts,Discounted,Road,Bicycle,___,___,DUMMY,0.0
1955,Passenger Transportation,FixedCosts,Discounted,Road,Walk,___,___,DUMMY,0.0
1955,Passenger Transportation,FixedCosts,Undiscounted,Road,Bicycle,___,___,Battery Electric Vehicle,0.0
1955,Passenger Transportation,FixedCosts,Undiscounted,Road,Bicycle,___,___,DUMMY,0.0
1955,Passenger Transportation,FixedCosts,Undiscounted,Road,Walk,___,___,DUMMY,0.0
1955,Passenger Transportation,FixedSubsidies,Discounted,Road,Bicycle,___,___,Battery Electric Vehicle,0.0
1955,Passenger Transportation,FixedSubsidies,Discounted,Road,Bicycle,___,___,DUMMY,0.0
1955,Passenger Transportation,FixedSubsidies,Discounted,Road,Walk,___,___,DUMMY,0.0
1955,Passenger Transportation,FixedSubsidies,Undiscounted,Road,Bicycle,___,___,Battery Electric Vehicle,0.0
1955,Passenger Transportation,FixedSubsidies,Undiscounted,Road,Bicycle,___,___,DUMMY,0.0
1955,Passenger Transportation,FixedSubsidies,Undiscounted,Road,Walk,___,___,DUMMY,0.0
1960,Freight Transportation,FixedCosts,Discounted,Marine,___,___,___,All,0.0
1960,Freight Transportation,FixedCosts,Undiscounted,Marine,___,___,___,All,0.0
1960,Freight Transportation,FixedSubsidies,Discounted,Marine,___,___,___,All,0.0
1960,Freight Transportation,FixedSubsidies,Undiscounted,Marine,___,___,___,All,0.0
1960,Passenger Transportation,FixedCosts,Discounted,Road,Bicycle,___,___,Battery Electric Vehicle,0.0
