Marginal cost of local energy production (k$/TJ)
Period,Subsector,Energy,Marginal_Costs
2016,Commercial building,Bio Methane,2.3472288890727366
2016,Commercial building,District Cooling,12.256394186563584
2016,Commercial building,District Heating,7.851133388353524
2016,Commercial building,Electricity,41.01581377643703
2016,Industrial building,Bio Methane,-289684098.7018312
2016,Industrial building,Electricity,41.01566397250014
2016,Passenger transportation,Bio Methane,-74.32847660933803
2016,Passenger transportation,Electricity,41.01536112668205
2016,Public building,Bio Methane,2.342541376497673
2016,Public building,District Cooling,40.260941263485066
2016,Public building,District Heating,4.796813258076558
2016,Public building,Electricity,41.01570507804605
2016,Residential building,Bio Methane,2.3454346253448284
2016,Residential building,District Cooling,12.337454862857943
2016,Residential building,District Heating,42.54750386053263
2016,Residential building,Electricity,41.01579110924004
2016,Solid waste,Bio Methane,1.6013207690536349
2016,Water waste,Bio Methane,1.3491905886376396
2016,Water waste,Electricity,41.01535761403606
2017,Commercial building,Bio Methane,2.6506752529032256
2017,Commercial building,District Cooling,11.61243752408792
2017,Commercial building,District Heating,6.523788377504786
2017,Commercial building,Electricity,40.66843763638284
2017,Industrial building,Bio Methane,-297534672.4440241
2017,Industrial building,Electricity,40.66828779518678
2017,Passenger transportation,Bio Methane,-9.778201830184337
2017,Passenger transportation,Electricity,40.667985687783585
2017,Public building,Bio Methane,2.646833878529553
2017,Public building,District Cooling,39.924782905819164
2017,Public building,District Heating,5.1565589317936436
2017,Public building,Electricity,40.668329504211165
2017,Residential building,Bio Methane,2.649385624985099
2017,Residential building,District Cooling,8.01200094106704
2017,Residential building,District Heating,41.074424213565166
2017,Residential building,Electricity,40.668414181377
2017,Solid waste,Bio Methane,1.9236364969181659
2017,Water waste,Bio Methane,1.6814328624804158
2017,Water waste,Electricity,40.667984826138536
2018,Commercial building,Bio Methane,3.586214451011363
2018,Commercial building,District Cooling,11.697428216555423
2018,Commercial building,District Heating,6.986339506217383
2018,Commercial building,Electricity,40.30650167321228
2018,Industrial building,Bio Methane,-298570949.45875174
2018,Industrial building,Electricity,40.30635191643439
2018,Passenger transportation,Bio Methane,-2.6747926593158757
2018,Passenger transportation,Electricity,40.30605084384025
2018,Public building,Bio Methane,3.5840806598892594
2018,Public building,District Cooling,39.57312462832811
2018,Public building,District Heating,5.223768455701441
2018,Public building,Electricity,40.306394973992965
2018,Residential building,Bio Methane,3.5838659998157807
2018,Residential building,District Cooling,7.666845464391226
2018,Residential building,District Heating,40.13349207923414
2018,Residential building,Electricity,40.30647901098527
2018,Solid waste,Bio Methane,2.650307665200737
2018,Water waste,Bio Methane,2.6448438534243364
