"Buildin sector GHG emissions per subsector, per end use, per period (metric ton)"
t_periods,emissions_comm,Sub,EndUse,Emisions
2016,CH4,Commercial,Auxiliary Equipment,4.325679117710346
2016,CH4,Commercial,Space Cooling,0.12169568176329809
2016,CH4,Commercial,Space Heating,36.22578933482922
2016,CH4,Commercial,Water Heating,5.8603440068280745
2016,CH4,Industry,Industrial Processes,12.596896337905465
2016,CH4,Industry,Space Cooling,0.028635856554414765
2016,CH4,Industry,Space Heating,0.7646317697281245
2016,CH4,Industry,Water Heating,2.9232581116125966
2016,CH4,Public,Auxiliary Equipment,0.36298794976323867
2016,CH4,Public,Space Cooling,0.19788692257725152
2016,CH4,Public,Space Heating,7.100711965130066
2016,CH4,Public,Water Heating,0.9905221851069231
2016,CH4,Residential,Clothe Dryer,0.13177533569992034
2016,CH4,Residential,Range,0.13414880773636984
2016,CH4,Residential,Space Heating,202.00373295504505
2016,CH4,Residential,Water Heating,29.838254785783356
2016,CO2,Commercial,Auxiliary Equipment,242517.19276370725
2016,CO2,Commercial,Space Cooling,5990.26378609252
2016,CO2,Commercial,Space Heating,1848442.3496341896
2016,CO2,Commercial,Water Heating,307235.8904599643
2016,CO2,Industry,Industrial Processes,628328.2575069014
2016,CO2,Industry,Space Cooling,1461.2026263441917
2016,CO2,Industry,Space Heating,40324.92676426179
2016,CO2,Industry,Water Heating,152250.13927837717
2016,CO2,Public,Auxiliary Equipment,18516.83142532382
2016,CO2,Public,Space Cooling,7940.282983702508
2016,CO2,Public,Space Heating,374949.0378984425
2016,CO2,Public,Water Heating,48195.497475548684
2016,CO2,Residential,Clothe Dryer,6724.1036162553955
2016,CO2,Residential,Range,6845.2148380071985
2016,CO2,Residential,Space Heating,2876320.86292226
2016,CO2,Residential,Water Heating,795177.5329600166
2016,CO2e,Commercial,Auxiliary Equipment,245752.7748256156
2016,CO2e,Commercial,Space Cooling,6027.12442064002
2016,CO2e,Commercial,Space Heating,1860400.022412225
2016,CO2e,Commercial,Water Heating,309123.0502350363
2016,CO2e,Industry,Industrial Processes,631996.9382006304
2016,CO2e,Industry,Space Cooling,1469.876195111903
2016,CO2e,Industry,Space Heating,40581.49143557552
2016,CO2e,Industry,Water Heating,153238.72236109702
2016,CO2e,Public,Auxiliary Equipment,18626.77753214336
2016,CO2e,Public,Space Cooling,8000.221321261412
2016,CO2e,Public,Space Heating,377116.6811277797
2016,CO2e,Public,Water Heating,48495.59380460032
2016,CO2e,Residential,Clothe Dryer,6764.017296990233
2016,CO2e,Residential,Range,6885.8474241775075
2016,CO2e,Residential,Space Heating,2896658.0939041073
2016,CO2e,Residential,Water Heating,800225.8690851874
2016,N2O,Commercial,Auxiliary Equipment,10.552828189384112
2016,N2O,Commercial,Space Cooling,0.11511753433044157
2016,N2O,Commercial,Space Heating,37.5735946376045
2016,N2O,Commercial,Water Heating,5.919773660834889
2016,N2O,Industry,Industrial Processes,11.423308290715577
2016,N2O,Industry,Space Cooling,0.0270879724163383
2016,N2O,Industry,Space Heating,0.8070718260047688
2016,N2O,Industry,Water Heating,3.111391484483466
2016,N2O,Public,Auxiliary Equipment,0.34336697944465455
2016,N2O,Public,Space Cooling,0.18719030934491823
2016,N2O,Public,Space Heating,6.773584825736791
2016,N2O,Public,Water Heating,0.9372327622966447
2016,N2O,Residential,Clothe Dryer,0.1246523445810058
2016,N2O,Residential,Range,0.12689752083170125
2016,N2O,Residential,Space Heating,54.01057916036375
2016,N2O,Residential,Water Heating,14.838029445198526
2017,CH4,Commercial,Auxiliary Equipment,4.354098880295792
2017,CH4,Commercial,Space Cooling,0.12762553065612497
2017,CH4,Commercial,Space Heating,36.54757979117764
2017,CH4,Commercial,Water Heating,5.96373265761845
2017,CH4,Industry,Industrial Processes,12.611512756914486
2017,CH4,Industry,Space Cooling,0.028669083284780725
2017,CH4,Industry,Space Heating,0.7655189865495384
2017,CH4,Industry,Water Heating,2.926650023737529
2017,CH4,Public,Auxiliary Equipment,0.3651275580430826
2017,CH4,Public,Space Cooling,0.214718223983616
2017,CH4,Public,Space Heating,7.144601981553463
2017,CH4,Public,Water Heating,1.0199740765677665
2017,CH4,Residential,Clothe Dryer,0.13173632947914712
2017,CH4,Residential,Range,0.08932194928271495
2017,CH4,Residential,Space Heating,209.40623851559866
2017,CH4,Residential,Water Heating,45.69496979542414
2017,CO2,Commercial,Auxiliary Equipment,243578.77423155934
2017,CO2,Commercial,Space Cooling,6097.023744961644
2017,CO2,Commercial,Space Heating,1862716.5904592893
2017,CO2,Commercial,Water Heating,310333.82839606894
2017,CO2,Industry,Industrial Processes,629057.3187645811
2017,CO2,Industry,Space Cooling,1462.8980876125947
2017,CO2,Industry,Space Heating,40371.71654564906
2017,CO2,Industry,Water Heating,152426.7980179486
2017,CO2,Public,Auxiliary Equipment,18559.81380691652
2017,CO2,Public,Space Cooling,8240.932800063867
2017,CO2,Public,Space Heating,376326.91264771356
2017,CO2,Public,Water Heating,50191.03445727401
2017,CO2,Residential,Clothe Dryer,6722.113244773777
2017,CO2,Residential,Range,4557.833520155834
2017,CO2,Residential,Space Heating,2870913.526698255
2017,CO2,Residential,Water Heating,803097.0018064126
2017,CO2e,Commercial,Auxiliary Equipment,246834.9111184932
2017,CO2e,Commercial,Space Cooling,6135.680482003799
2017,CO2e,Commercial,Space Heating,1874615.885567865
2017,CO2e,Commercial,Water Heating,312256.92123144446
2017,CO2e,Industry,Industrial Processes,632730.2562984712
2017,CO2e,Industry,Space Cooling,1471.5817204875275
2017,CO2e,Industry,Space Heating,40628.57891384276
2017,CO2e,Industry,Water Heating,153416.52817246888
2017,CO2e,Public,Auxiliary Equipment,18670.407983501507
2017,CO2e,Public,Space Cooling,8305.969200489097
2017,CO2e,Public,Space Heating,378507.9085341281
2017,CO2e,Public,Water Heating,50501.169808310064
