GHG emissions by building type (metric ton)
t_periods,emissions_comm,Sub,Archetype,NewOld,Emisions
2016,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.8604377974714974
2016,CH4,Commercial,Accommodation and Food Services,Old,2.1696992834029336
2016,CH4,Commercial,Educational Services,Old,5.409227683747362
2016,CH4,Commercial,Health Care and Social Assistance,Old,3.3559198469725
2016,CH4,Commercial,Information and Cultural Industries,Old,0.2840065753018697
2016,CH4,Commercial,Offices,Old,18.889622117754936
2016,CH4,Commercial,Other Services,Old,2.2097825794075097
2016,CH4,Commercial,Retail Trade,Old,6.821671436260991
2016,CH4,Commercial,Transportation and Warehousing,Old,1.212302334545671
2016,CH4,Commercial,Wholesale Trade,Old,4.320838486265676
2016,CH4,Industry,,,16.3134220758006
2016,CH4,Public,Hospital,Old,1.6870359677236415
2016,CH4,Public,Municipality,Old,1.4709344036142733
2016,CH4,Public,Post-Secondary Institution,Old,2.7062957761381177
2016,CH4,Public,School board,Old,2.7878428751014477
2016,CH4,Residential,Apartments,Old,79.15127707258539
2016,CH4,Residential,Single Attached,Old,44.82892760035736
2016,CH4,Residential,Single Detached,Old,108.12770721132212
2016,CO2,Commercial,"Arts, Entertainment and Recreation",Old,95309.30584088757
2016,CO2,Commercial,Accommodation and Food Services,Old,111327.48290743094
2016,CO2,Commercial,Educational Services,Old,279338.57627227297
2016,CO2,Commercial,Health Care and Social Assistance,Old,172935.8747598371
2016,CO2,Commercial,Information and Cultural Industries,Old,14474.002013191357
2016,CO2,Commercial,Offices,Old,982437.254230918
2016,CO2,Commercial,Other Services,Old,113309.87972398565
2016,CO2,Commercial,Retail Trade,Old,351382.3767890582
2016,CO2,Commercial,Transportation and Warehousing,Old,62174.44326600025
2016,CO2,Commercial,Wholesale Trade,Old,221496.50084037016
2016,CO2,Industry,,,822364.5261758845
2016,CO2,Public,Hospital,Old,93857.44212640986
2016,CO2,Public,Municipality,Old,74796.44117125533
2016,CO2,Public,Post-Secondary Institution,Old,139598.6560550868
2016,CO2,Public,School board,Old,141349.11043026546
2016,CO2,Residential,Apartments,Old,1346276.1184201022
2016,CO2,Residential,Single Attached,Old,714501.5771399555
2016,CO2,Residential,Single Detached,Old,1624290.0187764827
2016,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,95947.81058364653
2016,CO2e,Commercial,Accommodation and Food Services,Old,112078.99990575094
