GHG emissions per sector per period (metric ton)
t_periods,emissions_comm,main_sector,Emisions
2016,CH4,Building,303.6069511237738
2016,CH4,Energy,7.5286714745154155
2016,CH4,Transportation,557.9366609116042
2016,CH4,Waste,67258.08453094533
2016,CO2,Building,7361219.586939391
2016,CO2,Energy,364957.4366672244
2016,CO2,Transportation,6475084.945841651
2016,CO2,Waste,115464.61695542953
2016,CO2e,Building,7411363.101582182
2016,CO2e,Energy,1459468.597327179
2016,CO2e,Transportation,6608560.562291587
2016,CO2e,Waste,1494245.558770116
2016,N2O,Building,146.87170694357198
2016,N2O,Energy,7.121716259676745
2016,N2O,Transportation,225.34291535127943
2016,N2O,Waste,147.7486953509786
2017,CH4,Building,327.39207614016664
2017,CH4,Energy,6.888458156190595
2017,CH4,Transportation,558.8435305928958
2017,CH4,Waste,64937.40941679497
2017,CO2,Building,7384654.117229229
2017,CO2,Energy,333922.6634849081
2017,CO2,Transportation,6311788.292758435
2017,CO2,Waste,116366.3198996309
2017,CO2e,Building,7435459.651239673
2017,CO2e,Energy,1438524.6314178472
2017,CO2e,Transportation,6443580.904268173
2017,CO2e,Waste,1447496.9805723648
2017,N2O,Building,147.41711547480855
2017,N2O,Energy,6.516109066666782
2017,N2O,Transportation,219.51195594397757
2017,N2O,Waste,153.52661427251954
2018,CH4,Building,1044.7209556259386
2018,CH4,Energy,7.722635087980727
2018,CH4,Transportation,560.7261761104847
2018,CH4,Waste,62707.75850150103
2018,CO2,Building,7445311.728235283
2018,CO2,Energy,374359.9538865114
2018,CO2,Transportation,6326393.921542699
2018,CO2,Waste,117310.57628268006
2018,CO2e,Building,7514517.082431069
2018,CO2e,Energy,1494390.4011596278
2018,CO2e,Transportation,6458845.069994523
2018,CO2e,Waste,1401808.433501585
2018,N2O,Building,158.6114568041351
2018,N2O,Energy,7.305195353495286
2018,N2O,Transportation,221.5957453497173
2018,N2O,Waste,156.27005698542152
2019,CH4,Building,1101.6109812603163
2019,CH4,Energy,7.7586073347351565
2019,CH4,Transportation,562.8386654574866
2019,CH4,Waste,60612.549525657436
2019,CO2,Building,7525054.675619051
2019,CO2,Energy,376103.7328535126
2019,CO2,Transportation,6360380.585163078
2019,CO2,Waste,118299.88754512115
2019,CO2e,Building,7595980.5582593605
2019,CO2e,Energy,1502107.7119141265
2019,CO2e,Transportation,6493454.786655098
2019,CO2e,Waste,1357335.8767213647
2019,N2O,Building,160.37601353639616
2019,N2O,Energy,7.339223154479205
2019,N2O,Transportation,223.54308505074206
2019,N2O,Waste,153.55264164603128
2020,CH4,Building,1157.2149381993654
2020,CH4,Energy,7.7941863829182925
2020,CH4,Transportation,520.0952834006998
2020,CH4,Waste,58537.27499221415
2020,CO2,Building,7568090.527919975
2020,CO2,Energy,377828.45125409204
2020,CO2,Transportation,6169508.847917181
2020,CO2,Waste,119240.82345750189
2020,CO2e,Building,7640650.178737255
2020,CO2e,Energy,1498023.6289191279
2020,CO2e,Transportation,6289447.091227791
2020,CO2e,Waste,1314789.4683685505
2020,N2O,Building,161.9400574331422
2020,N2O,Energy,7.372879010868661
2020,N2O,Transportation,228.31147631100683
2020,N2O,Waste,155.99898866970398
2021,CH4,Building,1200.7427259856888
2021,CH4,Energy,7.832402161390835
2021,CH4,Transportation,517.6964840044932
2021,CH4,Waste,56501.02288672201
2021,CO2,Building,7587452.673264905
2021,CO2,Energy,379680.9869370251
2021,CO2,Transportation,6386434.134098646
2021,CO2,Waste,120168.67400453897
2021,CO2e,Building,7661225.681092835
2021,CO2e,Energy,1386724.9171474995
2021,CO2e,Transportation,6498012.325378951
2021,CO2e,Waste,1270899.524851743
2021,N2O,Building,162.94433081280874
2021,N2O,Energy,7.409029071585929
2021,N2O,Transportation,200.42894589758077
2021,N2O,Waste,151.18876994532997
2022,CH4,Building,1243.7262876569582
2022,CH4,Energy,8.075431105448246
2022,CH4,Transportation,518.2648869044244
2022,CH4,Waste,54581.94962077915
2022,CO2,Building,7580531.190192783
2022,CO2,Energy,391461.9792089559
2022,CO2,Transportation,6405118.905641642
2022,CO2,Waste,120836.11432570514
2022,CO2e,Building,7655231.823886426
2022,CO2e,Energy,1489475.9378572968
2022,CO2e,Transportation,6514843.059679692
2022,CO2e,Waste,1231105.835604512
2022,N2O,Building,163.02812635181596
2022,N2O,Energy,7.6389213159645575
2022,N2O,Transportation,194.33784677801344
2022,N2O,Waste,152.17191257159368
2023,CH4,Building,1136.2639252909928
2023,CH4,Energy,7.989804643411738
2023,CH4,Transportation,529.3831955327963
2023,CH4,Waste,52629.743413177945
2023,CO2,Building,7036133.459392709
2023,CO2,Energy,387311.1786060268
2023,CO2,Transportation,6482118.578375193
2023,CO2,Waste,122154.910275942
2023,CO2e,Building,7105437.888847099
2023,CO2e,Energy,1863443.6808590153
2023,CO2e,Transportation,6598461.013300532
2023,CO2e,Waste,1191252.0503537373
2023,N2O,Building,152.49290947404734
2023,N2O,Energy,7.55792331133543
2023,N2O,Transportation,215.5446398406596
2023,N2O,Waste,150.76846230204015
2024,CH4,Building,1140.7256600826179
2024,CH4,Energy,7.115323648859931
2024,CH4,Transportation,537.0114090034403
2024,CH4,Waste,50807.01562471248
2024,CO2,Building,7054698.057800618
2024,CO2,Energy,344920.1215295933
2024,CO2,Transportation,6507887.871247172
2024,CO2,Waste,122321.44383254286
2024,CO2e,Building,7124180.061242829
2024,CO2e,Energy,1818980.070268008
2024,CO2e,Transportation,6625240.413780902
2024,CO2e,Waste,1152970.257217723
2024,N2O,Building,152.77437778680488
2024,N2O,Energy,6.730711559732368
2024,N2O,Transportation,218.3671855245869
2024,N2O,Waste,150.07380620101992
2025,CH4,Building,1141.841413695124
2025,CH4,Energy,7.8348101765497855
2025,CH4,Transportation,527.9602985485922
2025,CH4,Waste,49069.617040555764
2025,CO2,Building,7051471.361127621
2025,CO2,Energy,379797.7170989047
2025,CO2,Transportation,6175328.114045875
2025,CO2,Waste,122482.47120089973
2025,CO2e,Building,7120867.413227136
2025,CO2e,Energy,2209930.166613542
2025,CO2e,Transportation,6297834.547689843
2025,CO2e,Waste,1116454.2427018364
2025,N2O,Building,152.40732352992964
2025,N2O,Energy,7.411306923763313
2025,N2O,Transportation,282.5456107032435
2025,N2O,Waste,148.8897348565776
2030,CH4,Building,1150.7801601840063
2030,CH4,Energy,9.044031263865337
2030,CH4,Transportation,566.1284184991762
2030,CH4,Waste,41768.001400093
2030,CO2,Building,7032010.0804816075
2030,CO2,Energy,438415.5263478032
2030,CO2,Transportation,6055076.300356038
2030,CO2,Waste,106191.26528287002
2030,CO2e,Building,7101217.038769382
2030,CO2e,Energy,2097618.5686702016
2030,CO2e,Transportation,6191600.7757423585
