"Waste sector GHG emissions per subsector, per end use, per period (metric ton)"
t_periods,emissions_comm,Sub,EndUse,Treatment_Plant,Tech_type_1,Emisions
2016,CH4,Solid,Green Bin,Compost,Leaking,612.0664669439492
2016,CH4,Solid,Green Bin,Dufferin,Anaerobic Digester,20.51469450595196
2016,CH4,Solid,Green Bin,Disco Road,Anaerobic Digester,137.52925722563546
2016,CH4,Solid,Green Bin,Disco Road,Flaring,5.623536875464483
2016,CH4,Solid,Landfill,MI - Arbor Hills,Biogas capture,1984.9690375006012
2016,CH4,Solid,Landfill,MI - Arbor Hills,Flaring,36.86371069643975
2016,CH4,Solid,Landfill,Beare Rd,Biogas capture,2800.306350707873
2016,CH4,Solid,Landfill,Beare Rd,Flaring,52.00568937028913
2016,CH4,Solid,Landfill,Brock West,Leaking,22496.61829389294
2016,CH4,Solid,Landfill,MI - Carleton farms,Biogas capture,6086.844102979899
2016,CH4,Solid,Landfill,MI - Carleton farms,Flaring,91.30266154469848
2016,CH4,Solid,Landfill,Green Lane,Biogas capture,4298.654962057868
2016,CH4,Solid,Landfill,Green Lane,Flaring,128.9596488617361
2016,CH4,Solid,Landfill,Keele Valley,Biogas capture,26773.054728059207
2016,CH4,Solid,Landfill,Keele Valley,Flaring,206.12882843727016
2016,CH4,Solid,Landfill,Thackeray,Leaking,1523.867616705988
2016,CH4,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,0.7764718642200976
2016,CH4,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Flaring,2.7011569125486717e-05
2016,CH4,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,0.34859521705029795
2016,CH4,Water,Waste water,Humber Wastewater Treatment Plant,Flaring,2.6992478123559884e-05
2016,CH4,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,0.16237215084792322
2016,CH4,Water,Waste water,Highland Creek Waterwater Treatment Plant,Flaring,2.6946577574406988e-05
2016,CH4,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,1.4874243967542582
2016,CO2,Solid,Green Bin,Dufferin,Anaerobic Digester,49.71522930943278
2016,CO2,Solid,Green Bin,Disco Road,Anaerobic Digester,87.77394714297623
2016,CO2,Water,Fresh water,F.J Horgan Water Treatment Plant,Process,30080.16475125942
2016,CO2,Water,Fresh water,R.C. Harris Water Treatment Plant,Process,29506.272861344107
2016,CO2,Water,Fresh water,R.L. Clark Water Treatment Plant,Process,18114.650590136043
2016,CO2,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,12634.6531156064
2016,CO2,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,2880.9102495717552
2016,CO2,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,2642.0993420785508
2016,CO2,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,17697.58476578722
2016,CO2,Water,Waste water,North Toronto Wastewater Treatment Plant,Process,1770.7921031936226
2016,CO2e,Solid,Green Bin,Compost,Leaking,26533.081342020203
2016,CO2e,Solid,Green Bin,Dufferin,Anaerobic Digester,480.5238139344239
2016,CO2e,Solid,Green Bin,Disco Road,Anaerobic Digester,2975.8883488813212
2016,CO2e,Solid,Green Bin,Disco Road,Flaring,118.09427438475414
