"Building end use energy service, per subsector, per end use, per type of technology, per energy, and per period."
t_periods,Sub,EndUse,Tech_type_1,Tech_type_2,Energy_cat,Efficiency,Output_units,VFlow_Out
2016,Commercial,Auxiliary Equipment,___,___,Electricity,Standard,TJ,17204.734456619728
2016,Commercial,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,1719.478696658314
2016,Commercial,Auxiliary Equipment,___,___,Propane,Standard,TJ,958.5716367989638
2016,Commercial,Auxiliary Motors,___,___,Electricity,Standard,TJ,2153.737042586462
2016,Commercial,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,1311.6618659904825
2016,Commercial,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,9594.974576677005
2016,Commercial,Lighting,Halogen,___,Electricity,Standard,Mlm.y,2815.578176537584
2016,Commercial,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,9043.187325691906
2016,Commercial,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,42.11266360129778
2016,Commercial,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,42.30148998832739
2016,Commercial,Space Cooling,___,___,District Cooling,___,TJ,1257.6193450576413
2016,Commercial,Space Cooling,___,___,Electricity,Standard,TJ,9367.476572437665
2016,Commercial,Space Cooling,___,___,Natural Gas,Standard,TJ,433.84862483598243
2016,Commercial,Space Heating,Furnace,___,Electricity,Standard,TJ,0.768814660780677
2016,Commercial,Space Heating,Furnace,___,Heavy Fuel Oil,Standard,TJ,1.3186814745341462
2016,Commercial,Space Heating,Furnace,___,Kerosene,Standard,TJ,1.3191965901454281
2016,Commercial,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,150.89863839518486
2016,Commercial,Space Heating,Furnace,___,Natural Gas,High,TJ,3.057949939811851
2016,Commercial,Space Heating,Furnace,___,Natural Gas,Standard,TJ,29678.899205800928
2016,Commercial,Space Heating,Furnace,___,Propane,Standard,TJ,777.0634834201534
2016,Commercial,Space Heating,Heat Pump,___,Electricity,Standard,TJ,540.9427490962102
2016,Commercial,Space Heating,Plinthe,___,Electricity,Standard,TJ,885.6888022527253
2016,Commercial,Space Heating,___,___,District Heating,___,TJ,3346.322312112951
2016,Commercial,Street Lighting,Light Emitting Diode,___,Electricity,Standard,TJ,1454.9181124095007
2016,Commercial,Water Heating,___,___,District Heating,___,TJ,548.2701992906875
2016,Commercial,Water Heating,___,___,Electricity,Standard,TJ,201.56349544734704
2016,Commercial,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,2.566958847680321
2016,Commercial,Water Heating,___,___,Kerosene,Standard,TJ,2.5670316744324113
2016,Commercial,Water Heating,___,___,Light Fuel Oil,Standard,TJ,184.0333395810662
2016,Commercial,Water Heating,___,___,Natural Gas,Standard,TJ,4846.518640027654
2016,Commercial,Water Heating,___,___,Propane,Standard,TJ,66.88346883931224
2016,Industry,Industrial Processes,Self produced,,Mix Energy,,TJ,30527.81262912916
2016,Industry,Lighting,Self produced,,Mix Energy,,TJ,649.5279282791195
2016,Industry,Space Cooling,Self produced,,Mix Energy,,TJ,1407.310511271426
2016,Industry,Space Heating,Self produced,,Mix Energy,,TJ,1558.8670278801976
2016,Industry,Water Heating,Self produced,,Mix Energy,,TJ,4079.035389603426
2016,Public,Auxiliary Equipment,___,___,Electricity,Standard,TJ,2015.431439810664
2016,Public,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,248.88710244086934
2016,Public,Auxiliary Motors,___,___,Electricity,Standard,TJ,508.13940712245886
2016,Public,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,86.008742707981
2016,Public,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,629.1580912900888
2016,Public,Lighting,Halogen,___,Electricity,Standard,Mlm.y,184.6265334035175
2016,Public,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,592.9839318533858
2016,Public,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,2.7641521150128927
2016,Public,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,2.7657164788464286
2016,Public,Space Cooling,___,___,District Cooling,___,TJ,243.38231036457202
2016,Public,Space Cooling,___,___,Electricity,Standard,TJ,4165.881072773417
2016,Public,Space Cooling,___,___,Natural Gas,Standard,TJ,542.437284003524
2016,Public,Space Heating,Furnace,___,Electricity,Standard,TJ,290.0675953213716
2016,Public,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,267.8714262950625
2016,Public,Space Heating,Furnace,___,Natural Gas,Standard,TJ,5798.028754296384
2016,Public,Space Heating,Plinthe,___,Electricity,Standard,TJ,493.33819160389703
2016,Public,Space Heating,___,___,District Heating,___,TJ,1487.178585132082
2016,Public,Water Heating,___,___,District Heating,___,TJ,335.71629355357885
2016,Public,Water Heating,___,___,Electricity,Standard,TJ,0.33432786639620976
2016,Public,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,0.28703058809710297
2016,Public,Water Heating,___,___,Kerosene,Standard,TJ,0.28702872805185664
2016,Public,Water Heating,___,___,Light Fuel Oil,Standard,TJ,0.49959133878278844
2016,Public,Water Heating,___,___,Natural Gas,Standard,TJ,855.7860497844786
2016,Residential,Other Appliances,Other,___,Electricity,Standard,TJ,3602.1734357296714
2016,Residential,Clothe Dryer,___,___,Electricity,Standard,TJ,1796.1085249828952
2016,Residential,Clothe Dryer,___,___,Natural Gas,Standard,TJ,124.1155118798934
2016,Residential,Clothe Washer,___,___,Electricity,Standard,TJ,93.31189304772711
2016,Residential,Dish Washer,___,___,Electricity,Standard,TJ,125.65134630806206
2016,Residential,Freezer,___,___,Electricity,Standard,TJ,339.7069067450969
2016,Residential,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,107.56686241558046
2016,Residential,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,786.8675253171691
2016,Residential,Lighting,Halogen,___,Electricity,Standard,Mlm.y,230.9023853557168
