Energy import for EV charging (TJ)
t_periods,Sub,Sector,Tech_cat,Tech_type_1,Tech_type_2,Output_units,VFlow_In
2023,Freight,Transport,Charging Station,Commercial,240V,TJ,0.01301399749789077
2023,Freight,Transport,Charging Station,Freight,Fast,TJ,0.05044681806979764
2023,Freight,Transport,Charging Station,Freight,Slow,TJ,0.0722819495177332
2023,Passenger,Transport,Charging Station,Commercial,240V,TJ,0.0883304593207203
2023,Passenger,Transport,Charging Station,Public,240V,TJ,0.0883304593207203
2023,Passenger,Transport,Charging Station,Residential,120V,TJ,0.034786216579535595
2023,Passenger,Transport,Charging Station,Residential,240V,TJ,0.0883304593207203
2023,Public,Transport,Charging Station,Commercial,240V,TJ,0.06735724649809287
2023,Public,Transport,Charging Station,Freight,Fast,TJ,0.05257844158256206
2023,Public,Transport,Charging Station,Freight,Slow,TJ,0.08821492886453043
2023,Public,Transport,Charging Station,Public,240V,TJ,0.06735724649809291
2023,Public,Transport,Charging Station,Residential,120V,TJ,0.027969934926919106
2023,Public,Transport,Charging Station,Residential,240V,TJ,0.0673572464980928
2024,Freight,Transport,Charging Station,Commercial,240V,TJ,0.025145311128671903
2024,Freight,Transport,Charging Station,Freight,Fast,TJ,0.09122570433600949
2024,Freight,Transport,Charging Station,Freight,Slow,TJ,0.13173708823760724
2024,Passenger,Transport,Charging Station,Commercial,240V,TJ,0.1481789055827665
2024,Passenger,Transport,Charging Station,Public,240V,TJ,0.1481789055827665
2024,Passenger,Transport,Charging Station,Residential,120V,TJ,0.061563566297685265
2024,Passenger,Transport,Charging Station,Residential,240V,TJ,0.1481789055827665
2024,Public,Transport,Charging Station,Commercial,240V,TJ,0.11711704467583008
2024,Public,Transport,Charging Station,Freight,Fast,TJ,0.09147143823222165
2024,Public,Transport,Charging Station,Freight,Slow,TJ,0.1547320004245747
2024,Public,Transport,Charging Station,Public,240V,TJ,0.11711704467583008
2024,Public,Transport,Charging Station,Residential,120V,TJ,0.04992418137571007
2024,Public,Transport,Charging Station,Residential,240V,TJ,0.11711704467583002
2025,Freight,Transport,Charging Station,Commercial,240V,TJ,0.0383603756663244
2025,Freight,Transport,Charging Station,Freight,Fast,TJ,0.11771275358580043
2025,Freight,Transport,Charging Station,Freight,Slow,TJ,0.16828756585557259
2025,Passenger,Transport,Charging Station,Commercial,240V,TJ,0.2737519999845687
2025,Passenger,Transport,Charging Station,Public,240V,TJ,0.2737519999845687
2025,Passenger,Transport,Charging Station,Residential,120V,TJ,0.09283354391627467
2025,Passenger,Transport,Charging Station,Residential,240V,TJ,0.2737519999845687
2025,Public,Transport,Charging Station,Commercial,240V,TJ,0.17201434797920498
2025,Public,Transport,Charging Station,Freight,Fast,TJ,0.12677729907607183
2025,Public,Transport,Charging Station,Freight,Slow,TJ,0.2166977009780991
2025,Public,Transport,Charging Station,Public,240V,TJ,0.17201434797920498
2025,Public,Transport,Charging Station,Residential,120V,TJ,0.07137081422504667
2025,Public,Transport,Charging Station,Residential,240V,TJ,0.17201434797920495
2030,Freight,Transport,Charging Station,Commercial,240V,TJ,0.05306387372028933
2030,Freight,Transport,Charging Station,Freight,Fast,TJ,0.1480510705478106
2030,Freight,Transport,Charging Station,Freight,Slow,TJ,0.21097618542626276
2030,Passenger,Transport,Charging Station,Commercial,240V,TJ,0.34536703744922026
2030,Passenger,Transport,Charging Station,Public,240V,TJ,0.34536703744922026
2030,Passenger,Transport,Charging Station,Residential,120V,TJ,0.11874610335479972
2030,Passenger,Transport,Charging Station,Residential,240V,TJ,0.34536703744922026
2030,Public,Transport,Charging Station,Commercial,240V,TJ,0.2077101074990893
2030,Public,Transport,Charging Station,Freight,Fast,TJ,0.16651101185906103
2030,Public,Transport,Charging Station,Freight,Slow,TJ,0.2921293950165666
2030,Public,Transport,Charging Station,Public,240V,TJ,0.2077101074990893
2030,Public,Transport,Charging Station,Residential,120V,TJ,0.09129015193577292
2030,Public,Transport,Charging Station,Residential,240V,TJ,0.20771010749908927
2035,Freight,Transport,Charging Station,Commercial,120V,TJ,0.012646236145720694
2035,Freight,Transport,Charging Station,Commercial,240V,TJ,0.05257911402581429
2035,Freight,Transport,Charging Station,Freight,Fast,TJ,0.13572343836234005
2035,Freight,Transport,Charging Station,Freight,Slow,TJ,0.1874096556173989
2035,Passenger,Transport,Charging Station,Commercial,120V,TJ,2.3845682958752916
2035,Passenger,Transport,Charging Station,Commercial,240V,TJ,0.3090490104931922
2035,Passenger,Transport,Charging Station,Public,240V,TJ,0.3090490104931922
2035,Passenger,Transport,Charging Station,Residential,120V,TJ,0.10026460934225198
2035,Passenger,Transport,Charging Station,Residential,240V,TJ,0.3090490104931922
2035,Public,Transport,Charging Station,Commercial,120V,TJ,0.10126401626006971
2035,Public,Transport,Charging Station,Commercial,240V,TJ,0.2344235250073563
2035,Public,Transport,Charging Station,Freight,Fast,TJ,0.18734920415189715
2035,Public,Transport,Charging Station,Freight,Slow,TJ,0.3520205114673521
2035,Public,Transport,Charging Station,Public,240V,TJ,0.23442352500735625
2035,Public,Transport,Charging Station,Residential,120V,TJ,0.10465764401017669
2035,Public,Transport,Charging Station,Residential,240V,TJ,0.23442352500735633
2040,Freight,Transport,Charging Station,Commercial,120V,TJ,0.031047320102795012
2040,Freight,Transport,Charging Station,Commercial,240V,TJ,0.04505771001007788
2040,Freight,Transport,Charging Station,Freight,Fast,TJ,0.14083265797452768
2040,Freight,Transport,Charging Station,Freight,Slow,TJ,0.210578160875053
2040,Passenger,Transport,Charging Station,Commercial,120V,TJ,2.532355054913232
2040,Passenger,Transport,Charging Station,Commercial,240V,TJ,0.27169541543237863
2040,Passenger,Transport,Charging Station,Public,240V,TJ,0.27169541543237863
2040,Passenger,Transport,Charging Station,Residential,120V,TJ,0.09307858131369885
2040,Passenger,Transport,Charging Station,Residential,240V,TJ,0.27169541543237863
2040,Public,Transport,Charging Station,Commercial,120V,TJ,0.24599519024477415
2040,Public,Transport,Charging Station,Commercial,240V,TJ,0.2125366429086765
2040,Public,Transport,Charging Station,Freight,Fast,TJ,0.18028720860377284
2040,Public,Transport,Charging Station,Freight,Slow,TJ,0.37286918136714603
2040,Public,Transport,Charging Station,Public,240V,TJ,0.2125366429086765
2040,Public,Transport,Charging Station,Residential,120V,TJ,0.09912652654644576
2040,Public,Transport,Charging Station,Residential,240V,TJ,0.2125366429086765
2045,Freight,Transport,Charging Station,Commercial,120V,TJ,0.06033235989208758
2045,Freight,Transport,Charging Station,Commercial,240V,TJ,0.058175125191551554
2045,Freight,Transport,Charging Station,Freight,Fast,TJ,0.19678700252965778
2045,Freight,Transport,Charging Station,Freight,Slow,TJ,0.30507570732879974
2045,Passenger,Transport,Charging Station,Commercial,120V,TJ,2.556375157305808
2045,Passenger,Transport,Charging Station,Commercial,240V,TJ,0.26943442824981334
2045,Passenger,Transport,Charging Station,Public,240V,TJ,0.26943442824981334
2045,Passenger,Transport,Charging Station,Residential,120V,TJ,0.10951738843811516
2045,Passenger,Transport,Charging Station,Residential,240V,TJ,0.26943442824981334
2045,Public,Transport,Charging Station,Commercial,120V,TJ,0.40825079053201224
2045,Public,Transport,Charging Station,Commercial,240V,TJ,0.27176164291877936
2045,Public,Transport,Charging Station,Freight,Fast,TJ,0.23963749248045124
2045,Public,Transport,Charging Station,Freight,Slow,TJ,0.5069447437072633
2045,Public,Transport,Charging Station,Public,240V,TJ,0.27176164291877936
2045,Public,Transport,Charging Station,Residential,120V,TJ,0.13432900871173264
2045,Public,Transport,Charging Station,Residential,240V,TJ,0.27176164291877936
2050,Freight,Transport,Charging Station,Commercial,120V,TJ,0.1478808923802054
2050,Freight,Transport,Charging Station,Commercial,240V,TJ,0.13931788288287023
2050,Freight,Transport,Charging Station,Freight,Fast,TJ,0.4750378431594807
2050,Freight,Transport,Charging Station,Freight,Slow,TJ,0.8811380947581053
2050,Passenger,Transport,Charging Station,Commercial,120V,TJ,0.6866803547145539
2050,Passenger,Transport,Charging Station,Commercial,240V,TJ,0.508845594086671
2050,Passenger,Transport,Charging Station,Public,240V,TJ,0.508845594086671
2050,Passenger,Transport,Charging Station,Residential,120V,TJ,0.2936096490075175
