"Energy consumed for building sector, and per end use"
t_periods,Fuel,Sub,EndUse,VFlow_In
2016,Biomass,Industry,Industrial Processes,85.1967154587831
2016,Biomass,Residential,Space Heating,203.83835733378976
2016,Biomass,Residential,Water Heating,9.793929027679422
2016,Bio Methane,Commercial,Auxiliary Equipment,3.715432505251864
2016,Bio Methane,Commercial,Space Cooling,0.7390064131101588
2016,Bio Methane,Commercial,Space Heating,377.6525168737031
2016,Bio Methane,Commercial,Water Heating,32.960073195497955
2016,Bio Methane,Public,Auxiliary Equipment,0.06474822966058255
2016,Bio Methane,Public,Space Cooling,9.056921167574364
2016,Bio Methane,Public,Space Heating,0.041941429256726316
2016,Bio Methane,Public,Water Heating,48.88098170861871
2016,Bio Methane,Residential,Space Heating,252.96159955911767
2016,Bio Methane,Residential,Water Heating,36.27485328916412
2016,Wood Pellet,Residential,Space Heating,0.2641295906145339
2016,Wood Pellet,Residential,Water Heating,10.180385863729642
2016,Coal,Industry,Industrial Processes,98.08383849205313
2016,District Cooling,Commercial,Space Cooling,1253.6207927359526
2016,District Cooling,Public,Space Cooling,243.38231036457202
2016,District Cooling,Residential,Space Cooling,81.12133104709069
2016,District Heating,Commercial,Space Heating,3381.4816260566404
2016,District Heating,Commercial,Water Heating,551.019150207336
2016,District Heating,Public,Space Heating,1487.178585132082
2016,District Heating,Public,Water Heating,335.71629355357885
2016,District Heating,Residential,Space Heating,76.74895287577036
2016,District Heating,Residential,Water Heating,954.4849446366709
2016,Electricity,Commercial,Auxiliary Equipment,17204.734456619728
2016,Electricity,Commercial,Auxiliary Motors,2266.961574018169
2016,Electricity,Commercial,Lighting,30018.085788941054
2016,Electricity,Commercial,Space Cooling,2643.2054205614377
2016,Electricity,Commercial,Space Heating,1124.8468207540768
2016,Electricity,Commercial,Street Lighting,493.358038633829
2016,Electricity,Commercial,Water Heating,216.73494134123374
2016,Electricity,Industry,Industrial Processes,2665.486027768682
2016,Electricity,Industry,Lighting,649.5279282791195
2016,Electricity,Industry,Space Cooling,366.595303753817
2016,Electricity,Industry,Space Heating,755.5520103016611
2016,Electricity,Industry,Water Heating,1007.6027228999861
2016,Electricity,Public,Auxiliary Equipment,2015.431439810664
2016,Electricity,Public,Auxiliary Motors,534.8809065982415
2016,Electricity,Public,Lighting,1968.358206446867
2016,Electricity,Public,Space Cooling,1177.526896217635
2016,Electricity,Public,Space Heating,789.3255337685617
2016,Electricity,Public,Water Heating,0.35949232945828974
2016,Electricity,Residential,Other Appliances,5863.076846455633
2016,Electricity,Residential,Clothe Dryer,2011.5763176737357
2016,Electricity,Residential,Clothe Washer,118.75190583821545
2016,Electricity,Residential,Dish Washer,144.1843947038081
2016,Electricity,Residential,Freezer,552.9099259200527
2016,Electricity,Residential,Lighting,2461.7615609900286
2016,Electricity,Residential,Range,2047.5846080008857
2016,Electricity,Residential,Refrigerator,1738.2937583577313
2016,Electricity,Residential,Space Cooling,3067.2989713458346
2016,Electricity,Residential,Space Heating,4071.116364208704
2016,Electricity,Residential,Water Heating,796.120764419543
2016,Heavy Fuel Oil,Commercial,Space Heating,1.6081481396757886
2016,Heavy Fuel Oil,Commercial,Water Heating,3.249314997063699
2016,Heavy Fuel Oil,Industry,Industrial Processes,42.57482887035756
2016,Heavy Fuel Oil,Industry,Space Heating,25.354176964556796
2016,Heavy Fuel Oil,Industry,Water Heating,60.66277372283674
2016,Heavy Fuel Oil,Public,Water Heating,0.36332985835076337
2016,Hydrogen,Residential,Space Heating,0.17970106341449865
2016,Hydrogen,Residential,Water Heating,0.08093349860413263
2016,Kerosene,Commercial,Space Heating,1.608776329445644
2016,Kerosene,Commercial,Water Heating,3.249407182825838
2016,Kerosene,Public,Water Heating,0.3633275038631095
2016,Kerosene,Residential,Space Heating,0.20536127318685246
2016,Kerosene,Residential,Water Heating,6.232292445736594
2016,Light Fuel Oil,Commercial,Space Heating,192.75915614507105
2016,Light Fuel Oil,Commercial,Water Heating,232.9535944064125
2016,Light Fuel Oil,Industry,Industrial Processes,478.67103020446274
2016,Light Fuel Oil,Industry,Space Heating,24.745053459187098
2016,Light Fuel Oil,Industry,Water Heating,44.26876716666495
2016,Light Fuel Oil,Public,Space Heating,343.4241655647027
2016,Light Fuel Oil,Public,Water Heating,0.6323940997250488
2016,Light Fuel Oil,Residential,Space Heating,933.4679196281501
2016,Light Fuel Oil,Residential,Water Heating,96.58739528624157
2016,Mix Energy,Industry,Industrial Processes,15263.906314559317
2016,Natural Gas,Commercial,Auxiliary Equipment,2641.1667908461777
2016,Natural Gas,Commercial,Space Cooling,121.85568019715076
2016,Natural Gas,Commercial,Space Heating,36722.828140713726
2016,Natural Gas,Commercial,Water Heating,5876.610868568198
2016,Natural Gas,Industry,Industrial Processes,11656.942211507625
2016,Natural Gas,Industry,Space Cooling,30.20695895456238
2016,Natural Gas,Industry,Space Heating,731.3552247882021
2016,Natural Gas,Industry,Water Heating,2870.2281620915264
2016,Natural Gas,Public,Auxiliary Equipment,382.79233608601714
2016,Natural Gas,Public,Space Cooling,148.02853905070273
2016,Natural Gas,Public,Space Heating,7247.46280144289
2016,Natural Gas,Public,Water Heating,994.3339383886167
2016,Natural Gas,Residential,Clothe Dryer,139.00517168561882
2016,Natural Gas,Residential,Range,141.5088639446086
2016,Natural Gas,Residential,Space Heating,58091.40039175969
2016,Natural Gas,Residential,Water Heating,16275.501521666803
2016,Pet Coke,Industry,Industrial Processes,236.9516622678643
2016,Propane,Commercial,Auxiliary Equipment,1917.1432735979276
2016,Propane,Commercial,Space Heating,971.3293542751913
2016,Propane,Commercial,Water Heating,99.82607289449588
2016,Propane,Industry,Space Heating,21.860562366590305
2016,Propane,Industry,Water Heating,96.27296372241193
2016,Propane,Residential,Space Heating,0.2671060675643245
2016,Propane,Residential,Water Heating,10.11219680323215
2016,Synthetic Gas,Commercial,Auxiliary Equipment,0.46961766134980387
2016,Synthetic Gas,Commercial,Space Cooling,0.20635888922306922
2016,Synthetic Gas,Commercial,Space Heating,1.541071819096532
