"Building capacity per subsector, per end use, per input energy, and per vintage"
vintage,Sub,EndUse,Tech_type_1,Tech_type_2,Energy_cat,Efficiency,Capacity_units,Capacities
1950,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.64195707412559
1950,Public,Space Cooling,___,___,District Cooling,___,MW,1.4066617224999411
1950,Residential,Space Cooling,___,___,District Cooling,___,MW,1.480012968639973
1950,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
1955,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.641957074125591
1955,Public,Space Cooling,___,___,District Cooling,___,MW,1.406661722499941
1955,Residential,Space Cooling,___,___,District Cooling,___,MW,1.4800129686399732
1955,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
1960,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.641957074125591
1960,Public,Space Cooling,___,___,District Cooling,___,MW,1.406661722499941
1960,Residential,Space Cooling,___,___,District Cooling,___,MW,1.4800129686399732
1960,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
1965,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.641957074125591
1965,Public,Space Cooling,___,___,District Cooling,___,MW,1.4066617224999411
1965,Residential,Space Cooling,___,___,District Cooling,___,MW,1.480012968639973
1965,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
1970,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.6419570741255916
1970,Public,Space Cooling,___,___,District Cooling,___,MW,1.406661722499941
1970,Residential,Space Cooling,___,___,District Cooling,___,MW,1.480012968639973
1970,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
1975,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.6419570741255916
1975,Public,Space Cooling,___,___,District Cooling,___,MW,1.4066617224999411
1975,Residential,Space Cooling,___,___,District Cooling,___,MW,1.4800129686399732
1975,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
1980,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.641957074125591
1980,Commercial,Space Heating,Plinthe,___,Electricity,Standard,MW,20.232080859225867
1980,Public,Space Cooling,___,___,District Cooling,___,MW,1.4066617224999411
1980,Public,Space Heating,Plinthe,___,Electricity,Standard,MW,6.49405549351191
1980,Residential,Space Cooling,___,___,District Cooling,___,MW,1.4800129686399732
1980,Residential,Space Heating,Plinthe,___,Electricity,Standard,MW,36.44480657414747
1980,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
1985,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.641957074125591
1985,Commercial,Space Heating,Plinthe,___,Electricity,Standard,MW,20.23208085922587
1985,Public,Space Cooling,___,___,District Cooling,___,MW,1.406661722499941
1985,Public,Space Heating,Plinthe,___,Electricity,Standard,MW,6.49405549351191
1985,Residential,Space Cooling,___,___,District Cooling,___,MW,1.4800129686399732
1985,Residential,Space Heating,Plinthe,___,Electricity,Standard,MW,36.444806574147464
1985,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
1990,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.6419570741255916
1990,Commercial,Space Heating,Plinthe,___,Electricity,Standard,MW,20.23208085922587
1990,Public,Space Cooling,___,___,District Cooling,___,MW,1.4066617224999411
1990,Public,Space Heating,Plinthe,___,Electricity,Standard,MW,6.494055493511909
1990,Residential,Space Cooling,___,___,District Cooling,___,MW,1.480012968639973
1990,Residential,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,8.746753577795392
1990,Residential,Space Heating,Plinthe,___,Electricity,Standard,MW,36.444806574147464
1990,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
1995,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.641957074125591
1995,Commercial,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,2.9921638244478483
1995,Commercial,Space Heating,Furnace,___,Natural Gas,Standard,MW,594.9051346433567
1995,Commercial,Space Heating,Furnace,___,Propane,Standard,MW,15.614751400886403
1995,Commercial,Space Heating,Plinthe,___,Electricity,Standard,MW,20.232080859225867
1995,Commercial,Space Heating,___,___,District Heating,___,MW,68.66725656716947
1995,Commercial,Water Heating,___,___,District Heating,___,MW,5.461639927067946
1995,Public,Space Cooling,___,___,District Cooling,___,MW,1.406661722499941
1995,Public,Space Heating,Furnace,___,Electricity,Standard,MW,6.109607408296004
1995,Public,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,5.641516764518759
1995,Public,Space Heating,Furnace,___,Natural Gas,Standard,MW,122.10581190946098
1995,Public,Space Heating,Plinthe,___,Electricity,Standard,MW,6.494055493511909
1995,Public,Space Heating,___,___,District Heating,___,MW,31.32001504149933
1995,Public,Water Heating,___,___,District Heating,___,MW,2.131148471147541
1995,Residential,Freezer,___,___,Electricity,Standard,kunits,69.59257852566105
1995,Residential,Space Cooling,___,___,District Cooling,___,MW,1.4800129686399732
1995,Residential,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,8.746753577795392
1995,Residential,Space Heating,Furnace,___,Natural Gas,High,MW,697.1671833380108
1995,Residential,Space Heating,Furnace,___,Natural Gas,Medium,MW,219.22132638527555
1995,Residential,Space Heating,Plinthe,___,Electricity,Standard,MW,36.444806574147464
1995,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
2000,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.641957074125591
2000,Commercial,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,2.9921638244478483
2000,Commercial,Space Heating,Furnace,___,Natural Gas,Standard,MW,594.9051346433567
2000,Commercial,Space Heating,Furnace,___,Propane,Standard,MW,15.6147514008864
2000,Commercial,Space Heating,Heat Pump,___,Electricity,Standard,MW,38.36122698608217
2000,Commercial,Space Heating,Plinthe,___,Electricity,Standard,MW,20.23208085922587
2000,Commercial,Space Heating,___,___,District Heating,___,MW,68.66725656716947
2000,Commercial,Water Heating,___,___,District Heating,___,MW,5.461639927067946
2000,Public,Space Cooling,___,___,District Cooling,___,MW,1.406661722499941
2000,Public,Space Cooling,___,___,Electricity,Standard,MW,87.69607415412418
2000,Public,Space Heating,Furnace,___,Electricity,Standard,MW,6.109607408296003
2000,Public,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,5.641516764518759
2000,Public,Space Heating,Furnace,___,Natural Gas,Standard,MW,122.10581190946097
2000,Public,Space Heating,Plinthe,___,Electricity,Standard,MW,6.49405549351191
2000,Public,Space Heating,___,___,District Heating,___,MW,31.320015041499335
2000,Public,Water Heating,___,___,District Heating,___,MW,2.131148471147541
2000,Residential,Freezer,___,___,Electricity,Standard,kunits,69.59257852566105
2000,Residential,Refrigerator,___,___,Electricity,Standard,kunits,221.61925032101323
2000,Residential,Space Cooling,Central,___,Electricity,Standard,MW,481.4845032154094
2000,Residential,Space Cooling,___,___,District Cooling,___,MW,1.4800129686399732
2000,Residential,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,8.746753577795392
2000,Residential,Space Heating,Furnace,___,Natural Gas,High,MW,697.1671833380108
2000,Residential,Space Heating,Furnace,___,Natural Gas,Medium,MW,219.22132638527552
2000,Residential,Space Heating,Plinthe,___,Electricity,Standard,MW,36.44480657414747
2000,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
2005,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.641957074125591
2005,Commercial,Space Cooling,___,___,Natural Gas,Standard,MW,12.249125543960036
2005,Commercial,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,2.992163824447849
2005,Commercial,Space Heating,Furnace,___,Natural Gas,Standard,MW,594.9051346433566
2005,Commercial,Space Heating,Furnace,___,Propane,Standard,MW,15.614751400886401
