"District thermal energy Capacity per technology type, and per period"
t_periods,Tech_cat,EndUse,Tech_type_1,Tech_type_2,Capacity_units,Capacities
2016,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900292
2016,Toronto Average,District Cooling,Substation,___,MW,376.2322873900292
2016,Toronto Average,District Heating,Pipe,___,MW,850.8756684981686
2016,Toronto Average,District Heating,Substation,___,MW,850.8756684981685
2016,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2016,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2016,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2016,Production,District Heating,Boiler,Large,MW,628.4800077410634
2016,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2017,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900292
2017,Toronto Average,District Cooling,Substation,___,MW,376.2322873900292
2017,Toronto Average,District Heating,Pipe,___,MW,850.8756684981686
2017,Toronto Average,District Heating,Substation,___,MW,850.8756684981685
2017,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2017,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2017,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2017,Production,District Heating,Boiler,Large,MW,628.4800077410634
2017,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2018,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900292
2018,Toronto Average,District Cooling,Substation,___,MW,376.2322873900293
2018,Toronto Average,District Heating,Pipe,___,MW,850.8756684981686
2018,Toronto Average,District Heating,Substation,___,MW,850.8756684981685
2018,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2018,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2018,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2018,Production,District Heating,Boiler,Large,MW,628.4800077410634
2018,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2019,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900292
2019,Toronto Average,District Cooling,Substation,___,MW,376.2322873900293
2019,Toronto Average,District Heating,Pipe,___,MW,850.8756684981686
2019,Toronto Average,District Heating,Substation,___,MW,850.8756684981686
2019,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2019,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2019,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2019,Production,District Heating,Boiler,Large,MW,628.4800077410634
2019,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2020,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900292
2020,Toronto Average,District Cooling,Substation,___,MW,376.2322873900292
2020,Toronto Average,District Heating,Pipe,___,MW,850.8756684981685
2020,Toronto Average,District Heating,Substation,___,MW,850.8756684981685
2020,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2020,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2020,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2020,Production,District Heating,Boiler,Large,MW,628.4800077410634
2020,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2021,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900292
2021,Toronto Average,District Cooling,Substation,___,MW,376.2322873900292
2021,Toronto Average,District Heating,Pipe,___,MW,850.8756684981686
2021,Toronto Average,District Heating,Substation,___,MW,850.8756684981685
2021,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2021,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2021,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2021,Production,District Heating,Boiler,Large,MW,628.4800077410634
2021,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2022,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900292
2022,Toronto Average,District Cooling,Substation,___,MW,376.2322873900292
2022,Toronto Average,District Heating,Pipe,___,MW,850.8756684981686
2022,Toronto Average,District Heating,Substation,___,MW,850.8756684981686
2022,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2022,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2022,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2022,Production,District Heating,Boiler,Large,MW,628.4800077410634
2022,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2023,Toronto Average,District Cooling,Pipe,___,MW,377.39475752933333
2023,Toronto Average,District Cooling,Substation,___,MW,379.34645163137657
2023,Toronto Average,District Heating,Pipe,___,MW,855.1061102780692
2023,Toronto Average,District Heating,Substation,___,MW,856.296115633131
2023,Consumption,District Cooling,Heat Pump,Large,MW,0.1610306033308471
2023,Consumption,District Cooling,Heat Pump,Medium,MW,0.15003167898210693
2023,Consumption,District Cooling,Heat Pump,Small,MW,0.1076982140583809
2023,Consumption,District Heating,Heat Pump,Large,MW,1.771215611209254
2023,Consumption,District Heating,Heat Pump,Medium,MW,1.7256892276316875
2023,Consumption,District Heating,Heat Pump,Small,MW,5.535784514374204
2023,Production,District Cooling,Deep Lake Cooling,Enwave,MW,223.72285913255809
2023,Production,District Cooling,Heat Pump,Enwave,MW,2.324154168562555
2023,Production,District Cooling,Heat Pump,Large,MW,54.223354903242736
2023,Production,District Cooling,Heat Pump,Medium,MW,66.41984179214181
2023,Production,District Cooling,Heat Pump,Small,MW,1.657059840115552
