"Buildin sector GHG emissions per subsector, per end use, per period (metric ton)"
t_periods,emissions_comm,Sub,EndUse,Emisions
2016,CH4,Commercial,Auxiliary Equipment,4.324995702607802
2016,CH4,Commercial,Space Cooling,0.12162299973769354
2016,CH4,Commercial,Space Heating,36.22382847520816
2016,CH4,Commercial,Water Heating,5.858834384711068
2016,CH4,Industry,Industrial Processes,12.5968963281112
2016,CH4,Industry,Space Cooling,0.028635856721563324
2016,CH4,Industry,Space Heating,0.764631769425089
2016,CH4,Industry,Water Heating,2.923258112159384
2016,CH4,Public,Auxiliary Equipment,0.36297700890087964
2016,CH4,Public,Space Cooling,0.1970003576703264
2016,CH4,Public,Space Heating,7.100707656711572
2016,CH4,Public,Water Heating,0.9895665987879014
2016,CH4,Residential,Clothe Dryer,0.13177429718850844
2016,CH4,Residential,Range,0.13414880063801676
2016,CH4,Residential,Space Heating,200.92190951416055
2016,CH4,Residential,Water Heating,29.58660591034479
2016,CO2,Commercial,Auxiliary Equipment,242479.63713206
2016,CO2,Commercial,Space Cooling,5988.283621298576
2016,CO2,Commercial,Space Heating,1848280.6597635634
2016,CO2,Commercial,Water Heating,307134.8178869356
2016,CO2,Industry,Industrial Processes,628328.257410934
2016,CO2,Industry,Space Cooling,1461.202634873285
2016,CO2,Industry,Space Heating,40324.92673972621
2016,CO2,Industry,Water Heating,152250.13933923363
2016,CO2,Public,Auxiliary Equipment,18516.277490883793
2016,CO2,Public,Space Cooling,7934.247790679765
2016,CO2,Public,Space Heating,374948.77816369914
2016,CO2,Public,Water Heating,48220.35389555239
2016,CO2,Residential,Clothe Dryer,6724.050624105513
2016,CO2,Residential,Range,6845.214475799345
2016,CO2,Residential,Space Heating,2876161.750390472
2016,CO2,Residential,Water Heating,795108.0464437718
2016,CO2e,Commercial,Auxiliary Equipment,245714.57424099438
2016,CO2e,Commercial,Space Cooling,6025.122241055166
2016,CO2e,Commercial,Space Heating,1860237.0696688234
2016,CO2e,Commercial,Water Heating,309021.01567224757
2016,CO2e,Industry,Industrial Processes,631996.9381039428
2016,CO2e,Industry,Space Cooling,1469.8762036916246
2016,CO2e,Industry,Space Heating,40581.491411458584
2016,CO2e,Industry,Water Heating,153238.722423409
2016,CO2e,Public,Auxiliary Equipment,18626.220283805014
2016,CO2e,Public,Space Cooling,7993.917595010871
2016,CO2e,Public,Space Heating,377116.4200480321
2016,CO2e,Public,Water Heating,48520.210332448005
2016,CO2e,Residential,Clothe Dryer,6763.9639902836625
2016,CO2e,Residential,Range,6885.847059819619
2016,CO2e,Residential,Space Heating,2896472.182965373
2016,CO2e,Residential,Water Heating,800149.7750164523
2016,N2O,Commercial,Auxiliary Equipment,10.550712077783976
2016,N2O,Commercial,Space Cooling,0.11504878108086258
2016,N2O,Commercial,Space Heating,37.56949499087791
2016,N2O,Commercial,Water Heating,5.916651890043587
2016,N2O,Industry,Industrial Processes,11.423308288987092
