"Buildin sector GHG emissions per subsector, per end use, per period (metric ton)"
t_periods,emissions_comm,Sub,Sector,EndUse,Tech_type_1,Energy_cat,Efficiency,Emisions
2016,CH4,Commercial,Building,Auxiliary Equipment,___,Natural Gas,Standard,2.5074938203416184
2016,CH4,Commercial,Building,Auxiliary Equipment,___,Propane,Standard,1.817501882266184
2016,CH4,Commercial,Building,Space Cooling,___,Natural Gas,Standard,0.12162299973769354
2016,CH4,Commercial,Building,Space Heating,Furnace,Heavy Fuel Oil,Standard,0.002068692174149966
2016,CH4,Commercial,Building,Space Heating,Furnace,Kerosene,Standard,0.0010642527976154061
2016,CH4,Commercial,Building,Space Heating,Furnace,Light Fuel Oil,Standard,0.12867188329558485
2016,CH4,Commercial,Building,Space Heating,Furnace,Natural Gas,High,0.0031700314934647463
2016,CH4,Commercial,Building,Space Heating,Furnace,Natural Gas,Standard,35.168388133175114
2016,CH4,Commercial,Building,Space Heating,Furnace,Propane,Standard,0.9204654822722489
2016,CH4,Commercial,Building,Water Heating,___,Heavy Fuel Oil,Standard,0.004197123929131751
2016,CH4,Commercial,Building,Water Heating,___,Kerosene,Standard,0.0021594384478360075
2016,CH4,Commercial,Building,Water Heating,___,Light Fuel Oil,Standard,0.15568532037271862
2016,CH4,Commercial,Building,Water Heating,___,Natural Gas,Standard,5.602567131743572
2016,CH4,Commercial,Building,Water Heating,___,Propane,Standard,0.09422537021780801
2016,CH4,Industry,Building,Industrial Processes,Self produced,Mix Energy,,12.5968963281112
2016,CH4,Industry,Building,Space Cooling,Self produced,Mix Energy,,0.028635856721563324
2016,CH4,Industry,Building,Space Heating,Self produced,Mix Energy,,0.764631769425089
2016,CH4,Industry,Building,Water Heating,Self produced,Mix Energy,,2.923258112159384
2016,CH4,Public,Building,Auxiliary Equipment,___,Natural Gas,Standard,0.36297700890087964
2016,CH4,Public,Building,Space Cooling,___,Natural Gas,Standard,0.1970003576703264
2016,CH4,Public,Building,Space Heating,Furnace,Light Fuel Oil,Standard,0.2301290503710519
2016,CH4,Public,Building,Space Heating,Furnace,Natural Gas,Standard,6.870578606340518
2016,CH4,Public,Building,Water Heating,___,Heavy Fuel Oil,Standard,0.0007847285066643209
2016,CH4,Public,Building,Water Heating,___,Kerosene,Standard,0.00040373754001613173
2016,CH4,Public,Building,Water Heating,___,Light Fuel Oil,Standard,0.0007320875389344041
2016,CH4,Public,Building,Water Heating,___,Natural Gas,Standard,0.9876460452022866
2016,CH4,Residential,Building,Clothe Dryer,___,Natural Gas,Standard,0.13177429718850844
2016,CH4,Residential,Building,Range,___,Natural Gas,Standard,0.13414880063801676
2016,CH4,Residential,Building,Space Heating,Furnace,Biomass,Standard,144.81521007348215
2016,CH4,Residential,Building,Space Heating,Furnace,Wood Pellet,Standard,0.17290639883258513
2016,CH4,Residential,Building,Space Heating,Furnace,Kerosene,Standard,0.00013679225010066625
2016,CH4,Residential,Building,Space Heating,Furnace,Light Fuel Oil,Standard,0.6250829443751661
2016,CH4,Residential,Building,Space Heating,Furnace,Natural Gas,High,40.626873719644124
2016,CH4,Residential,Building,Space Heating,Furnace,Natural Gas,Medium,14.681429792485172
2016,CH4,Residential,Building,Space Heating,Furnace,Propane,Standard,0.000269793091316283
2016,CH4,Residential,Building,Water Heating,___,Biomass,Standard,6.882011487232413
2016,CH4,Residential,Building,Water Heating,___,Wood Pellet,Standard,7.162427524133282
2016,CH4,Residential,Building,Water Heating,___,Kerosene,Standard,0.0041411344716699265
2016,CH4,Residential,Building,Water Heating,___,Light Fuel Oil,Standard,0.064503466206831
2016,CH4,Residential,Building,Water Heating,___,Natural Gas,Standard,15.462994991027145
2016,CH4,Residential,Building,Water Heating,___,Propane,Standard,0.01052730727344448
2016,CO2,Commercial,Building,Auxiliary Equipment,___,Natural Gas,Standard,127749.83086203554
2016,CO2,Commercial,Building,Auxiliary Equipment,___,Propane,Standard,114729.80627002442
2016,CO2,Commercial,Building,Space Cooling,___,Natural Gas,Standard,5988.283621298576
2016,CO2,Commercial,Building,Space Heating,Furnace,Heavy Fuel Oil,Standard,114.54025951709127
2016,CO2,Commercial,Building,Space Heating,Furnace,Kerosene,Standard,104.78800291414323
2016,CO2,Commercial,Building,Space Heating,Furnace,Light Fuel Oil,Standard,13624.373005941035
2016,CO2,Commercial,Building,Space Heating,Furnace,Natural Gas,High,71.74379586499
2016,CO2,Commercial,Building,Space Heating,Furnace,Natural Gas,Standard,1776260.8316945448
2016,CO2,Commercial,Building,Space Heating,Furnace,Propane,Standard,58104.38300478113
2016,CO2,Commercial,Building,Water Heating,___,Heavy Fuel Oil,Standard,232.38820645980474
2016,CO2,Commercial,Building,Water Heating,___,Kerosene,Standard,212.62170310641318
2016,CO2,Commercial,Building,Water Heating,___,Light Fuel Oil,Standard,16484.680314536767
2016,CO2,Commercial,Building,Water Heating,___,Natural Gas,Standard,284257.15121812077
2016,CO2,Commercial,Building,Water Heating,___,Propane,Standard,5947.976444711825
2016,CO2,Industry,Building,Industrial Processes,Self produced,Mix Energy,,628328.257410934
2016,CO2,Industry,Building,Space Cooling,Self produced,Mix Energy,,1461.202634873285
2016,CO2,Industry,Building,Space Heating,Self produced,Mix Energy,,40324.92673972621
2016,CO2,Industry,Building,Water Heating,Self produced,Mix Energy,,152250.13933923363
2016,CO2,Public,Building,Auxiliary Equipment,___,Natural Gas,Standard,18516.277490883793
2016,CO2,Public,Building,Space Cooling,___,Natural Gas,Standard,7934.247790679765
2016,CO2,Public,Building,Space Heating,Furnace,Light Fuel Oil,Standard,24367.125987506355
2016,CO2,Public,Building,Space Heating,Furnace,Natural Gas,Standard,350581.6521761929
2016,CO2,Public,Building,Water Heating,___,Heavy Fuel Oil,Standard,43.44919361466822
2016,CO2,Public,Building,Water Heating,___,Kerosene,Standard,39.75263265885072
2016,CO2,Public,Building,Water Heating,___,Light Fuel Oil,Standard,77.51681253771439
2016,CO2,Public,Building,Water Heating,___,Natural Gas,Standard,48059.63525674116
2016,CO2,Residential,Building,Clothe Dryer,___,Natural Gas,Standard,6724.050624105513
2016,CO2,Residential,Building,Range,___,Natural Gas,Standard,6845.214475799345
2016,CO2,Residential,Building,Space Heating,Furnace,Kerosene,Standard,13.468779912346385
2016,CO2,Residential,Building,Space Heating,Furnace,Light Fuel Oil,Standard,66186.66806146344
2016,CO2,Residential,Building,Space Heating,Furnace,Natural Gas,High,2066745.0274097738
2016,CO2,Residential,Building,Space Heating,Furnace,Natural Gas,Medium,743201.4477488172
2016,CO2,Residential,Building,Space Heating,Furnace,Propane,Standard,15.138390505184223
2016,CO2,Residential,Building,Water Heating,___,Kerosene,Standard,407.74260782542245
2016,CO2,Residential,Building,Water Heating,___,Light Fuel Oil,Standard,6829.924766199948
2016,CO2,Residential,Building,Water Heating,___,Natural Gas,Standard,787279.6801467462
2016,CO2,Residential,Building,Water Heating,___,Propane,Standard,590.6989230003696
2016,CO2e,Commercial,Building,Auxiliary Equipment,___,Natural Gas,Standard,128509.33040846656
2016,CO2e,Commercial,Building,Auxiliary Equipment,___,Propane,Standard,117205.2438325278
2016,CO2e,Commercial,Building,Space Cooling,___,Natural Gas,Standard,6025.122241055166
2016,CO2e,Commercial,Building,Space Heating,Furnace,Heavy Fuel Oil,Standard,115.2758792762901
2016,CO2e,Commercial,Building,Space Heating,Furnace,Kerosene,Standard,105.18848972896656
2016,CO2e,Commercial,Building,Space Heating,Furnace,Light Fuel Oil,Standard,13672.79322556327
2016,CO2e,Commercial,Building,Space Heating,Furnace,Natural Gas,High,72.70397235128141
2016,CO2e,Commercial,Building,Space Heating,Furnace,Natural Gas,Standard,1786913.051123683
2016,CO2e,Commercial,Building,Space Heating,Furnace,Propane,Standard,59358.056978219895
2016,CO2e,Commercial,Building,Water Heating,___,Heavy Fuel Oil,Standard,233.88068916586235
