GHG emissions by building type (metric ton)
t_periods,emissions_comm,Sub,Archetype,NewOld,Emisions
2016,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.860065296713773
2016,CH4,Commercial,Accommodation and Food Services,Old,2.1692993295284544
2016,CH4,Commercial,Educational Services,Old,5.4087233219349535
2016,CH4,Commercial,Health Care and Social Assistance,Old,3.355441148279983
2016,CH4,Commercial,Information and Cultural Industries,Old,0.2838158850822846
2016,CH4,Commercial,Offices,Old,18.88902673084951
2016,CH4,Commercial,Other Services,Old,2.2093680952805466
2016,CH4,Commercial,Retail Trade,Old,6.821157788050708
2016,CH4,Commercial,Transportation and Warehousing,Old,1.2119873002894095
2016,CH4,Commercial,Wholesale Trade,Old,4.320396666255119
2016,CH4,Industry,,,16.313422066417235
2016,CH4,Public,Hospital,Old,1.6869213533405591
2016,CH4,Public,Municipality,Old,1.4708795208485534
2016,CH4,Public,Post-Secondary Institution,Old,2.7050002669828515
2016,CH4,Public,School board,Old,2.787450480898714
2016,CH4,Residential,Apartments,Old,79.0434800843545
2016,CH4,Residential,Single Attached,Old,44.378924941568926
2016,CH4,Residential,Single Detached,Old,107.35203349640851
2016,CO2,Commercial,"Arts, Entertainment and Recreation",Old,95285.20286561677
2016,CO2,Commercial,Accommodation and Food Services,Old,111301.45058113491
2016,CO2,Commercial,Educational Services,Old,279303.31993137824
2016,CO2,Commercial,Health Care and Social Assistance,Old,172904.74575483732
2016,CO2,Commercial,Information and Cultural Industries,Old,14461.235757823832
2016,CO2,Commercial,Offices,Old,982377.7405787476
2016,CO2,Commercial,Other Services,Old,113282.74487945938
2016,CO2,Commercial,Retail Trade,Old,351345.3965481249
2016,CO2,Commercial,Transportation and Warehousing,Old,62153.736222140215
2016,CO2,Commercial,Wholesale Trade,Old,221467.82528459368
2016,CO2,Industry,,,822364.5261247671
2016,CO2,Public,Hospital,Old,93874.03278553941
2016,CO2,Public,Municipality,Old,74797.84552529587
2016,CO2,Public,Post-Secondary Institution,Old,139598.15085234283
2016,CO2,Public,School board,Old,141349.62817763703
2016,CO2,Residential,Apartments,Old,1346226.1189354428
2016,CO2,Residential,Single Attached,Old,714440.101211531
2016,CO2,Residential,Single Detached,Old,1624172.8417871757
2016,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,95923.4568409916
2016,CO2e,Commercial,Accommodation and Food Services,Old,112052.69933937912
2016,CO2e,Commercial,Educational Services,Old,281187.44613804854
2016,CO2e,Commercial,Health Care and Social Assistance,Old,174095.76306049034
2016,CO2e,Commercial,Information and Cultural Industries,Old,14559.524066458614
2016,CO2e,Commercial,Offices,Old,989916.4355162374
2016,CO2e,Commercial,Other Services,Old,114026.44538513572
2016,CO2e,Commercial,Retail Trade,Old,353674.194347345
2016,CO2e,Commercial,Transportation and Warehousing,Old,62581.670211900906
2016,CO2e,Commercial,Wholesale Trade,Old,222980.1469171333
