GHG emissions from energy imports (metric ton)
t_periods,emissions_comm,Energy_imported,Emisions
2016,CO2e,Bio Methane,0.665980120753342
2016,CO2e,Electricity,979756.6815748819
2016,CO2e,Natural Gas,112596.49143567483
2016,CO2e,Synthetic Gas,5.513172915826572
2016,CO2e,Synthetic Methane,0.01283412594792266
2017,CO2e,Bio Methane,0.9040687310117227
2017,CO2e,Electricity,989926.8527401717
2017,CO2e,Natural Gas,112696.10171009711
2017,CO2e,Synthetic Gas,11.220800853161956
2017,CO2e,Synthetic Methane,0.05789180888742814
2018,CO2e,Bio Methane,2.172574993723048
2018,CO2e,Electricity,1004399.7123492012
2018,CO2e,Natural Gas,113536.44417245101
2018,CO2e,Synthetic Gas,20.067102585028955
2018,CO2e,Synthetic Methane,0.11001566271206696
2019,CO2e,Bio Methane,2.2299160902183672
2019,CO2e,Electricity,1010009.5346603976
2019,CO2e,Natural Gas,113901.25263776864
2019,CO2e,Synthetic Gas,24.948519582222822
2019,CO2e,Synthetic Methane,0.15210774160864368
2020,CO2e,Bio Methane,3.018358200788649
2020,CO2e,Electricity,1004229.7420501035
2020,CO2e,Natural Gas,113865.0523373938
2020,CO2e,Synthetic Gas,32.71316016664563
2020,CO2e,Synthetic Methane,0.33924203677260256
2021,CO2e,Bio Methane,3.4648027245316504
2021,CO2e,Electricity,890847.0339745394
2021,CO2e,Natural Gas,114044.31810662254
2021,CO2e,Synthetic Gas,40.60818539035648
2021,CO2e,Synthetic Methane,0.5816240479362178
2022,CO2e,Bio Methane,3.846055477093761
2022,CO2e,Electricity,981410.8844935553
2022,CO2e,Natural Gas,114357.48083663918
2022,CO2e,Synthetic Gas,46.08165861116611
2022,CO2e,Synthetic Methane,0.6175669196294579
2023,CO2e,Bio Methane,6.507152321129847
2023,CO2e,Electricity,1360161.971443872
2023,CO2e,Natural Gas,104368.11686424208
2023,CO2e,Synthetic Gas,31.970360425929634
2023,CO2e,Synthetic Methane,0.6346855797243176
2024,CO2e,Bio Methane,86.39435210457967
2024,CO2e,Electricity,1143362.7671841448
2024,CO2e,Natural Gas,94666.8554180157
2024,CO2e,Synthetic Gas,27.869394431548578
2024,CO2e,Synthetic Methane,0.6352646543800452
2025,CO2e,Bio Methane,3.328969342185893
2025,CO2e,Electricity,1341097.760019984
2025,CO2e,Natural Gas,88361.13018983591
2025,CO2e,Synthetic Gas,25.37302694811275
2025,CO2e,Synthetic Methane,0.5544998660042193
2030,CO2e,Bio Methane,6843.263969993095
2030,CO2e,Electricity,953263.9081942702
2030,CO2e,Natural Gas,60715.9258369852
2030,CO2e,Synthetic Gas,25.561450622812384
2030,CO2e,Synthetic Methane,0.4310099605367532
2035,CO2e,Bio Methane,8730.546417356463
2035,CO2e,Electricity,715514.3233628618
2035,CO2e,Natural Gas,33715.5843896561
2035,CO2e,Synthetic Gas,23.24335734074401
2035,CO2e,Synthetic Methane,0.20813209829794055
2040,CO2e,Bio Methane,8730.546799823433
2040,CO2e,Electricity,1212668.9528657158
2040,CO2e,Natural Gas,10141.492611425836
2040,CO2e,Synthetic Gas,3.8651000521747916
2040,CO2e,Synthetic Methane,0.16079445574122744
2045,CO2e,Bio Methane,8730.546371503937
2045,CO2e,Electricity,1127760.740018419
2045,CO2e,Natural Gas,9116.404990717288
2045,CO2e,Synthetic Gas,4.215478597421747
2045,CO2e,Synthetic Methane,0.1490489649766534
2050,CO2e,Bio Methane,8730.540831813165
2050,CO2e,Electricity,1159619.1872924713
2050,CO2e,Natural Gas,2186.5381445231806
2050,CO2e,Synthetic Gas,4.5616768460099815
2050,CO2e,Synthetic Methane,0.16015952605573003
