GHG emissions per sector per period (metric ton)
t_periods,emissions_comm,main_sector,Emisions
2016,CH4,Building,302.2673937730842
2016,CH4,Energy,7.529174919438251
2016,CH4,Transportation,557.9539380865542
2016,CH4,Waste,67258.11613195244
2016,CO2,Building,7360706.6438035825
2016,CO2,Energy,364981.8414996705
2016,CO2,Transportation,6475140.839867455
2016,CO2,Waste,115513.54372130438
2016,CO2e,Building,7410813.347256845
2016,CO2e,Energy,1459621.7325331229
2016,CO2e,Transportation,6608623.123043885
2016,CO2e,Waste,1494299.0260452242
2016,N2O,Building,146.84257779873369
2016,N2O,Energy,7.122192491360509
2016,N2O,Transportation,225.36406939769623
2016,N2O,Waste,147.76170507178855
2017,CH4,Building,326.7247613084268
2017,CH4,Energy,6.890285513279638
2017,CH4,Transportation,558.9042582817697
2017,CH4,Waste,64937.42115024478
2017,CO2,Building,7383973.46338264
2017,CO2,Energy,334011.24585429346
2017,CO2,Transportation,6311632.024990621
2017,CO2,Waste,116404.94444838045
2017,CO2e,Building,7434757.592803204
2017,CO2e,Energy,1438733.394680748
2017,CO2e,Transportation,6443472.7732245615
2017,CO2e,Waste,1447539.5740369633
2017,N2O,Building,147.39231353387422
2017,N2O,Energy,6.517837647696956
2017,N2O,Transportation,219.6715724145019
2017,N2O,Waste,153.53910596447818
2018,CH4,Building,1040.735676578631
2018,CH4,Energy,7.72210384486046
2018,CH4,Transportation,560.7821556019815
2018,CH4,Waste,62707.798013511834
2018,CO2,Building,7443504.747309568
2018,CO2,Energy,374334.20151716366
2018,CO2,Transportation,6326053.969334964
2018,CO2,Waste,117378.84252871668
2018,CO2e,Building,7512599.968891961
2018,CO2e,Energy,1494631.670375013
2018,CO2e,Transportation,6458551.788325265
2018,CO2e,Waste,1401882.2378295737
2018,N2O,Building,158.52272608805976
2018,N2O,Energy,7.3046928262193545
2018,N2O,Transportation,221.75186391251597
2018,N2O,Waste,156.2858567870266
2019,CH4,Building,1098.9809118114756
2019,CH4,Energy,7.7587940516107565
2019,CH4,Transportation,562.9135611947764
2019,CH4,Waste,60612.60815629103
2019,CO2,Building,7522693.858817193
2019,CO2,Energy,376112.78408010514
2019,CO2,Transportation,6359963.447329032
2019,CO2,Waste,118437.61525305054
2019,CO2e,Building,7593544.013059241
2019,CO2e,Energy,1502400.9777307773
2019,CO2e,Transportation,6493095.303295936
2019,CO2e,Waste,1357482.1251525567
2019,N2O,Building,160.30723185903562
2019,N2O,Energy,7.339399778550716
2019,N2O,Transportation,223.73633362308556
2019,N2O,Waste,153.5771030251158
2020,CH4,Building,1155.1884934543925
2020,CH4,Energy,7.794468054420577
2020,CH4,Transportation,520.1548892171515
2020,CH4,Waste,58537.326005842115
2020,CO2,Building,7565570.648649127
2020,CO2,Energy,377842.10547039204
2020,CO2,Transportation,6168188.657506325
2020,CO2,Waste,119398.65635360648
2020,CO2e,Building,7638068.419036137
2020,CO2e,Energy,1498333.851793588
2020,CO2e,Transportation,6288165.17461298
2020,CO2e,Waste,1314956.0613124657
2020,N2O,Building,161.87520813576378
2020,N2O,Energy,7.3731454568843295
2020,N2O,Transportation,228.47661732391788
2020,N2O,Waste,156.02478991649537
2021,CH4,Building,1198.961962947419
2021,CH4,Energy,7.8315751565070775
2021,CH4,Transportation,517.9309154995815
2021,CH4,Waste,56501.41347809556
2021,CO2,Building,7584623.655076228
2021,CO2,Energy,379640.89731641806
2021,CO2,Transportation,6384353.8900787085
2021,CO2,Waste,120374.56636418372
2021,CO2e,Building,7658339.723341588
2021,CO2e,Energy,1386949.0246253905
2021,CO2e,Transportation,6496363.6565320445
2021,CO2e,Waste,1271131.7869104457
2021,N2O,Building,162.87874846795827
2021,N2O,Energy,7.4082467696688585
2021,N2O,Transportation,201.90868851583141
2021,N2O,Waste,151.24973400555862
2022,CH4,Building,1242.0012154582846
2022,CH4,Energy,8.073164486546382
2022,CH4,Transportation,518.3543515027205
2022,CH4,Waste,54582.32457577872
2022,CO2,Building,7577993.728591263
2022,CO2,Energy,391352.1033261211
2022,CO2,Transportation,6403331.7152886735
2022,CO2,Waste,121046.38143397246
2022,CO2e,Building,7652642.054105187
2022,CO2e,Energy,1489616.3100022078
2022,CO2e,Transportation,6513253.401199181
2022,CO2e,Waste,1231341.4389545731
2022,N2O,Building,162.97416103789206
2022,N2O,Energy,7.636777217003337
2022,N2O,Transportation,194.99827326094945
2022,N2O,Waste,152.2305105440604
2023,CH4,Building,1116.686758434927
2023,CH4,Energy,3.073493087112913
2023,CH4,Transportation,531.3747525582372
2023,CH4,Waste,52053.61022887879
2023,CO2,Building,7010037.236160606
2023,CO2,Energy,148978.6747869916
2023,CO2,Transportation,6481749.928469592
2023,CO2,Waste,121167.02392500381
2023,CO2e,Building,7078647.445710252
2023,CO2e,Energy,1614478.8114293043
2023,CO2e,Transportation,6598567.35916844
2023,CO2e,Waste,1179000.496351284
2023,N2O,Building,151.5429114849025
2023,N2O,Energy,2.90735832564735
2023,N2O,Transportation,216.98281147922415
2023,N2O,Waste,146.99240961870186
2024,CH4,Building,1024.867010557278
2024,CH4,Energy,4.063276361247458
2024,CH4,Transportation,542.1390457232279
2024,CH4,Waste,36647.69646095608
2024,CO2,Building,6261878.291415708
2024,CO2,Energy,191584.39343865192
2024,CO2,Transportation,6578232.488908347
2024,CO2,Waste,129529.36256251455
2024,CO2e,Building,6325004.461323373
2024,CO2e,Energy,1430959.6485163406
2024,CO2e,Transportation,6706484.3700936595
2024,CO2e,Waste,862290.1959505061
2024,N2O,Building,139.6106130401052
2024,N2O,Energy,3.843639801180029
2024,N2O,Transportation,254.5949667411487
2024,N2O,Waste,107.0509420637658
2025,CH4,Building,995.6169346194457
2025,CH4,Energy,5.860871309816609
2025,CH4,Transportation,571.7441246037813
2025,CH4,Waste,16402.989886221392
2025,CO2,Building,5730564.202774561
2025,CO2,Energy,274821.97521225945
2025,CO2,Transportation,5537881.947581549
2025,CO2,Waste,130312.34571233192
2025,CO2e,Building,5792406.078046882
2025,CO2e,Energy,1706085.332317401
2025,CO2e,Transportation,5640535.498227138
2025,CO2e,Waste,460926.18038935296
2025,N2O,Building,137.36214646089078
2025,N2O,Energy,5.544067455231929
2025,N2O,Transportation,212.4411244777052
2025,N2O,Waste,107.381166330841
2030,CH4,Building,684.8894440517761
2030,CH4,Energy,5.759616128843887
2030,CH4,Transportation,1103.2569973608722
2030,CH4,Waste,13183.367739550606
2030,CO2,Building,3957587.9177445844
2030,CO2,Energy,166219.4042438849
2030,CO2,Transportation,2937584.7833864354
2030,CO2,Waste,114084.15403433144
2030,CO2e,Building,4007445.0686243186
2030,CO2e,Energy,1188813.0357315524
2030,CO2e,Transportation,3030989.2600133596
2030,CO2e,Waste,372540.8974434687
2030,N2O,Building,119.04185421023172
2030,N2O,Energy,5.4482855272847575
2030,N2O,Transportation,193.41884834277036
2030,N2O,Waste,109.8997709622917
2035,CH4,Building,387.3538276828403
2035,CH4,Energy,4.246834598290036
2035,CH4,Transportation,822.4851503210703
2035,CH4,Waste,10530.812628953223
2035,CO2,Building,2265697.1340073105
2035,CO2,Energy,5653.308251439189
2035,CO2,Transportation,771789.9460806096
2035,CO2,Waste,116915.53747650787
2035,CO2e,Building,2301076.1082607806
2035,CO2e,Energy,764923.545676781
2035,CO2e,Transportation,820712.6435357528
2035,CO2e,Waste,313144.76430332084
2035,N2O,Building,91.42464386625659
2035,N2O,Energy,4.017275971355438
2035,N2O,Transportation,106.16861022738765
2035,N2O,Waste,112.43784797660608
2040,CH4,Building,13.065397351739788
2040,CH4,Energy,13.860207312489603
2040,CH4,Transportation,78.72984774125374
2040,CH4,Waste,8509.817394652317
2040,CO2,Building,631159.5126281595
2040,CO2,Transportation,18047.955148020745
2040,CO2,Waste,119542.42296139515
2040,CO2e,Building,635069.4347250849
2040,CO2e,Energy,1235743.1625863663
2040,CO2e,Transportation,55893.45439962193
2040,CO2e,Waste,273171.0955636546
2040,N2O,Building,12.199828028654384
2040,N2O,Energy,13.111006917219907
