GHG emissions per subsector per period (metric ton)
t_periods,emissions_comm,sector,Emisions
2016,CH4,Commercial building,46.52928156226477
2016,CH4,District Energy,7.529174919438251
2016,CH4,Freight transportation,86.0159296323511
2016,CH4,Industrial building,16.313422066417235
2016,CH4,Long distance transportation,5.063404069888186
2016,CH4,Passenger transportation,463.1707571544661
2016,CH4,Public building,8.650251622070684
2016,CH4,Public transportation,3.703847229849348
2016,CH4,Residential building,230.77443852233182
2016,CH4,Solid waste,67255.34129323851
2016,CH4,Water waste,2.7748387139223154
2016,CO2,Commercial building,2403883.3984038564
2016,CO2,District Energy,364981.8414996705
2016,CO2,Freight transportation,1645590.1794986555
2016,CO2,Industrial building,822364.5261247671
2016,CO2,Long distance transportation,169674.7955504836
2016,CO2,Passenger transportation,4576418.48403759
2016,CO2,Public building,449619.6573408151
2016,CO2,Public transportation,83457.38078072187
2016,CO2,Residential building,3684839.0619341494
2016,CO2,Solid waste,211.5825643221774
2016,CO2,Water waste,115301.9611569822
2016,CO2e,Commercial building,2420997.78182312
2016,CO2e,District Energy,367262.367535404
2016,CO2e,Freight transportation,1729318.1248490007
2016,CO2e,Industrial building,827287.028142502
2016,CO2e,Long distance transportation,178172.78585151955
2016,CO2e,Passenger transportation,4616521.039506322
2016,CO2e,Public building,452256.76825929584
2016,CO2e,Public transportation,84611.17283704205
2016,CO2e,Residential building,3710271.769031929
2016,CO2e,Solid waste,1426257.2106733238
2016,CO2e,Trade energy,1092359.3649977192
2016,CO2e,Water waste,68041.81537190064
2016,N2O,Commercial building,54.151907739786346
2016,N2O,District Energy,7.122192491360509
2016,N2O,Freight transportation,91.66058064416798
2016,N2O,Industrial building,15.368859578321423
2016,N2O,Long distance transportation,28.159928911303062
2016,N2O,Passenger transportation,101.9327837868781
2016,N2O,Public building,8.239784008111405
2016,N2O,Public transportation,3.6107760553466646
2016,N2O,Residential building,69.08202647251476
2016,N2O,Solid waste,45.91765419796068
2016,N2O,Water waste,101.84405087382788
2017,CH4,Commercial building,46.987861573595666
2017,CH4,District Energy,6.890285513279638
2017,CH4,Freight transportation,85.33244708276645
2017,CH4,Industrial building,16.332350841076696
2017,CH4,Long distance transportation,5.284586229196453
2017,CH4,Passenger transportation,464.4653767054111
2017,CH4,Public building,8.741670817257186
2017,CH4,Public transportation,3.8218482643959706
2017,CH4,Residential building,254.66287807649746
2017,CH4,Solid waste,64934.62810700612
2017,CH4,Water waste,2.7930432386474413
2017,CO2,Commercial building,2422378.5305230124
2017,CO2,District Energy,334011.24585429346
2017,CO2,Freight transportation,1592225.701799383
2017,CO2,Industrial building,823318.7313638523
2017,CO2,Long distance transportation,169982.20331422635
2017,CO2,Passenger transportation,4466375.80515326
2017,CO2,Public building,453247.1748790196
2017,CO2,Public transportation,83048.31472375474
2017,CO2,Residential building,3685029.0266167508
2017,CO2,Solid waste,231.12568859705118
2017,CO2,Water waste,116173.8187597834
2017,CO2e,Commercial building,2439492.242305666
2017,CO2e,District Energy,336098.257469086
2017,CO2e,Freight transportation,1673841.9770697348
2017,CO2e,Industrial building,828246.9450545318
2017,CO2e,Long distance transportation,178680.82696172665
2017,CO2e,Passenger transportation,4506710.85965547
2017,CO2e,Public building,455913.15235069423
2017,CO2e,Public transportation,84239.1095376301
2017,CO2e,Residential building,3711105.2530923155
2017,CO2e,Solid waste,1379057.0381766965
2017,CO2e,Trade energy,1102635.1372116618
2017,CO2e,Water waste,68482.5358602665
2017,N2O,Commercial building,54.11733788458757
2017,N2O,District Energy,6.517837647696956
2017,N2O,Freight transportation,84.5055827218728
2017,N2O,Industrial building,15.386692359115436
2017,N2O,Long distance transportation,28.81760851237276
2017,N2O,Passenger transportation,102.62175030668907
2017,N2O,Public building,8.330209344000176
2017,N2O,Public transportation,3.726630873567245
2017,N2O,Residential building,69.55807394617084
2017,N2O,Solid waste,51.00242362741782
2017,N2O,Water waste,102.53668233706037
2018,CH4,Commercial building,46.03487272169495
2018,CH4,District Energy,7.72210384486046
2018,CH4,Freight transportation,85.73014513245327
2018,CH4,Industrial building,16.351279615747277
2018,CH4,Long distance transportation,5.488338327859301
2018,CH4,Passenger transportation,465.620187877626
2018,CH4,Public building,8.815633382715726
2018,CH4,Public transportation,3.943484264042443
2018,CH4,Residential building,969.5338908584714
2018,CH4,Solid waste,62704.987298892425
2018,CH4,Water waste,2.8107146194021597
2018,CO2,Commercial building,2372473.408445931
2018,CO2,District Energy,374334.20151716366
2018,CO2,Freight transportation,1599784.5378788966
2018,CO2,Industrial building,824272.9366034907
2018,CO2,Long distance transportation,170442.69363427293
2018,CO2,Passenger transportation,4470299.945606172
2018,CO2,Public building,453532.0482437186
2018,CO2,Public transportation,85526.79221562261
2018,CO2,Residential building,3793226.3540164125
2018,CO2,Solid waste,339.4746504222032
2018,CO2,Water waste,117039.36787829448
2018,CO2e,Commercial building,2389531.9145928556
2018,CO2e,District Energy,376673.164160119
2018,CO2e,Freight transportation,1681508.2715050678
2018,CO2e,Industrial building,829206.8619671178
2018,CO2e,Long distance transportation,179330.87934392362
2018,CO2e,Passenger transportation,4510956.087419407
2018,CO2e,Public building,456222.3784692949
2018,CO2e,Public transportation,86756.55005686542
2018,CO2e,Residential building,3837638.8138626814
2018,CO2e,Solid waste,1332958.4184940092
2018,CO2e,Trade energy,1117958.506214894
2018,CO2e,Water waste,68923.8193355648
2018,N2O,Commercial building,53.99924100592169
2018,N2O,District Energy,7.3046928262193545
2018,N2O,Freight transportation,84.84584664988675
2018,N2O,Industrial building,15.404525139920572
2018,N2O,Long distance transportation,29.439364445522163
2018,N2O,Passenger transportation,103.61784519395927
2018,N2O,Public building,8.406717867582486
2018,N2O,Public transportation,3.848807623147795
2018,N2O,Residential building,80.71224207463497
2018,N2O,Solid waste,53.067820694111894
2018,N2O,Water waste,103.2180360929147
2019,CH4,Commercial building,46.33122604734346
2019,CH4,District Energy,7.7587940516107565
2019,CH4,Freight transportation,86.18060223938258
2019,CH4,Industrial building,16.370208384129068
2019,CH4,Long distance transportation,5.696754427792794
2019,CH4,Passenger transportation,466.9495326719966
2019,CH4,Public building,8.886144890284257
2019,CH4,Public transportation,4.086671855604785
2019,CH4,Residential building,1027.3933324897187
2019,CH4,Solid waste,60609.77850944711
2019,CH4,Water waste,2.8296468439200004
2019,CO2,Commercial building,2386439.6597371874
2019,CO2,District Energy,376112.78408010514
2019,CO2,Freight transportation,1607405.3713810754
2019,CO2,Industrial building,825227.1415261069
2019,CO2,Long distance transportation,171742.39608768263
2019,CO2,Passenger transportation,4492389.327404191
2019,CO2,Public building,456062.2720002596
2019,CO2,Public transportation,88426.35245608771
2019,CO2,Residential building,3854964.7855536435
2019,CO2,Solid waste,495.21137514005625
2019,CO2,Water waste,117942.40387791049
2019,CO2e,Commercial building,2403668.6406064862
2019,CO2e,District Energy,378462.85988919693
2019,CO2e,Freight transportation,1689276.189938519
2019,CO2e,Industrial building,830166.778560784
2019,CO2e,Long distance transportation,180826.6024418897
2019,CO2e,Passenger transportation,4533293.358572248
2019,CO2e,Public building,458774.1450443703
2019,CO2e,Public transportation,89699.15234327412
2019,CO2e,Residential building,3900934.448847595
2019,CO2e,Solid waste,1288096.4093451954
2019,CO2e,Trade energy,1123938.1178415806
2019,CO2e,Water waste,69385.71580736125
2019,N2O,Commercial building,54.55041987349888
2019,N2O,District Energy,7.339399778550716
2019,N2O,Freight transportation,85.31470519562588
2019,N2O,Industrial building,15.422357914801266
2019,N2O,Long distance transportation,30.08246480276311
2019,N2O,Passenger transportation,104.35601000651283
2019,N2O,Public building,8.474040273203261
2019,N2O,Public transportation,3.9831536181837484
2019,N2O,Residential building,81.86041379753223
2019,N2O,Solid waste,49.65050091162992
2019,N2O,Water waste,103.92660211348588
2020,CH4,Commercial building,46.83595501939723
2020,CH4,District Energy,7.794468054420577
2020,CH4,Freight transportation,86.05425507667447
2020,CH4,Industrial building,16.38913715880179
