Total GHG emissions per period (metric ton)
t_periods,emissions_comm,Emisions
2016,CH4,68125.8666387315
2016,CO2,14316342.868891994
2016,CO2e,16973357.228879113
2016,N2O,527.0905447595786
2017,CH4,65829.94045534827
2017,CO2,14146021.678675914
2017,CO2e,16764503.334745485
2017,N2O,527.1208295605518
2018,CH4,64317.037949537334
2018,CO2,14261271.760690423
2018,CO2e,16867665.665421788
2018,N2O,543.8651396138216
2019,CH4,62282.26142334887
2019,CO2,14377207.705479395
2019,CO2e,16946522.419238504
2019,N2O,544.9600682857886
2020,CH4,60220.463856568065
2020,CO2,14231000.067979446
2020,CO2e,16739523.506755218
2020,N2O,553.7497608330611
2021,CH4,58226.13793169899
2021,CO2,14468993.008835517
2021,CO2e,16812784.191409446
2021,N2O,523.4454177590183
2022,CH4,56350.753307226274
2022,CO2,14493723.928640049
2022,CO2e,16886853.204261146
2022,N2O,517.8397220599059
2023,CH4,53704.745232959125
2023,CO2,13761932.863342108
2023,CO2e,16470694.112659266
2023,N2O,518.4254909084767
2024,CH4,38218.76579359783
2024,CO2,13161224.536325254
2024,CO2e,15324738.675883846
2024,N2O,505.1001616462007
2025,CH4,17976.211816754465
2025,CO2,11673580.471280681
2025,CO2e,13599953.088980803
2025,N2O,462.728504724669
2030,CH4,14977.273797092032
2030,CO2,7175476.259409243
2030,CO2e,8599788.261812674
2030,N2O,427.8087590425805
2035,CH4,11744.898441555397
2035,CO2,3160055.9258158715
2035,CO2e,4199857.061776639
2035,N2O,314.04837804160644
2040,CH4,8615.472847057794
2040,CO2,768749.8907375755
2040,CO2e,2199877.147274724
2040,N2O,261.68506336395143
2045,CH4,6666.740923523996
2045,CO2,693643.5708784608
2045,CO2e,1999887.0394747576
2045,N2O,271.3068670742404
2050,CH4,5397.505747497437
2050,CO2,491459.85418856307
2050,CO2e,1799978.7910129963
2050,N2O,287.6871502141607
