"Transportation sector GHG emissions per subsector, per end use (metric ton)"
t_periods,emissions_comm,Sub,Mode,Tech_type_1,Tech_type_2,Name,Emisions
2016,CH4,Freight Transportation,Air,___,___,,0.0434995520446609
2016,CH4,Freight Transportation,Marine,___,___,,1.0184626940017876
2016,CH4,Freight Transportation,Rail,___,___,,2.4352685544217763
2016,CH4,Freight Transportation,Road,Truck,Heavy Trucks,,6.2244108141322325
2016,CH4,Freight Transportation,Road,Truck,Passenger Light Trucks,,67.7451105222638
2016,CH4,Freight Transportation,Road,Truck,Medium Trucks,,8.549177495486802
2016,CH4,Long Distance,Air,___,___,,1.2820631389481567
2016,CH4,Long Distance,Rail,___,___,,3.7813409309400297
2016,CH4,Passenger,Rail,Regional,___,GO rail,5.998902170413385
2016,CH4,Passenger,Rail,Regional,___,Up Express,0.25763668267221196
2016,CH4,Passenger,Rail,Subway,___,Subway,149.8985212109833
2016,CH4,Passenger,Rail,Tramway,___,Streetcar,22.738246185174752
2016,CH4,Passenger,Road,Inter-city Buses,Inter Urban Bus,Durham RT,0.008856777887558873
2016,CH4,Passenger,Road,Inter-city Buses,Inter Urban Bus,Go Bus,0.11220224550506032
2016,CH4,Passenger,Road,Inter-city Buses,Inter Urban Bus,Miway Bus,0.09938987391123442
2016,CH4,Passenger,Road,Inter-city Buses,Inter Urban Bus,Viva Bus,0.013890259376584772
2016,CH4,Passenger,Road,Inter-city Buses,School Bus,___,0.9846262907808934
2016,CH4,Passenger,Road,Inter-city Buses,Urban Bus ,TTC Bus,9.66204234724161
2016,CH4,Passenger,Road,Inter-city Buses,Urban Bus ,TTC Wheel trans para,0.9230134699080046
2016,CH4,Passenger,Road,Cars,___,Auto driver,113.38882396588015
2016,CH4,Passenger,Road,Cars,___,Auto passenger,14.36217364660119
2016,CH4,Passenger,Road,Cars,___,Paid Ridershare,0.9018239072303685
2016,CH4,Passenger,Road,Cars,___,Taxi passenger,1.5319883210184546
2016,CH4,Passenger,Road,Motorcycles,___,___,1.764137241432972
2016,CH4,Passenger,Road,Truck,Passenger Light Trucks,Auto driver,123.38217092946705
2016,CH4,Passenger,Road,Truck,Passenger Light Trucks,Auto passenger,15.633441966549722
2016,CH4,Passenger,Road,Truck,Passenger Light Trucks,Paid Ridershare,0.974559278387551
2016,CH4,Passenger,Road,Truck,Passenger Light Trucks,Taxi passenger,0.5343103840441018
2016,CH4,Public,Marine,___,___,Fleet Services,0.0003822840680388741
2016,CH4,Public,Marine,___,___,Police Services,2.0951038333542486e-05
2016,CH4,Public,Road,Inter-city Buses,Urban Bus ,Police Services,0.0016944790354671312
2016,CH4,Public,Road,Cars,___,Fleet Services,0.02838847398799552
2016,CH4,Public,Road,Cars,___,Police Services,0.7293911662800586
2016,CH4,Public,Road,Cars,___,Toronto Housing Company,0.14206480472878139
2016,CH4,Public,Road,Motorcycles,___,Police Services,0.011137835165980613
2016,CH4,Public,Road,Truck,Heavy Trucks,Fleet Services,0.559835820887167
2016,CH4,Public,Road,Truck,Passenger Light Trucks,Fleet Services,1.3570707319484494
2016,CH4,Public,Road,Truck,Passenger Light Trucks,Police Services,0.4644610979438293
2016,CH4,Public,Road,Truck,Passenger Light Trucks,Toronto Housing Company,0.09522452784283461
2016,CH4,Public,Road,Truck,Medium Trucks,Fleet Services,0.23724802798742073
2016,CH4,Public,Road,Truck,Medium Trucks,Police Services,0.022166577698379108
2016,CH4,Public,Road,Truck,Medium Trucks,Toronto Housing Company,0.054760451236613
2016,CO2,Freight Transportation,Air,___,___,,2041.1002755187505
2016,CO2,Freight Transportation,Marine,___,___,,11082.423601398415
2016,CO2,Freight Transportation,Rail,___,___,,43526.36662936521
2016,CO2,Freight Transportation,Road,Truck,Heavy Trucks,,245406.54989247816
2016,CO2,Freight Transportation,Road,Truck,Passenger Light Trucks,,1027266.7189038765
2016,CO2,Freight Transportation,Road,Truck,Medium Trucks,,316267.0201960192
2016,CO2,Long Distance,Air,___,___,,102086.50458349244
2016,CO2,Long Distance,Rail,___,___,,67588.29096699116
2016,CO2,Passenger,Rail,Regional,___,GO rail,107229.08906827646
2016,CO2,Passenger,Rail,Regional,___,Up Express,4604.8263091644
2016,CO2,Passenger,Rail,Subway,___,Subway,31757.458728739297
2016,CO2,Passenger,Rail,Tramway,___,Streetcar,4927.750247041054
