"Energy consumed for building sector, and per end use (TJ)"
t_periods,Fuel,Sub,EndUse,VFlow_In
2016,Biomass,Industry,Industrial Processes,85.19671421041949
2016,Biomass,Residential,Space Heating,202.35299982187001
2016,Biomass,Residential,Water Heating,9.616363284929927
2016,Bio Methane,Commercial,Auxiliary Equipment,3.5387521304402325
2016,Bio Methane,Commercial,Space Cooling,0.7033999199352663
2016,Bio Methane,Commercial,Space Heating,377.27323501690785
2016,Bio Methane,Commercial,Water Heating,32.34583001071511
2016,Bio Methane,Public,Auxiliary Equipment,0.06263411933639959
2016,Bio Methane,Public,Space Cooling,8.780165237976343
2016,Bio Methane,Public,Space Heating,0.04086933590198586
2016,Bio Methane,Public,Water Heating,47.62842163106899
2016,Bio Methane,Residential,Space Heating,252.37456172165616
2016,Bio Methane,Residential,Water Heating,35.655162571810294
2016,Wood Pellet,Residential,Space Heating,0.24160534293612249
2016,Wood Pellet,Residential,Water Heating,10.008193854634989
2016,Coal,Industry,Industrial Processes,98.08383188101904
2016,District Cooling,Commercial,Space Cooling,1253.6337330400288
2016,District Cooling,Public,Space Cooling,244.80239824875278
2016,District Cooling,Residential,Space Cooling,81.61875084968239
2016,District Heating,Commercial,Space Heating,3381.056896573517
2016,District Heating,Commercial,Water Heating,550.7352342777668
2016,District Heating,Public,Space Heating,1487.1754059524915
2016,District Heating,Public,Water Heating,336.25739693666446
2016,District Heating,Residential,Space Heating,78.42512987500702
2016,District Heating,Residential,Water Heating,952.5303214013668
2016,Electricity,Commercial,Auxiliary Equipment,17205.13755970362
2016,Electricity,Commercial,Auxiliary Motors,2266.9670395761486
2016,Electricity,Commercial,Lighting,30018.108038285285
2016,Electricity,Commercial,Space Cooling,2643.2427414262884
2016,Electricity,Commercial,Space Heating,1127.3644321983606
2016,Electricity,Commercial,Street Lighting,493.3580386008003
2016,Electricity,Commercial,Water Heating,218.45846586590807
2016,Electricity,Industry,Industrial Processes,2665.486031477149
2016,Electricity,Industry,Lighting,649.5279282791195
2016,Electricity,Industry,Space Cooling,366.5953035774978
2016,Electricity,Industry,Space Heating,755.5520109045519
2016,Electricity,Industry,Water Heating,1007.6027223226415
2016,Electricity,Public,Auxiliary Equipment,2015.4389415843314
2016,Electricity,Public,Auxiliary Motors,534.880921611714
2016,Electricity,Public,Lighting,1968.358220020741
2016,Electricity,Public,Space Cooling,1177.2548782552656
2016,Electricity,Public,Space Heating,789.3326058004039
2016,Electricity,Public,Water Heating,0.6045689736343868
2016,Electricity,Residential,Other Appliances,5863.0768456850265
2016,Electricity,Residential,Clothe Dryer,2011.5773753529838
2016,Electricity,Residential,Clothe Washer,118.75190666425004
2016,Electricity,Residential,Dish Washer,144.18439518469552
2016,Electricity,Residential,Freezer,552.910333835723
2016,Electricity,Residential,Lighting,2461.76265055279
2016,Electricity,Residential,Range,2047.5846154397484
2016,Electricity,Residential,Refrigerator,1738.2944042559113
2016,Electricity,Residential,Space Cooling,3067.670327145062
2016,Electricity,Residential,Space Heating,4073.000323564175
2016,Electricity,Residential,Water Heating,799.3347258780051
2016,Heavy Fuel Oil,Commercial,Space Heating,1.5424464605316264
2016,Heavy Fuel Oil,Commercial,Water Heating,3.1294356066107296
2016,Heavy Fuel Oil,Industry,Industrial Processes,42.574835427181604
2016,Heavy Fuel Oil,Industry,Space Heating,25.354177189686013
2016,Heavy Fuel Oil,Industry,Water Heating,60.66277390918723
2016,Heavy Fuel Oil,Public,Water Heating,0.5851047936022722
2016,Hydrogen,Residential,Space Heating,0.6544583980785478
2016,Hydrogen,Residential,Water Heating,0.30261248051020306
2016,Kerosene,Commercial,Space Heating,1.5423484178241043
2016,Kerosene,Commercial,Water Heating,3.129525692458648
2016,Kerosene,Public,Water Heating,0.585109061921495
2016,Kerosene,Residential,Space Heating,0.1982436043260513
2016,Kerosene,Residential,Water Heating,6.001461508664123
2016,Light Fuel Oil,Commercial,Space Heating,192.01804309087
2016,Light Fuel Oil,Commercial,Water Heating,232.33040181749345
2016,Light Fuel Oil,Industry,Industrial Processes,478.6710344108867
2016,Light Fuel Oil,Industry,Space Heating,24.745053016279595
2016,Light Fuel Oil,Industry,Water Heating,44.26876764426008
2016,Light Fuel Oil,Public,Space Heating,343.42335209416814
2016,Light Fuel Oil,Public,Water Heating,1.0924999369458517
2016,Light Fuel Oil,Residential,Space Heating,932.816099082998
2016,Light Fuel Oil,Residential,Water Heating,96.25901958880823
2016,Mix Energy,Industry,Industrial Processes,15263.906314559314
2016,Natural Gas,Commercial,Auxiliary Equipment,2640.9300310093945
2016,Natural Gas,Commercial,Space Cooling,121.82675325538975
2016,Natural Gas,Commercial,Space Heating,36721.5362402772
2016,Natural Gas,Commercial,Water Heating,5876.3541377370475
2016,Natural Gas,Industry,Industrial Processes,11656.942205870319
2016,Natural Gas,Industry,Space Cooling,30.20695913088151
