Electricity for EV charging (TJ)
t_periods,Sub,Sector,Tech_cat,Tech_type_1,Tech_type_2,Output_units,VFlow_In
2023,Freight,Transport,Charging Station,Commercial,240V,TJ,0.027129896331372697
2023,Freight,Transport,Charging Station,Freight,Fast,TJ,0.09872910203214899
2023,Freight,Transport,Charging Station,Freight,Slow,TJ,0.1429042670024064
2023,Passenger,Transport,Charging Station,Commercial,240V,TJ,0.23136719471466846
2023,Passenger,Transport,Charging Station,Public,240V,TJ,0.1501368029557168
2023,Passenger,Transport,Charging Station,Residential,120V,TJ,0.05677653459467846
2023,Passenger,Transport,Charging Station,Residential,240V,TJ,0.4363353022146338
2023,Public,Transport,Charging Station,Commercial,240V,TJ,0.10981231329549532
2023,Public,Transport,Charging Station,Freight,Fast,TJ,0.09791592801528741
2023,Public,Transport,Charging Station,Freight,Slow,TJ,0.17242988829746647
2023,Public,Transport,Charging Station,Public,240V,TJ,0.22491217452624104
2023,Public,Transport,Charging Station,Residential,120V,TJ,0.048720336807001934
2023,Public,Transport,Charging Station,Residential,240V,TJ,0.10981231329549536
2024,Freight,Transport,Charging Station,Commercial,240V,TJ,0.05393679593229365
2024,Freight,Transport,Charging Station,Freight,Fast,TJ,0.1768347711819331
2024,Freight,Transport,Charging Station,Freight,Slow,TJ,0.2607199335200631
2024,Passenger,Transport,Charging Station,Commercial,240V,TJ,9.749766631904842
2024,Passenger,Transport,Charging Station,Public,240V,TJ,1.3718373059101923
2024,Passenger,Transport,Charging Station,Residential,120V,TJ,0.11455463777506081
2024,Passenger,Transport,Charging Station,Residential,240V,TJ,17.94138115625233
2024,Public,Transport,Charging Station,Commercial,240V,TJ,0.19353703361726204
2024,Public,Transport,Charging Station,Freight,Fast,TJ,0.17348850273670988
2024,Public,Transport,Charging Station,Freight,Slow,TJ,0.3130848350517802
2024,Public,Transport,Charging Station,Public,240V,TJ,0.46821685600451496
2024,Public,Transport,Charging Station,Residential,120V,TJ,0.08802075380015201
2024,Public,Transport,Charging Station,Residential,240V,TJ,0.19353703361726216
2025,Freight,Transport,Charging Station,Commercial,240V,TJ,0.08402371845101955
2025,Freight,Transport,Charging Station,Freight,Fast,TJ,0.24354940316595686
2025,Freight,Transport,Charging Station,Freight,Slow,TJ,0.36739969734265565
2025,Passenger,Transport,Charging Station,Commercial,240V,TJ,153.43949977040523
2025,Passenger,Transport,Charging Station,Public,240V,TJ,2.2968033335429774
2025,Passenger,Transport,Charging Station,Residential,120V,TJ,0.1733049407776555
2025,Passenger,Transport,Charging Station,Residential,240V,TJ,157.27353266373683
2025,Public,Transport,Charging Station,Commercial,240V,TJ,0.3054391014524702
2025,Public,Transport,Charging Station,Freight,Fast,TJ,0.25564954009726487
2025,Public,Transport,Charging Station,Freight,Slow,TJ,0.4887530001313328
2025,Public,Transport,Charging Station,Public,240V,TJ,0.8322618750670807
2025,Public,Transport,Charging Station,Residential,120V,TJ,0.12894576404200275
2025,Public,Transport,Charging Station,Residential,240V,TJ,0.3054391014524702
2030,Freight,Transport,Charging Station,Commercial,240V,TJ,796.9973301090819
2030,Freight,Transport,Charging Station,Freight,Fast,TJ,0.541091166342901
2030,Freight,Transport,Charging Station,Freight,Slow,TJ,395.47565407417335
2030,Passenger,Transport,Charging Station,Commercial,240V,TJ,957.8579218913175
2030,Passenger,Transport,Charging Station,Public,240V,TJ,8.755455992096357
2030,Passenger,Transport,Charging Station,Residential,120V,TJ,0.2852634668774298
2030,Passenger,Transport,Charging Station,Residential,240V,TJ,648.611209838657
2030,Public,Transport,Charging Station,Commercial,240V,TJ,0.6029395407432465
2030,Public,Transport,Charging Station,Freight,Fast,TJ,0.3745487557432074
2030,Public,Transport,Charging Station,Freight,Slow,TJ,0.8574136500329208
2030,Public,Transport,Charging Station,Public,240V,TJ,3.0046442905825463
2030,Public,Transport,Charging Station,Residential,120V,TJ,0.2023005333735902
2030,Public,Transport,Charging Station,Residential,240V,TJ,0.6029395407432465
2035,Freight,Transport,Charging Station,Commercial,120V,TJ,1330.5642087930546
2035,Freight,Transport,Charging Station,Commercial,240V,TJ,951.0340126080074
2035,Freight,Transport,Charging Station,Freight,Fast,TJ,0.7403941599646264
2035,Freight,Transport,Charging Station,Freight,Slow,TJ,1015.4239247912822
2035,Passenger,Transport,Charging Station,Commercial,120V,TJ,4013.0138158867207
2035,Passenger,Transport,Charging Station,Commercial,240V,TJ,2395.4845112611997
2035,Passenger,Transport,Charging Station,Public,240V,TJ,14.461261723508231
2035,Passenger,Transport,Charging Station,Residential,120V,TJ,0.37400505699363557
2035,Passenger,Transport,Charging Station,Residential,240V,TJ,1387.0487576480336
2035,Public,Transport,Charging Station,Commercial,120V,TJ,0.6740387420630248
2035,Public,Transport,Charging Station,Commercial,240V,TJ,0.7362828938651665
2035,Public,Transport,Charging Station,Freight,Fast,TJ,0.45797298766605443
2035,Public,Transport,Charging Station,Freight,Slow,TJ,1.4803845419792498
2035,Public,Transport,Charging Station,Public,240V,TJ,13.509015944977758
2035,Public,Transport,Charging Station,Residential,120V,TJ,0.23989744706146318
2035,Public,Transport,Charging Station,Residential,240V,TJ,0.7362828938651667
2040,Freight,Transport,Charging Station,Commercial,120V,TJ,2119.902989003969
2040,Freight,Transport,Charging Station,Commercial,240V,TJ,901.0988654056401
2040,Freight,Transport,Charging Station,Freight,Fast,TJ,0.9209946149913912
2040,Freight,Transport,Charging Station,Freight,Slow,TJ,2080.471369289351
2040,Passenger,Transport,Charging Station,Commercial,120V,TJ,6941.599874823428
2040,Passenger,Transport,Charging Station,Commercial,240V,TJ,3307.2363908982143
2040,Passenger,Transport,Charging Station,Public,240V,TJ,28.23292556849103
2040,Passenger,Transport,Charging Station,Residential,120V,TJ,0.42566561702290023
2040,Passenger,Transport,Charging Station,Residential,240V,TJ,1868.3902118426179
2040,Public,Transport,Charging Station,Commercial,120V,TJ,0.9463375291262897
