"District heating and cooling  generation, per technology type, and per period.(TJ)"
t_periods,Sub,EndUse,Tech_cat,Tech_type_1,Tech_type_2,Output_units,VFlow_Out
2016,Commercial,District Cooling,Toronto Average,Substation,___,TJ,1253.6337330398858
2016,Commercial,District Heating,Toronto Average,Substation,___,TJ,3931.7921308712216
2016,Public,District Cooling,Toronto Average,Substation,___,TJ,244.8023982487548
2016,Public,District Heating,Toronto Average,Substation,___,TJ,1823.4328028891916
2016,Residential,District Cooling,Toronto Average,Substation,___,TJ,81.61875084999028
2016,Residential,District Heating,Toronto Average,Substation,___,TJ,1030.955451276362
2017,Commercial,District Cooling,Toronto Average,Substation,___,TJ,1256.9335686553177
2017,Commercial,District Heating,Toronto Average,Substation,___,TJ,3332.472384826688
2017,Public,District Cooling,Toronto Average,Substation,___,TJ,247.21377655648104
2017,Public,District Heating,Toronto Average,Substation,___,TJ,1800.3608410503857
2017,Residential,District Cooling,Toronto Average,Substation,___,TJ,49.87285299297515
2017,Residential,District Heating,Toronto Average,Substation,___,TJ,1044.0351676341088
2018,Commercial,District Cooling,Toronto Average,Substation,___,TJ,1259.823528101306
2018,Commercial,District Heating,Toronto Average,Substation,___,TJ,4114.59996344986
2018,Public,District Cooling,Toronto Average,Substation,___,TJ,253.68416655790853
2018,Public,District Heating,Toronto Average,Substation,___,TJ,1822.8860237822996
2018,Residential,District Cooling,Toronto Average,Substation,___,TJ,87.64565004414177
2018,Residential,District Heating,Toronto Average,Substation,___,TJ,1028.476048801028
2019,Commercial,District Cooling,Toronto Average,Substation,___,TJ,1262.2367493162476
2019,Commercial,District Heating,Toronto Average,Substation,___,TJ,4144.288550837021
2019,Public,District Cooling,Toronto Average,Substation,___,TJ,255.93976818754555
2019,Public,District Heating,Toronto Average,Substation,___,TJ,1827.712684338842
2019,Residential,District Cooling,Toronto Average,Substation,___,TJ,84.63465633770998
2019,Residential,District Heating,Toronto Average,Substation,___,TJ,1029.7141684298895
2020,Commercial,District Cooling,Toronto Average,Substation,___,TJ,1259.7049318289914
2020,Commercial,District Heating,Toronto Average,Substation,___,TJ,4173.933754865563
2020,Public,District Cooling,Toronto Average,Substation,___,TJ,275.9675124578001
2020,Public,District Heating,Toronto Average,Substation,___,TJ,1831.26462770301
2020,Residential,District Cooling,Toronto Average,Substation,___,TJ,88.6407275729361
2020,Residential,District Heating,Toronto Average,Substation,___,TJ,1028.0731622512906
2021,Commercial,District Cooling,Toronto Average,Substation,___,TJ,1261.736816230552
2021,Commercial,District Heating,Toronto Average,Substation,___,TJ,4203.815160356918
2021,Public,District Cooling,Toronto Average,Substation,___,TJ,280.0242482600121
