"Building capacity per subsector, per end use, per input energy, and per period"
t_periods,Sub,EndUse,Tech_type_1,Tech_type_2,Energy_cat,Efficiency,Capacity_units,Capacities
2016,Commercial,Auxiliary Equipment,___,___,Electricity,Standard,kunits,682.5104923279055
2016,Commercial,Auxiliary Equipment,___,___,Natural Gas,Standard,kunits,68.1949574183799
2016,Commercial,Auxiliary Equipment,___,___,Propane,Standard,kunits,38.031011479061455
2016,Commercial,Auxiliary Motors,___,___,Electricity,Standard,kunits,70.8194441092699
2016,Commercial,Lighting,Fluocompact,___,Electricity,Standard,Mlm,1958.3259810328404
2016,Commercial,Lighting,Fluorescent,___,Electricity,Standard,Mlm,14324.900387535903
2016,Commercial,Lighting,Halogen,___,Electricity,Standard,Mlm,4203.620246353939
2016,Commercial,Lighting,Incandescent,___,Electricity,Standard,Mlm,13501.144902389427
2016,Commercial,Lighting,Light Emitting Diode,___,Electricity,High,Mlm,62.9344182549669
2016,Commercial,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm,63.20580810569192
2016,Commercial,Space Cooling,___,___,District Cooling,___,MW,107.52846633282175
2016,Commercial,Space Cooling,___,___,Electricity,Standard,MW,799.3944971464839
2016,Commercial,Space Cooling,___,___,Natural Gas,Standard,MW,37.07711347160773
2016,Commercial,Space Heating,Furnace,___,Electricity,Standard,MW,0.16748476630787956
2016,Commercial,Space Heating,Furnace,___,Heavy Fuel Oil,Standard,MW,0.17290566597470863
2016,Commercial,Space Heating,Furnace,___,Kerosene,Standard,MW,0.17289714830028685
2016,Commercial,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,16.204992890552386
2016,Commercial,Space Heating,Furnace,___,Natural Gas,High,MW,0.35163284212186646
2016,Commercial,Space Heating,Furnace,___,Natural Gas,Standard,MW,3125.314011744235
2016,Commercial,Space Heating,Furnace,___,Propane,Standard,MW,81.92481294697545
2016,Commercial,Space Heating,Heat Pump,___,Electricity,Standard,MW,160.5259195065876
2016,Commercial,Space Heating,Plinthe,___,Electricity,Standard,MW,168.90058901831193
2016,Commercial,Space Heating,___,___,District Heating,___,MW,360.5133727732174
2016,Commercial,Street Lighting,Light Emitting Diode,___,Electricity,Standard,kunits,4248.422016622082
2016,Commercial,Water Heating,___,___,District Heating,___,MW,27.616705532152064
2016,Commercial,Water Heating,___,___,Electricity,Standard,MW,13.296390901655464
