"District thermal energy Capacity per technology type, and per period"
t_periods,Tech_cat,EndUse,Tech_type_1,Tech_type_2,Capacity_units,Capacities
2016,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900292
2016,Toronto Average,District Cooling,Substation,___,MW,376.2322873900293
2016,Toronto Average,District Heating,Pipe,___,MW,850.8756684981686
2016,Toronto Average,District Heating,Substation,___,MW,850.8756684981686
2016,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2016,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2016,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2016,Production,District Heating,Boiler,Large,MW,628.4800077410634
2016,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2017,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900292
2017,Toronto Average,District Cooling,Substation,___,MW,376.2322873900292
2017,Toronto Average,District Heating,Pipe,___,MW,850.8756684981686
2017,Toronto Average,District Heating,Substation,___,MW,850.8756684981686
2017,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2017,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2017,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2017,Production,District Heating,Boiler,Large,MW,628.4800077410634
2017,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2018,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900292
2018,Toronto Average,District Cooling,Substation,___,MW,376.2322873900292
2018,Toronto Average,District Heating,Pipe,___,MW,850.8756684981686
2018,Toronto Average,District Heating,Substation,___,MW,850.8756684981685
2018,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2018,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2018,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2018,Production,District Heating,Boiler,Large,MW,628.4800077410634
2018,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2019,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900293
2019,Toronto Average,District Cooling,Substation,___,MW,376.2322873900293
2019,Toronto Average,District Heating,Pipe,___,MW,850.8756684981685
2019,Toronto Average,District Heating,Substation,___,MW,850.8756684981685
2019,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2019,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2019,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2019,Production,District Heating,Boiler,Large,MW,628.4800077410634
2019,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2020,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900292
2020,Toronto Average,District Cooling,Substation,___,MW,376.2322873900292
2020,Toronto Average,District Heating,Pipe,___,MW,850.8756684981686
2020,Toronto Average,District Heating,Substation,___,MW,850.8756684981685
2020,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2020,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2020,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2020,Production,District Heating,Boiler,Large,MW,628.4800077410634
2020,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2021,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900292
2021,Toronto Average,District Cooling,Substation,___,MW,376.2322873900292
2021,Toronto Average,District Heating,Pipe,___,MW,850.8756684981686
2021,Toronto Average,District Heating,Substation,___,MW,850.8756684981685
2021,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2021,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2021,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2021,Production,District Heating,Boiler,Large,MW,628.4800077410634
2021,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2022,Toronto Average,District Cooling,Pipe,___,MW,376.2322873900292
2022,Toronto Average,District Cooling,Substation,___,MW,376.2322873900292
2022,Toronto Average,District Heating,Pipe,___,MW,850.8756684981686
2022,Toronto Average,District Heating,Substation,___,MW,850.8756684981685
2022,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.14076246334312
2022,Production,District Cooling,Heat Pump,Large,MW,51.11788856304984
2022,Production,District Cooling,Heat Pump,Medium,MW,63.34310850439882
2022,Production,District Heating,Boiler,Large,MW,628.4800077410634
2022,Storage,District Cooling,Hot Tank Storage,Medium,MW,42.22873900293257
2023,Toronto Average,District Cooling,Pipe,___,MW,379.0073185158938
2023,Toronto Average,District Cooling,Substation,___,MW,379.34094443897095
2023,Toronto Average,District Heating,Pipe,___,MW,856.0130442848179
2023,Toronto Average,District Heating,Substation,___,MW,855.9111446927084
2023,Consumption,District Cooling,Heat Pump,Large,MW,1.5424311266302015
2023,Consumption,District Cooling,Heat Pump,Medium,MW,1.5383851456827409
2023,Consumption,District Cooling,Heat Pump,Small,MW,0.12779974699563798
2023,Consumption,District Heating,Heat Pump,Large,MW,0.2583761117827652
2023,Consumption,District Heating,Heat Pump,Medium,MW,0.2275426230385688
2023,Consumption,District Heating,Heat Pump,Small,MW,5.535794781983171
2023,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.33895000315246
2023,Production,District Cooling,Heat Pump,Enwave,MW,2.879914342681073
2023,Production,District Cooling,Heat Pump,Large,MW,56.885803543442904
2023,Production,District Cooling,Heat Pump,Medium,MW,69.09371964397263
2023,Production,District Cooling,Heat Pump,Small,MW,3.0265051741791007
2023,Production,District Heating,Boiler,Large,MW,635.7297389180446
2023,Production,District Heating,Boiler,Medium,MW,7.188228740784723
2023,Production,District Heating,Boiler,Small,MW,5.956047055051004
2023,Production,District Heating,Gas Turbine,Large,MW,11.071605417599999
2023,Production,District Heating,Gas Turbine,Medium,MW,11.071605417599999
2023,Production,District Heating,Gas Turbine,Small,MW,11.071605417599999
2023,Production,District Heating,Internal Combustion Engine,Large,MW,11.071605417599999
2023,Production,District Heating,Internal Combustion Engine,Medium,MW,11.071605417599999
2023,Production,District Heating,Internal Combustion Engine,Small,MW,11.071605417599999
2023,Production,Hydrogen,Alkaline Electrolyser,___,MW,1.385003415880112
2023,Production,Hydrogen,Autothermal Reforming Gas,Carbon Capture and Storage,MW,1.385002049556087
2023,Production,Hydrogen,Steam Methane Reforming,Carbon Capture and Storage,MW,1.3850016329613086
2023,Production,Hydrogen,Steam Methane Reforming,___,MW,1.385002258511678
2023,Storage,District Cooling,Hot Tank Storage,Large,MW,3.414421155186872
2023,Storage,District Cooling,Hot Tank Storage,Medium,MW,45.62717359654057
2023,Storage,District Cooling,Hot Tank Storage,Small,MW,3.3911017751535204
2023,Storage,District Heating,Hot Tank Storage,Large,MW,5.420114379013713
2023,Storage,District Heating,Hot Tank Storage,Medium,MW,4.770161254506385
2023,Storage,District Heating,Hot Tank Storage,Small,MW,4.1070271955346795
2023,Storage,District Heating,Pit Storage,Large,MW,0.6411430815437376
2023,Storage,District Heating,Pit Storage,Medium,MW,0.5454418744714025
2023,Storage,District Heating,Pit Storage,Small,MW,0.41210030631574224
2024,Toronto Average,District Cooling,Pipe,___,MW,379.5612526648794
2024,Toronto Average,District Cooling,Substation,___,MW,379.962048003108
2024,Toronto Average,District Heating,Pipe,___,MW,857.039178383613
2024,Toronto Average,District Heating,Substation,___,MW,856.9175731833543
2024,Consumption,District Cooling,Heat Pump,Large,MW,1.849691176004278
2024,Consumption,District Cooling,Heat Pump,Medium,MW,1.8456379511310124
2024,Consumption,District Cooling,Heat Pump,Small,MW,0.15303848962397656
2024,Consumption,District Heating,Heat Pump,Large,MW,0.3095916297918423
2024,Consumption,District Heating,Heat Pump,Medium,MW,0.2726505324659527
2024,Consumption,District Heating,Heat Pump,Small,MW,6.6429449239308695
2024,Production,District Cooling,Deep Lake Cooling,Enwave,MW,222.37802896663038
2024,Production,District Cooling,Heat Pump,Enwave,MW,3.4554918767517813
2024,Production,District Cooling,Heat Pump,Large,MW,58.038626907594335
2024,Production,District Cooling,Heat Pump,Medium,MW,70.24310245892539
2024,Production,District Cooling,Heat Pump,Small,MW,3.6309437858727236
2024,Production,District Heating,Boiler,Large,MW,636.9730967428111
2024,Production,District Heating,Boiler,Medium,MW,8.413196785437773
2024,Production,District Heating,Boiler,Small,MW,7.145621407951872
2024,Production,District Heating,Gas Turbine,Large,MW,13.28592650112
2024,Production,District Heating,Gas Turbine,Medium,MW,13.28592650112
2024,Production,District Heating,Gas Turbine,Small,MW,13.28592650112
2024,Production,District Heating,Internal Combustion Engine,Large,MW,13.28592650112
2024,Production,District Heating,Internal Combustion Engine,Medium,MW,13.28592650112
2024,Production,District Heating,Internal Combustion Engine,Small,MW,13.28592650112
2024,Production,Hydrogen,Alkaline Electrolyser,___,MW,1.6620035310930703
2024,Production,Hydrogen,Autothermal Reforming Gas,Carbon Capture and Storage,MW,1.6620006765765147
2024,Production,Hydrogen,Steam Methane Reforming,Carbon Capture and Storage,MW,1.661999692895323
2024,Production,Hydrogen,Steam Methane Reforming,___,MW,1.662001182690371
2024,Storage,District Cooling,Hot Tank Storage,Large,MW,4.096846976438915
2024,Storage,District Cooling,Hot Tank Storage,Medium,MW,46.30641467629544
2024,Storage,District Cooling,Hot Tank Storage,Small,MW,4.068881796631477
2024,Storage,District Heating,Hot Tank Storage,Large,MW,6.5024119801880005
2024,Storage,District Heating,Hot Tank Storage,Medium,MW,5.721814980108797
2024,Storage,District Heating,Hot Tank Storage,Small,MW,4.925936502493531
2024,Storage,District Heating,Pit Storage,Large,MW,0.7689030102253305
