"Discounted and undiscounted Energy Cost breakdown, per periods. (k CAD 2016)"
vintage,sector,Cost,Cost_type,Tech_cat,Tech_type_1,Tech_type_2,Costs
2015,Distric Thermal Energy,Discounted,FixedCosts,Toronto Average,Pipe,___,327527.3518511579
2015,Distric Thermal Energy,Discounted,FixedCosts,Toronto Average,Substation,___,22340.616816811067
2015,Distric Thermal Energy,Discounted,FixedCosts,Production,Boiler,Large,30592.698628073736
2015,Distric Thermal Energy,Discounted,FixedCosts,Production,Deep Lake Cooling,Enwave,21595.722043843216
2015,Distric Thermal Energy,Discounted,FixedCosts,Production,Heat Pump,Large,2530.410723108979
2015,Distric Thermal Energy,Discounted,FixedCosts,Production,Heat Pump,Medium,3767.5476435486325
2015,Distric Thermal Energy,Discounted,FixedCosts,Storage,Hot Tank Storage,Medium,284.8369505673895
2015,Distric Thermal Energy,Undiscounted,FixedCosts,Toronto Average,Pipe,___,480582.93823721644
2015,Distric Thermal Energy,Undiscounted,FixedCosts,Toronto Average,Substation,___,32746.97613555844
2015,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Boiler,Large,41912.263300238366
2015,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Deep Lake Cooling,Enwave,27811.594202898545
2015,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Heat Pump,Large,3481.4962599413475
2015,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Heat Pump,Medium,4875.856363636362
2015,Distric Thermal Energy,Undiscounted,FixedCosts,Storage,Hot Tank Storage,Medium,388.5043988269797
2023,Distric Thermal Energy,Discounted,FixedCosts,Toronto Average,Pipe,___,1679.1936112841124
2023,Distric Thermal Energy,Discounted,FixedCosts,Toronto Average,Substation,___,124.05936205537714
2023,Distric Thermal Energy,Discounted,FixedCosts,Consumption,Heat Pump,Large,74.52516518953564
2023,Distric Thermal Energy,Discounted,FixedCosts,Consumption,Heat Pump,Medium,73.08170239960094
2023,Distric Thermal Energy,Discounted,FixedCosts,Consumption,Heat Pump,Small,234.3839522827946
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Alkaline Electrolyser,___,366.1121404024914
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Autothermal Reforming Gas,Carbon Capture and Storage,1015.621567555106
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Boiler,Large,118.3030419448117
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Boiler,Medium,156.1414712283394
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Boiler,Small,142.233297462479
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Deep Lake Cooling,Enwave,16.271449711938853
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Heat Pump,Enwave,142.10723489804911
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Heat Pump,Large,261.6251488657035
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Heat Pump,Medium,260.8571719803892
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Heat Pump,Small,148.01279265655506
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Steam Methane Reforming,Carbon Capture and Storage,1055.9798292192677
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Steam Methane Reforming,___,1114.7775376716106
2023,Distric Thermal Energy,Discounted,FixedCosts,Storage,Hot Tank Storage,Large,48.22486615397496
2023,Distric Thermal Energy,Discounted,FixedCosts,Storage,Hot Tank Storage,Medium,44.58971724277267
2023,Distric Thermal Energy,Discounted,FixedCosts,Storage,Hot Tank Storage,Small,40.92985586133594
2023,Distric Thermal Energy,Discounted,FixedCosts,Storage,Pit Storage,Large,42.443073481412576
2023,Distric Thermal Energy,Discounted,FixedCosts,Storage,Pit Storage,Medium,36.1077429117511
2023,Distric Thermal Energy,Discounted,FixedCosts,Storage,Pit Storage,Small,27.280655576220997
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Toronto Average,Pipe,___,9464.101552042828
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Toronto Average,Substation,___,1013.2463621232257
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Consumption,Heat Pump,Large,921.944428771701
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Consumption,Heat Pump,Medium,1042.1292880065548
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Consumption,Heat Pump,Small,4648.680196555917
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Alkaline Electrolyser,___,1365.0762302608025
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Autothermal Reforming Gas,Carbon Capture and Storage,1615.118403806608
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Boiler,Large,1194.7499216113276
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Boiler,Medium,1276.3536858198672
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Boiler,Small,1416.9123463727942
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Deep Lake Cooling,Enwave,102.69762923116659
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Gas Turbine,Large,0.0
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Gas Turbine,Medium,0.0
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Gas Turbine,Small,0.0
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Heat Pump,Enwave,884.0543440824467
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Heat Pump,Large,1806.2749067069412
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Heat Pump,Medium,2018.9489340891964
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Heat Pump,Small,1247.9711834169038
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Internal Combustion Engine,Large,0.0
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Internal Combustion Engine,Medium,0.0
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Internal Combustion Engine,Small,0.0
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Steam Methane Reforming,Carbon Capture and Storage,1529.7208786528604
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Steam Methane Reforming,___,1337.8103229354465
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Storage,Hot Tank Storage,Large,1425.447817454448
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Storage,Hot Tank Storage,Medium,1366.3657156177821
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Storage,Hot Tank Storage,Small,1275.970885078674
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Storage,Pit Storage,Large,214.83708363789418
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Storage,Pit Storage,Medium,229.74319848400953
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Storage,Pit Storage,Small,256.5838375737908
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Toronto Average,Pipe,___,2991.9492564875795
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Toronto Average,Substation,___,220.7974364810875
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Consumption,Heat Pump,Large,127.75826952920794
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Consumption,Heat Pump,Medium,125.28374555193331
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Consumption,Heat Pump,Small,401.80371385840164
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Alkaline Electrolyser,___,601.691474559857
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Autothermal Reforming Gas,Carbon Capture and Storage,1809.611573971809
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Boiler,Large,197.00998496477777
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Boiler,Medium,262.41732884617716
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Boiler,Small,239.70841274608074
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Deep Lake Cooling,Enwave,26.118628434774394
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Heat Pump,Enwave,225.5643374378257
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Heat Pump,Large,430.4535426803027
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Heat Pump,Medium,429.1778426392382
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Heat Pump,Small,235.81498646167103
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Steam Methane Reforming,Carbon Capture and Storage,1881.5210132215705
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Steam Methane Reforming,___,1883.4611175956293
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Storage,Hot Tank Storage,Large,81.98448975738141
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Storage,Hot Tank Storage,Medium,75.80456947050148
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Storage,Hot Tank Storage,Small,69.5826368479865
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Storage,Pit Storage,Large,67.50106954545876
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Storage,Pit Storage,Medium,57.425418696010496
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Storage,Pit Storage,Small,43.38690104765037
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Toronto Average,Pipe,___,10229.59101849438
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Toronto Average,Substation,___,1095.2012537587943
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Consumption,Heat Pump,Large,996.5145023278218
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Consumption,Heat Pump,Medium,1126.4203311935842
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Consumption,Heat Pump,Small,5024.681627203858
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Alkaline Electrolyser,___,1475.488345919313
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Autothermal Reforming Gas,Carbon Capture and Storage,1745.7548005514354
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Boiler,Large,1291.3854527294275
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Boiler,Medium,1379.5896133497056
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Boiler,Small,1531.5171474803446
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Deep Lake Cooling,Enwave,111.00417084779119
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Gas Turbine,Large,0.0
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Gas Turbine,Medium,0.0
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Gas Turbine,Small,0.0
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Heat Pump,Enwave,955.5597357400179
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Heat Pump,Large,1952.3727065875303
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Heat Pump,Medium,2182.2485493617396
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Heat Pump,Small,1348.911435387733
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Internal Combustion Engine,Large,0.0
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Internal Combustion Engine,Medium,0.0
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Internal Combustion Engine,Small,0.0
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Steam Methane Reforming,Carbon Capture and Storage,1653.450026399275
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Steam Methane Reforming,___,1446.0170771303217
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Storage,Hot Tank Storage,Large,1540.742997164582
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Storage,Hot Tank Storage,Medium,1476.8821293390806
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Storage,Hot Tank Storage,Small,1379.1758503525048
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Storage,Pit Storage,Large,232.21385454674834
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Storage,Pit Storage,Medium,248.3256278315092
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Storage,Pit Storage,Small,277.33723121019545
2023,Electricity Energy,Discounted,FixedCosts,Production,PV pannel,Decentralized,247229.0952410191
2023,Electricity Energy,Discounted,FixedCosts,Production,Wind Turbine,Decentralized,485855.56076189247
2023,Electricity Energy,Discounted,FixedCosts,Storage,Battery,Decentralized,42777.94213564766
2023,Electricity Energy,Discounted,InvestmentCosts,Production,PV pannel,Decentralized,1959737.9344602362
2023,Electricity Energy,Discounted,InvestmentCosts,Production,Wind Turbine,Decentralized,1005800.1932506079
2023,Electricity Energy,Discounted,InvestmentCosts,Storage,Battery,Decentralized,192725.6473087669
2023,Electricity Energy,Undiscounted,FixedCosts,Production,PV pannel,Decentralized,414649.4156456482
2023,Electricity Energy,Undiscounted,FixedCosts,Production,Wind Turbine,Decentralized,865686.4664166162
2023,Electricity Energy,Undiscounted,FixedCosts,Storage,Battery,Decentralized,65985.07647637776
2023,Electricity Energy,Undiscounted,InvestmentCosts,Production,PV pannel,Decentralized,2118248.358041968
2023,Electricity Energy,Undiscounted,InvestmentCosts,Production,Wind Turbine,Decentralized,1087152.812836784
2023,Electricity Energy,Undiscounted,InvestmentCosts,Storage,Battery,Decentralized,208313.96830454847
2023,Charging Station Energy,Discounted,FixedCosts,Charging Station,Commercial,240V,61.868502051074415
2023,Charging Station Energy,Discounted,FixedCosts,Charging Station,Freight,Fast,71.01576011939676
2023,Charging Station Energy,Discounted,FixedCosts,Charging Station,Freight,Slow,111.44587439059151
2023,Charging Station Energy,Discounted,FixedCosts,Charging Station,Public,240V,51.24829794591332
2023,Charging Station Energy,Discounted,FixedCosts,Charging Station,Residential,120V,17.328903473373288
2023,Charging Station Energy,Discounted,FixedCosts,Charging Station,Residential,240V,51.24829794591299
2023,Charging Station Energy,Discounted,InvestmentCosts,Charging Station,Commercial,240V,127.71096770796916
2023,Charging Station Energy,Discounted,InvestmentCosts,Charging Station,Freight,Fast,38.06908671407452
2023,Charging Station Energy,Discounted,InvestmentCosts,Charging Station,Freight,Slow,53.11753477849672
