Marginal cost of local energy production (k$/TJ)
Period,Subsector,Energy,Marginal_Costs
2016,Commercial building,Bio Methane,2.344550305651332
2016,Commercial building,District Cooling,12.137232336231984
2016,Commercial building,District Heating,7.560587644033811
2016,Commercial building,Electricity,41.01581938455029
2016,Industrial building,Bio Methane,-187912402.70088607
2016,Industrial building,Electricity,41.01572366701454
2016,Passenger transportation,Bio Methane,-44.55226188853398
2016,Passenger transportation,Electricity,41.01553013024791
2016,Public building,Bio Methane,2.3417307999689525
2016,Public building,District Cooling,40.26120255000642
2016,Public building,District Heating,4.7458432279397424
2016,Public building,Electricity,41.01574988665952
2016,Residential building,Bio Methane,2.343448067887195
2016,Residential building,District Cooling,15.732293733420786
2016,Residential building,District Heating,41.67937724462396
2016,Residential building,Electricity,41.015804889293655
2016,Solid waste,Bio Methane,1.5971058726237213
2016,Water waste,Bio Methane,1.3460988192158276
2016,Water waste,Electricity,41.01552791249983
2017,Commercial building,Bio Methane,2.644628419959031
2017,Commercial building,District Cooling,11.622293665468865
2017,Commercial building,District Heating,6.560659612765146
2017,Commercial building,Electricity,40.66844316171926
2017,Industrial building,Bio Methane,-191202633.0452714
2017,Industrial building,Electricity,40.668347420516746
2017,Passenger transportation,Bio Methane,-4.610044152982061
2017,Passenger transportation,Electricity,40.668154337226156
2017,Public building,Bio Methane,2.6423077161416715
2017,Public building,District Cooling,39.925586401936414
2017,Public building,District Heating,5.14519174456103
2017,Public building,Electricity,40.66837402388832
2017,Residential building,Bio Methane,2.643782243603038
2017,Residential building,District Cooling,11.159500292756592
2017,Residential building,District Heating,42.15674134822489
2017,Residential building,Electricity,40.668428158599674
2017,Solid waste,Bio Methane,1.9155822411191539
2017,Water waste,Bio Methane,1.6751237909301642
2017,Water waste,Electricity,40.6681538316476
2018,Commercial building,Bio Methane,3.564876191707517
2018,Commercial building,District Cooling,11.664074350057247
2018,Commercial building,District Heating,6.914145935236575
2018,Commercial building,Electricity,40.30650715742937
2018,Industrial building,Bio Methane,-191469585.05262408
2018,Industrial building,Electricity,40.306411472740095
2018,Passenger transportation,Bio Methane,-0.1409089515557643
2018,Passenger transportation,Electricity,40.30621902089942
2018,Public building,Bio Methane,3.563523665645307
2018,Public building,District Cooling,39.57153203032305
2018,Public building,District Heating,5.198853734054896
2018,Public building,Electricity,40.306438914762445
2018,Residential building,Bio Methane,3.563356544768332
2018,Residential building,District Cooling,10.271627617510426
2018,Residential building,District Heating,40.24505440966308
2018,Residential building,Electricity,40.306492635991525
