"Buildin sector GHG emissions per subsector, per end use, per period (metric ton)"
t_periods,emissions_comm,Sub,EndUse,Emisions
2016,CH4,Commercial,Auxiliary Equipment,4.325882803683904
2016,CH4,Commercial,Space Cooling,0.1217573657904989
2016,CH4,Commercial,Space Heating,36.22610350206675
2016,CH4,Commercial,Water Heating,5.860673244757138
2016,CH4,Industry,Industrial Processes,12.596896328038886
2016,CH4,Industry,Space Cooling,0.02863585672156332
2016,CH4,Industry,Space Heating,0.7646317693806424
2016,CH4,Industry,Water Heating,2.923258112113305
2016,CH4,Public,Auxiliary Equipment,0.3629992727272181
2016,CH4,Public,Space Cooling,0.19768237821211407
2016,CH4,Public,Space Heating,7.100717661489076
2016,CH4,Public,Water Heating,0.9892702427043474
2016,CH4,Residential,Clothe Dryer,0.13177666704816907
2016,CH4,Residential,Range,0.1341488201195168
2016,CH4,Residential,Space Heating,202.24070598949322
2016,CH4,Residential,Water Heating,29.873915416055027
2016,CO2,Commercial,Auxiliary Equipment,242526.43118265597
2016,CO2,Commercial,Space Cooling,5990.490741834159
2016,CO2,Commercial,Space Heating,1848510.5355559245
2016,CO2,Commercial,Water Heating,307257.63510867365
2016,CO2,Industry,Industrial Processes,628328.2574078984
2016,CO2,Industry,Space Cooling,1461.2026348732852
2016,CO2,Industry,Space Heating,40324.92673730221
2016,CO2,Industry,Water Heating,152250.1393367192
2016,CO2,Public,Auxiliary Equipment,18517.395572755828
2016,CO2,Public,Space Cooling,7933.8387292003035
2016,CO2,Public,Space Heating,374949.40640924865
2016,CO2,Public,Water Heating,48055.757089658
2016,CO2,Residential,Clothe Dryer,6724.171550998467
2016,CO2,Residential,Range,6845.2154698823715
2016,CO2,Residential,Space Heating,2876399.3892447026
2016,CO2,Residential,Water Heating,795191.4906817706
2016,CO2e,Commercial,Auxiliary Equipment,245762.21540682003
2016,CO2e,Commercial,Space Cooling,6027.370059968143
2016,CO2e,Commercial,Space Heating,1860468.3920968184
2016,CO2e,Commercial,Water Heating,309144.9897608753
2016,CO2e,Industry,Industrial Processes,631996.9381008877
2016,CO2e,Industry,Space Cooling,1469.876203691624
2016,CO2e,Industry,Space Heating,40581.491409017886
2016,CO2e,Industry,Water Heating,153238.72242087717
