GHG emissions from energy imports (metric ton)
t_periods,emissions_comm,Energy_imported,Emisions
2016,CO2e,Bio Methane,0.38649882234174837
2016,CO2e,Electricity,979602.3780672936
2016,CO2e,Natural Gas,112599.95502364472
2016,CO2e,Synthetic Gas,3.375502686304986
2016,CO2e,Synthetic Methane,0.012543128011894562
2017,CO2e,Bio Methane,0.5147531411379589
2017,CO2e,Electricity,989760.8621944985
2017,CO2e,Natural Gas,112700.48323144933
2017,CO2e,Synthetic Gas,6.928575572480328
2017,CO2e,Synthetic Methane,0.051956641633620265
2018,CO2e,Bio Methane,1.1549687434133746
2018,CO2e,Electricity,1004063.137441937
2018,CO2e,Natural Gas,113552.06772708814
2018,CO2e,Synthetic Gas,12.26824968344599
2018,CO2e,Synthetic Methane,0.09652181584654408
2019,CO2e,Bio Methane,1.1768322186062465
2019,CO2e,Electricity,1009671.510890496
2019,CO2e,Natural Gas,113918.25872367543
2019,CO2e,Synthetic Gas,15.34206899063189
2019,CO2e,Synthetic Methane,0.13258722456130734
2020,CO2e,Bio Methane,1.559049692436992
2020,CO2e,Electricity,1003877.8151663628
2020,CO2e,Natural Gas,113888.9764088271
2020,CO2e,Synthetic Gas,19.99188469751879
2020,CO2e,Synthetic Methane,0.26327341421360384
2021,CO2e,Bio Methane,1.7894061833550787
2021,CO2e,Electricity,890533.6783938935
2021,CO2e,Natural Gas,114071.04360375654
2021,CO2e,Synthetic Gas,25.03024834426979
2021,CO2e,Synthetic Methane,0.4483080830271128
2022,CO2e,Bio Methane,1.971394015664772
2022,CO2e,Electricity,981115.1738668763
2022,CO2e,Natural Gas,114386.39770016629
2022,CO2e,Synthetic Gas,28.568142082790935
2022,CO2e,Synthetic Methane,0.4814568751179545
2023,CO2e,Bio Methane,2.8852218255714757
2023,CO2e,Electricity,1360152.24747015
2023,CO2e,Natural Gas,104297.55240922168
2023,CO2e,Synthetic Gas,31.672108214462547
2023,CO2e,Synthetic Methane,0.6301316101917527
2024,CO2e,Bio Methane,4.717380195182827
2024,CO2e,Electricity,1234191.3726916045
2024,CO2e,Natural Gas,98372.5708496256
2024,CO2e,Synthetic Gas,29.40853259519439
2024,CO2e,Synthetic Methane,0.6349767831037184
2025,CO2e,Bio Methane,162.4739522807142
2025,CO2e,Electricity,1447452.8278914755
2025,CO2e,Natural Gas,91972.49301335878
2025,CO2e,Synthetic Gas,28.391808925748844
2025,CO2e,Synthetic Methane,0.5553250394249416
2030,CO2e,Bio Methane,8730.546283008458
2030,CO2e,Electricity,822824.3871840162
2030,CO2e,Natural Gas,57243.05445754977
2030,CO2e,Synthetic Gas,24.725379249075484
2030,CO2e,Synthetic Methane,0.4454798005302448
2035,CO2e,Bio Methane,8730.547581779587
2035,CO2e,Electricity,713180.4306183887
2035,CO2e,Natural Gas,27415.659217013614
2035,CO2e,Synthetic Gas,20.815300313348477
2035,CO2e,Synthetic Methane,0.22207717953938905
2040,CO2e,Bio Methane,8730.547799393573
2040,CO2e,Electricity,874691.5624868132
2040,CO2e,Natural Gas,8940.454440267093
2040,CO2e,Synthetic Gas,19.958686490103823
2040,CO2e,Synthetic Methane,0.17259151053303554
2045,CO2e,Bio Methane,8730.547762533379
2045,CO2e,Electricity,805540.3947994974
2045,CO2e,Natural Gas,13450.562532298556
2045,CO2e,Synthetic Gas,20.983775551791727
2045,CO2e,Synthetic Methane,0.14674621036767807
2050,CO2e,Bio Methane,8730.545577977506
2050,CO2e,Electricity,819336.6958284666
2050,CO2e,Natural Gas,10537.523547526302
2050,CO2e,Synthetic Gas,20.946617043309356
2050,CO2e,Synthetic Methane,0.14140060336139398
