Total GHG emissions per period (metric ton)
t_periods,emissions_comm,Emisions
2016,CH4,68127.4386271128
2016,CO2,14316849.977443878
2016,CO2e,16973743.20858391
2016,N2O,527.087580838415
2017,CH4,65830.83138431105
2017,CO2,14147019.277154593
2017,CO2e,16765305.252401955
2017,N2O,526.9569487185515
2018,CH4,64320.949429864704
2018,CO2,14264129.284618067
2018,CO2e,16870250.776064046
2018,N2O,543.779212447533
2019,CH4,62284.69302555272
2019,CO2,14380701.879653836
2019,CO2e,16949696.120418333
2019,N2O,544.8221063685831
2020,CH4,60222.520865224506
2020,CO2,14235355.904666958
2020,CO2e,16743528.057144964
2020,N2O,553.5711161676975
2021,CH4,58227.221833335396
2021,CO2,14474418.96663844
2021,CO2e,16817204.84546715
2021,N2O,521.0118627411662
2022,CH4,56352.1029587336
2022,CO2,14498725.778687317
2022,CO2e,16891344.512999736
2022,N2O,517.0002331608935
2023,CH4,54106.5653209433
2023,CO2,13745424.093469527
2023,CO2e,16464307.585081521
2023,N2O,528.9841544092125
2024,CH4,51514.633903034846
2024,CO2,13408206.756287996
2024,CO2e,15943945.806050513
2024,N2O,529.4845572651562
2025,CH4,18018.556817358673
2025,CO2,11565380.776720349
2025,CO2e,13599801.234989615
2025,N2O,496.1215086363115
2030,CH4,15131.55024590546
2030,CO2,7310199.456251338
2030,CO2e,8599859.992658423
2030,N2O,429.71568512045104
2035,CH4,12002.99770959422
2035,CO2,3154479.9935407205
2035,CO2e,4199800.833118299
2035,N2O,343.3630239191694
2040,CH4,9962.565554798584
2040,CO2,1087287.2203938654
2040,CO2e,2199802.9365714937
2040,N2O,235.64321005298117
2045,CH4,7569.230828312545
2045,CO2,1002056.8004957419
2045,CO2e,1999787.1125102525
2045,N2O,239.02938190236782
2050,CH4,6332.541243797511
2050,CO2,817421.0189848951
2050,CO2e,1799820.83921685
2050,N2O,241.16219227745773
