"Electricity consumed per subsector, and per period (TJ)"
t_periods,Subsector,VFlow_In
2016,Commercial building,53966.95362692626
2016,Industrial building,5444.763996553596
2016,Passenger transportation,1922.1790646777667
2016,Public building,6485.758137619363
2016,Residential building,22870.964316658883
2016,Water waste,1326.9337929481521
2017,Commercial building,54818.768112128164
2017,Industrial building,5451.081660035166
2017,Passenger transportation,1925.5488104424976
2017,Public building,6526.325887535742
2017,Residential building,22581.497860472544
2017,Water waste,1336.7475112403115
2018,Commercial building,55102.1678464572
2018,Industrial building,5457.399323514037
2018,Passenger transportation,1930.3001906902527
2018,Public building,6602.567626590374
2018,Residential building,23177.910771865583
2018,Water waste,1346.4016713912345
2019,Commercial building,55425.77988189643
2019,Industrial building,5463.716984898192
2019,Passenger transportation,1934.0307106902985
2019,Public building,6638.205757771205
2019,Residential building,22984.09941822133
2019,Water waste,1356.439872478802
2020,Commercial building,55968.08943078786
2020,Industrial building,5470.034648383726
2020,Passenger transportation,2016.909784338166
2020,Public building,6669.444566255474
2020,Residential building,21422.558367288522
2020,Water waste,1366.214788250129
2021,Commercial building,56439.91055076191
2021,Industrial building,5476.352311863171
2021,Passenger transportation,2022.9425301565764
2021,Public building,6704.27648870581
2021,Residential building,21654.682906178397
2021,Water waste,1375.7980634360686
2022,Commercial building,56987.71503927673
2022,Industrial building,5482.713850540233
2022,Passenger transportation,2028.192693648446
2022,Public building,6728.520879090155
2022,Residential building,21600.47412253432
2022,Water waste,1382.7747817826607
2023,Commercial building,53164.0296597809
2023,Freight transportation,0.16148431705697325
2023,Industrial building,6139.967529834427
2023,Passenger transportation,1939.591537347802
2023,Public building,5731.062835498132
2023,Public transportation,0.43248612593579566
2023,Residential building,21265.00999412702
2023,Solid waste,0.05779168037413653
2023,Water waste,1390.117574703732
2024,Commercial building,48218.52364293525
2024,Freight transportation,0.30754868405615976
2024,Industrial building,5873.239770878884
2024,Passenger transportation,1836.418988732588
2024,Public building,5906.469133281072
2024,Public transportation,0.7975135772543126
2024,Residential building,22417.09158265355
2024,Solid waste,0.3997697270860539
2024,Water waste,1397.6336866208285
2025,Commercial building,42572.17577069454
2025,Freight transportation,596.7373910356148
2025,Industrial building,5680.7950000010605
2025,Long distance transportation,1.429005129233447
2025,Passenger transportation,2215.7569139043376
2025,Public building,5998.734339346454
2025,Public transportation,17.364997995886647
2025,Residential building,22249.011129559276
2025,Solid waste,1.6092036074899878
2025,Water waste,1405.1021849114416
2030,Commercial building,36684.24109045205
2030,Freight transportation,754.1420156483703
2030,Industrial building,6731.013942076805
2030,Long distance transportation,1.3284705404285289
2030,Passenger transportation,857.7785869329451
2030,Public building,6204.171637363515
2030,Public transportation,63.567756238625655
2030,Residential building,23142.12070852388
2030,Solid waste,1.619462329997495
2030,Water waste,1451.8756429618127
2035,Commercial building,41361.28234173836
2035,Freight transportation,3109.791259805238
2035,Industrial building,6913.943903015874
2035,Long distance transportation,1.3702492800543464
2035,Passenger transportation,6332.586088974884
2035,Public building,7219.5125297706045
2035,Public transportation,209.06571505163024
2035,Residential building,29638.863425138923
2035,Solid waste,1.6477897945740962
2035,Water waste,1488.179499324448
2040,Commercial building,42891.86366970293
2040,Freight transportation,3866.820409684227
2040,Industrial building,4480.729971123722
2040,Long distance transportation,1.3524993268917753
2040,Passenger transportation,8681.588843804022
2040,Public building,7934.231612917991
2040,Public transportation,222.2339923721984
2040,Residential building,34949.19234322531
2040,Solid waste,1.6714185552642298
2040,Water waste,1522.650395878855
2045,Commercial building,41803.70807547213
2045,Freight transportation,3488.6311631390727
2045,Industrial building,2714.4014354896813
2045,Long distance transportation,1.9001389391265346
2045,Passenger transportation,10741.78122603118
2045,Public building,7059.166856651797
2045,Public transportation,178.97738913976053
2045,Residential building,33497.953676408084
2045,Solid waste,0.7611841087257455
2045,Water waste,1559.401826900842
2050,Commercial building,43169.584891748025
2050,Freight transportation,1991.4011712009826
2050,Industrial building,346.1407448744875
2050,Long distance transportation,8.836820266550767
2050,Passenger transportation,10060.638016240398
2050,Public building,8062.149008348486
2050,Public transportation,190.13087044239427
2050,Residential building,32482.00849192341
2050,Solid waste,0.9622928476492302
2050,Water waste,1593.640600339868
