"Energy consumed for building sector, and per end use (TJ)"
t_periods,Fuel,Sub,EndUse,VFlow_In
2016,Biomass,Industry,Industrial Processes,85.19671420782555
2016,Biomass,Residential,Space Heating,204.14673885738762
2016,Biomass,Residential,Water Heating,9.818360359869445
2016,Bio Methane,Commercial,Auxiliary Equipment,3.829623492846683
2016,Bio Methane,Commercial,Space Cooling,0.7739657963295326
2016,Bio Methane,Commercial,Space Heating,376.80647748442846
2016,Bio Methane,Commercial,Water Heating,33.08113706483845
2016,Bio Methane,Public,Auxiliary Equipment,0.06806241867643256
2016,Bio Methane,Public,Space Cooling,9.061416922925769
2016,Bio Methane,Public,Space Heating,0.04354707891630918
2016,Bio Methane,Public,Water Heating,50.32435085384853
2016,Bio Methane,Residential,Space Heating,252.23516094830057
2016,Bio Methane,Residential,Water Heating,36.22179833779393
2016,Wood Pellet,Residential,Space Heating,0.28619529275372985
2016,Wood Pellet,Residential,Water Heating,10.20568595220913
2016,Coal,Industry,Industrial Processes,98.08383187842871
2016,District Cooling,Commercial,Space Cooling,1253.6593545587684
2016,District Cooling,Public,Space Cooling,243.71915082836614
2016,District Cooling,Residential,Space Cooling,81.31320091290422
2016,District Heating,Commercial,Space Heating,3381.5143165257036
2016,District Heating,Commercial,Water Heating,551.1266025682625
2016,District Heating,Public,Space Heating,1487.1823838298044
2016,District Heating,Public,Water Heating,336.8663860438931
2016,District Heating,Residential,Space Heating,74.67466203079947
2016,District Heating,Residential,Water Heating,956.5255523215544
2016,Electricity,Commercial,Auxiliary Equipment,17204.615800240972
2016,Electricity,Commercial,Auxiliary Motors,2266.9546351102513
2016,Electricity,Commercial,Lighting,30018.050273524816
2016,Electricity,Commercial,Space Cooling,2643.1635083782166
2016,Electricity,Commercial,Space Heating,1124.4914975522574
2016,Electricity,Commercial,Street Lighting,493.3580386008004
2016,Electricity,Commercial,Water Heating,216.31987351895063
2016,Electricity,Industry,Industrial Processes,2665.4860314753328
2016,Electricity,Industry,Lighting,649.5279282791195
2016,Electricity,Industry,Space Cooling,366.59530357749776
2016,Electricity,Industry,Space Heating,755.5520109016426
2016,Electricity,Industry,Water Heating,1007.6027223200044
2016,Electricity,Public,Auxiliary Equipment,2015.4236760731278
2016,Electricity,Public,Auxiliary Motors,534.8808810889456
2016,Electricity,Public,Lighting,1968.358181887429
2016,Electricity,Public,Space Cooling,1177.4662173902009
2016,Electricity,Public,Space Heating,789.3164374805305
2016,Electricity,Public,Water Heating,0.31274369914122435
2016,Electricity,Residential,Other Appliances,5863.076844734546
2016,Electricity,Residential,Clothe Dryer,2011.5749400380123
2016,Electricity,Residential,Clothe Washer,118.75190414603846
2016,Electricity,Residential,Dish Washer,144.1843945877253
2016,Electricity,Residential,Freezer,552.9093019527749
2016,Electricity,Residential,Lighting,2461.7595751501112
2016,Electricity,Residential,Range,2047.5845960500926
2016,Electricity,Residential,Refrigerator,1738.2928698973783
2016,Electricity,Residential,Space Cooling,3067.7164692729216
2016,Electricity,Residential,Space Heating,4071.3204063301805
2016,Electricity,Residential,Water Heating,793.7930144991216
2016,Heavy Fuel Oil,Commercial,Space Heating,1.6507266428491514
2016,Heavy Fuel Oil,Commercial,Water Heating,3.3059836370646387
2016,Heavy Fuel Oil,Industry,Industrial Processes,42.57483542461834
2016,Heavy Fuel Oil,Industry,Space Heating,25.35417718679846
2016,Heavy Fuel Oil,Industry,Water Heating,60.66277390616438
2016,Heavy Fuel Oil,Public,Water Heating,0.3111648421537333
2016,Hydrogen,Residential,Space Heating,0.3398009394337595
2016,Hydrogen,Residential,Water Heating,0.1580585407618633
2016,Kerosene,Commercial,Space Heating,1.6506677542616086
2016,Kerosene,Commercial,Water Heating,3.3060611293335116
