Electricity for EV charging (TJ)
t_periods,Sub,Sector,Tech_cat,Tech_type_1,Tech_type_2,Output_units,VFlow_In
2023,Freight,Transport,Charging Station,Commercial,240V,TJ,0.016698521515296664
2023,Freight,Transport,Charging Station,Freight,Fast,TJ,0.05832240770898118
2023,Freight,Transport,Charging Station,Freight,Slow,TJ,0.08646338783269539
2023,Passenger,Transport,Charging Station,Commercial,240V,TJ,0.14022570282664665
2023,Passenger,Transport,Charging Station,Public,240V,TJ,0.14022570282664665
2023,Passenger,Transport,Charging Station,Residential,120V,TJ,0.0435737168966322
2023,Passenger,Transport,Charging Station,Residential,240V,TJ,0.14022570282664665
2023,Public,Transport,Charging Station,Commercial,240V,TJ,0.0795905384464177
2023,Public,Transport,Charging Station,Freight,Fast,TJ,0.058807300321890625
2023,Public,Transport,Charging Station,Freight,Slow,TJ,0.10451682172009849
2023,Public,Transport,Charging Station,Public,240V,TJ,0.07959053844641767
2023,Public,Transport,Charging Station,Residential,120V,TJ,0.030390388554553546
2023,Public,Transport,Charging Station,Residential,240V,TJ,0.0795905384464176
2024,Freight,Transport,Charging Station,Commercial,240V,TJ,0.0336056897929021
2024,Freight,Transport,Charging Station,Freight,Fast,TJ,0.10878248933458057
2024,Freight,Transport,Charging Station,Freight,Slow,TJ,0.16516050492867704
2024,Passenger,Transport,Charging Station,Commercial,240V,TJ,0.2802645426247898
2024,Passenger,Transport,Charging Station,Public,240V,TJ,0.2802645426247898
2024,Passenger,Transport,Charging Station,Residential,120V,TJ,0.08206405931843219
2024,Passenger,Transport,Charging Station,Residential,240V,TJ,0.2802645426247898
2024,Public,Transport,Charging Station,Commercial,240V,TJ,0.14649304523502873
2024,Public,Transport,Charging Station,Freight,Fast,TJ,0.10566525692144725
2024,Public,Transport,Charging Station,Freight,Slow,TJ,0.19651234175471868
2024,Public,Transport,Charging Station,Public,240V,TJ,0.14649304523502882
2024,Public,Transport,Charging Station,Residential,120V,TJ,0.05585684287306033
2024,Public,Transport,Charging Station,Residential,240V,TJ,0.14649304523502885
2025,Freight,Transport,Charging Station,Commercial,240V,TJ,0.05497996438526013
2025,Freight,Transport,Charging Station,Freight,Fast,TJ,0.14303185371399754
2025,Freight,Transport,Charging Station,Freight,Slow,TJ,0.21458937448358564
2025,Passenger,Transport,Charging Station,Commercial,240V,TJ,0.6430472809389
2025,Passenger,Transport,Charging Station,Public,240V,TJ,0.6430472809389
2025,Passenger,Transport,Charging Station,Residential,120V,TJ,0.1288769408156968
2025,Passenger,Transport,Charging Station,Residential,240V,TJ,0.6430472809389
2025,Public,Transport,Charging Station,Commercial,240V,TJ,0.2599198856734767
2025,Public,Transport,Charging Station,Freight,Fast,TJ,0.16087092008984447
2025,Public,Transport,Charging Station,Freight,Slow,TJ,0.32540266834752674
2025,Public,Transport,Charging Station,Public,240V,TJ,0.2599198856734767
2025,Public,Transport,Charging Station,Residential,120V,TJ,0.08555505726756492
