"Local renewable thermal energy generation per sector, energy and per period (TJ)"
t_periods,Source_Sector,Energy,Consumption_Sector,Type,VFlow_Out
2016,Solid waste,Bio Methane,Solid waste,Green Bin,176.2384612543163
2016,Water waste,Bio Methane,Water waste,Waste water,1273.7788930811432
2016,Water waste,Cellulosic Ethanol,Water waste,Waste water,0.2884350237761248
2016,Water waste,Hydrogen,Water waste,Waste water,0.5329985166694202
2017,Solid waste,Bio Methane,Solid waste,Green Bin,179.95284101661483
2017,Water waste,Bio Methane,Water waste,Waste water,1281.3832831863867
2017,Water waste,Cellulosic Ethanol,Water waste,Waste water,0.5628290910155723
2017,Water waste,Hydrogen,Water waste,Waste water,0.8637681342077939
2018,Solid waste,Bio Methane,Solid waste,Green Bin,218.56214229625698
2018,Water waste,Bio Methane,Water waste,Waste water,1289.243053225102
2018,Water waste,Cellulosic Ethanol,Water waste,Waste water,0.7352619904684253
2018,Water waste,Hydrogen,Water waste,Waste water,1.1131675827882888
2019,Solid waste,Bio Methane,Solid waste,Green Bin,370.01378888239964
2019,Water waste,Bio Methane,Water waste,Waste water,1297.4995727792734
2019,Water waste,Cellulosic Ethanol,Water waste,Waste water,0.8745706936113254
2019,Water waste,Hydrogen,Water waste,Waste water,1.3215494278995898
2020,Solid waste,Bio Methane,Solid waste,Green Bin,356.01318968216617
2020,Water waste,Bio Methane,Water waste,Waste water,1305.7805657279912
2020,Water waste,Cellulosic Ethanol,Water waste,Waste water,0.9904699138217284
2020,Water waste,Hydrogen,Water waste,Waste water,1.4048542834556212
2021,Solid waste,Bio Methane,Solid waste,Green Bin,442.1538138780437
2021,Water waste,Bio Methane,Water waste,Waste water,1313.8806592297753
2021,Water waste,Cellulosic Ethanol,Water waste,Waste water,1.175494649610378
2021,Water waste,Hydrogen,Water waste,Waste water,1.474587078345204
2022,Solid waste,Bio Methane,Solid waste,Green Bin,442.21702388929424
2022,Water waste,Bio Methane,Water waste,Waste water,1319.7051462068357
2022,Water waste,Cellulosic Ethanol,Water waste,Waste water,1.3159614237906259
2022,Water waste,Hydrogen,Water waste,Waste water,1.5394964819027683
2023,District Energy,Hydrogen,Industrial building,Alkaline Electrolyser,7.494047583943304
2023,District Energy,Hydrogen,Industrial building,Autothermal Reforming Gas,12.664280842968584
2023,District Energy,Hydrogen,Industrial building,Steam Methane Reforming,26.422426120502735
2023,Solid waste,Bio Methane,Solid waste,Green Bin,139.6287002937303
2023,Solid waste,Bio Methane,Solid waste,Landfill,52.865533306779
2023,Solid waste,Cellulosic Ethanol,Solid waste,Green Bin,0.30782787101609976
2023,Solid waste,Hydrogen,Solid waste,Green Bin,1.1266320615900371
2023,Water waste,Bio Methane,Water waste,Waste water,1325.4843845100781
2023,Water waste,Cellulosic Ethanol,Water waste,Waste water,1.485151110127435
2023,Water waste,Hydrogen,Water waste,Waste water,1.6721286938225635
2024,District Energy,Hydrogen,Industrial building,Alkaline Electrolyser,8.159082608577155
2024,District Energy,Hydrogen,Industrial building,Autothermal Reforming Gas,16.59748994443265
2024,District Energy,Hydrogen,Industrial building,Steam Methane Reforming,21.480355227609902
